hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	persoon	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.998.s.1	Agon , Sulthan vinden Bantam .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1001.s.1	Sinan , Captein vinden Agons Gardes .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1004.s.1	Fathema , prinses vinden Maccasser .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1007.s.1	Camoeni , Vertrouweling vinden Fathema .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1011.s.1	Hassan , jong zoon . } vinden Agon .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1015.s.1	Abdul , oud zoon . } vinden Agon .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1018.s.1	Jan Lucas vinden Steenwyk , Neerlander , Renegaat , Vertrouweling vinden Abdul .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1021.s.1	Ibrahim , imam of Opper-Priester vinden doen koninklijk Mosquee vinden Bantam .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1024.s.1	Saint Martin , Generaal vinden doen nederlands Krygsmacht , en raden vinden Indien .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1027.s.1	Sadi , javaans Officier .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1029.s.1	Javaansche groot .	None
hare003agon01_01.TEI.2.text.body.div.div.p.1031.s.1	hebben Toneel zijn in het paleis vinden Bantam , twaalf mijl bewesten Batavia , op het Eyland groots Java .	None
hare003agon01_01.TEI.2.text.body.div.head.1036.s.1	Agon , sultan vinden Bantam .	None
hare003agon01_01.TEI.2.text.body.div.head.1036.s.2	eerst bedrijf	None
hare003agon01_01.TEI.2.text.body.div.div.head.1038.s.1	eerst Toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1040.s.1	Agon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.1	IK gade dan eindelijk een stil rusten genieten , ik dag zullen nu in vrede ' en vrijheid vliet !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.2	doen zorg die de troon omringen vinden rondom , Welk ' ieder dageraad en dachlicht brengd wederom , Die zullen nu voortaan bij ik geren plaatsen meer vinden , En niet meer mijn geest aan moeite ' en arbeiden binden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.3	Fortuin , welk's macht ik hebben zo menigmaal beproeven , Die ik zomtyds verblijd , en zomtyds hebben bedroefd , Die in ik jeugd op ik te bittersten verbolgen , ik nu schynd sedert langen standvastiglyk te volgen , ik gade buit u bereiken ; ik willen die hebben lotgeval , Op mijn levensloop geren kracht meer aanzien zullen !	Joy_Emotion_Sadness_Spitefulness
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.4	nul Schepper vinden het Heelal , meest vinden dood en leven , Die wij door Mahomet u weten hebben geven , Die Agon uiten hebben Stof hebben op de troon brengen Aan wieden hij schuldig zijn zijn glorie en zijn macht , Ontvang zijn dankbaar harden !	Emotion_BodyPart_Other
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.5	Oneindig Opperwezen gei hebben te al tij ' in syne ziel lezen , gei hebben altijd zien zijn ' liefde voor doen Deugd , En in doen tegenspoed , en mijden in doen vreugde !	Joy_Emotion_Love_Dedication
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.6	Geev ' in zijn ' ouderdom , geev ' in doen kort jaar , Die u besluiten , misschien , hij nog op aarde ' zullen sparen , die hij in eenzaamheid een stil rusten genieten ' , En eendracht in zijn Huis , en bij zijn zoon zien !	None
hare003agon01_01.TEI.2.text.body.div.div.head.1083.s.1	Tweede toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1085.s.1	Agon .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1085.s.2	Sinan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1087.s.1	sinan	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1111.s.1	u willen zijn door ik mond verkondigd aan doen groot , En u lassen zijn brengen aan d ' eerst Hof genieten : Een ieder zullen hier zijn , gelijk vereischd zijn plegen , Op doen bestemmen tij , en het uur daar toen richten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1111.s.2	schonen deze dagge rijden langen voor Bantam wassen te wachten , wild gei zo menigmaal uiten hebben u gedachte , hebben elk vinden zij niet minnen tonen doen droef smarten , Die het komen vinden deze ' dagge , verspreiden in ieder harden .	Emotion_BodyPart_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1113.s.1	agon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1118.s.1	Die smarten , hoe groots die zijde , zullen niet velen lang duren , alles tot die morgen het liggen beschyne Bantams muur : Een oud Vorst verdwynd , gelijk doen manen , voor het ogen , Wanneer doen jong Vorst klimmen , alles doen zon , om oog .	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.1142.s.1	zijde wachten zekerlijk een Heer vinden uw hand Die ook , gelijk alles gei doen Vader deezer land , zij welvaart houwen zullen voor syne groot zorgen , d ' Opvoeding vinden u ' zoon zijn hier voor haare bergen : mare zo ik uiten zij naam doen waarheid uw mogen zeggen , En het geren hier ieder denken vrijmoedig openleggen , Hoe velen ik vinden u zoon , mede rijden , ook verwachten , doen onderdaan verlangen te blijven in u macht ; Te meer dewijl ik zien Natuur uw mildlyk geven doen aangenaam vrucht vinden een gematigd leven , En die doen ouderdom , die elk mede rijden vrezen , Niets afneemd vinden doen kracht en vlugheid vinden u geest .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1153.s.1	zijde aanzien niet zien ik slapeloos nacht terwijl zijde die in rusten , en stil vrede , doorbrachten , zijde aanzien , zo alles ik , de arbeiden niet gevoelen , Die bij de vorstin troon , en om zij slaap-plaats woelen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1158.s.1	zijde weten die d ' eerbied aan heen beletten te vlaag het Geheim het geren haar Vorst kunnen in zijn boezem dragen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.1	ik gul voor uw , Sinan , hebben ik nog nooit berouwd , En ik weten die ik geheim zijn bij uw wel vertrouwen : lezen dan in Agons ziel , die zullen aan uw vertonen Wat bitter zorgen hij geven doen tweedracht vinden zijn ' Sonen .	Worry_Emotion_Sadness_Remorse
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.2	Ik hebben deze rijk halen alles uiten een donker nacht En Bantams roemen en macht te hoogst toppen brengen ; mare mede welk glans ik naam deze rijk nu doe verschijnen , Ik zien , door zij tweedracht , die macht in het korten verdwijnen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.3	Batavia hebben langen het ogen op Bantam hebben , En dingd rijden naar doen naam vinden Java's eerst Stad : En ik zien doen Hollanders mede ongeduld verwachten , die een vinden ik twee zoon te helpen roepen ' haar kracht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.4	zijde zoeken , sedert langen , een middel , om het bestieren gelijk in het verdre oogst , zo ook te krijgen hier : schonen haare heerschzugt twisten verwekken in al land , zij Staatkund ' zoeken voor al het Gebied vinden Java's strand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.5	doen koud ' Europeaan , schonen hij zijn landen verlaten , bewaren zijn koelheid nog in deze verzengen klimaat , zij ziel door heet drift , alles d ' ons niet omvangen , Verliesd nooit uiten hebben ogen zij wezenlijk belang , zij grootheid zijn gronden op d ' Indiens tweedracht , En wij hartstocht zijn doen oorsprong vinden zij macht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1228.s.6	hebben zijn om deze reden , die ik hebben voornemen , Om zo ik kunnen die ramp aan Bantam voor te komen : Ik weten wat naar ik dood alhier te vrees staan , zo ik niet voor die tij voortkomen kunnen die kwaadt ; En ik denken , ( ik hopen te minst ) die zo ik bij ik leven , Aan ieder vinden ik zoon een Scepter hebben geven , die elk zijn heerschzugt zien voldoen eer hij het verwachten , Ik tussen heen wegneem all ' oorzaak vinden tweedracht ; En die , zo ' er in het eest , enig verschillen mogen rijzen , Natuur heen zullen naar ik , en niet naar Holland , wijze .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1242.s.1	mare wild u voorzorg vrezen de nederlander macht , Waarom niet lief zaam houwen Bantams kracht ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1242.s.2	Tartassa's rijk , geheel komen in u hand , vermeerderen nog doen sterken ' en rijkdom vinden u land , laten een vinden uw zoon allee hier Koning zijn , Of wel die d ' Oppermacht in al beiden ' verschijnen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.1	ik harden verbieden hebben eest : hebben tweede ' kunnen hier niet wees , En zij hebben allermeest voor Bantam zijn te vrees : Wat maatregel ik nemen , welk paal ik ook zetten , D ' een zullen vinden d ' ander nooit ontvangen enig weten .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.2	Die hier geren slaav ' willen zijn moeten om de scepter strijd , En d ' Oppermacht in het oogst kunnen geren verdeling leiden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.3	ik hebben in Abdul bespeuren velen meer heerschzugtigheid , En Bantams rijk stranden daarom voor hij bereiden : Tartassa's minderen rijk zullen aan de ander komen Zonder die ik vinden hij misnoegen hebben te schromen ; Ik weten die Hassan zijn te vreeden mede die landen , Mits die ik bij zijn delen ook voegen Fathema's hand : zij Vader zijn wel eer , beroven vinden syne rijk , bij ik , zijn boesemvriend tot Bantam komen wijken .	Fear_Emotion_Shame
hare003agon01_01.TEI.2.text.body.div.div.sp.1294.s.4	Ik hebben ik stervend Vriend beloofd die mijn zoon Fathema plaatsen zij mede hij op Agon's troon .	None
