rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	De verovering van den Briel , Of grondlegging der Batavische vryheid .	None
rivi001vero01_01.TEI.2.text.body.div.head.230.s.2	Treurspel .	None
rivi001vero01_01.TEI.2.text.body.div.head.231.s.1	Eerste bedryf .	None
rivi001vero01_01.TEI.2.text.body.div.head.232.s.1	Eerste tooneel .	None
rivi001vero01_01.TEI.2.text.body.div.stage.235.s.1	Vander Mark , Entes , Treslong , de Ryk , Gevolg van Edelen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.237.s.1	Vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.sp.250.s.1	Dus staen wy eindelyk op Hollands dier brengrond , Om hier een vast verblyf te zoeken ; daar 't verbond Van Brit en Kastiljaan ons 't landen heeft verbooden , In 't Engelsch Ryksgebied : dit wordt ons doordien snooden En haatelyken eisch des Spanjaards aangedaan , En daarom moeten wy hem dapper tegengaan , Met wel vereende magt : wy moeten 't onheil wreeken Op Alva , dat gedrocht , en zyn vermoogen breeken Zoo veel men immer kan ; men moet de dwinglandy , Den bloeddorst , dollen haat , en wat meer yslyk zy , Door hem aan ons betoond , den zynenruim vergelden .	Fear_Emotion_Hatred_Other
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.252.s.1	Treslong .	None
rivi001vero01_01.TEI.2.text.body.div.sp.264.s.1	Wy moeten Nederland , als waare vryheids helden , Ontheffen van zyn ' last , die onverdraaglyk is .	None
rivi001vero01_01.TEI.2.text.body.div.sp.264.s.2	Geen in des vyands dienst zy lyfsbehoudenis Vergund , indien wy hen verwinnen : maar de Koning Is Hollands Opperheer , aan wien 't ons voegt verschooning Van dit ons stout bestaan met ernst te smeeken , tot Wy vast verzekerd zyn dat hy het moordgebod Bevolen heeft ; zoo niet hy zal den Hertog stuiten , En roepen hem , vergramd , te rug als dees zich buiten Zyn strikt bevel gedraagt ; en doet de Vorst dit niet Dan blykt ons klaar dat zulks met zynen wil geschiedt .	Emotion_Anger
rivi001vero01_01.TEI.2.text.body.div.sp.272.s.1	Philippus straffe hand heeft eerst die web geweeven .	None
rivi001vero01_01.TEI.2.text.body.div.sp.272.s.2	Een Koning , die zyn ' Zoon beroofdde van het leeven , Die Bergen , Montigny , en Egmond heeft gedoemd , Verdient geenszins dat hy zachtmoedig wordt genoemd , En kan , na zulk bestaan , geen Graaf van Holland blyven .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.274.s.1	Entes .	None
rivi001vero01_01.TEI.2.text.body.div.sp.279.s.1	Durft Alva , rood van bloed , zich 's Konings Dienaar schryven , Laat ons , met hem gelyk , uit Vorstelyken last , Als 't rechten krygsliên van een ' Spaanschen Koning past , Bewandelen den weg , dien wy hem zien betreeden .	None
rivi001vero01_01.TEI.2.text.body.div.sp.284.s.1	Dit voorstel dunkt my goed , gegrondvest op de reden .	None
rivi001vero01_01.TEI.2.text.body.div.sp.284.s.2	Myn Vrienden , laat ons voort den Briel verovren	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.286.s.1	de Ryk .	None
rivi001vero01_01.TEI.2.text.body.div.sp.289.s.1	Waartoe die haast , Mynheer ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.289.s.2	Wy moeten onderstaan gaan .	None
rivi001vero01_01.TEI.2.text.body.div.sp.289.s.3	Of niet met vriendlykheid die Stad is in te krygen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.294.s.1	Wie zendt men daar best heen ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.300.s.1	Zacht , Heeren , laat ons zwygen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.300.s.2	Een Veerman , die met spoed zyn Vaartuig herwaards wendt , Toont weinig vrees , en schynt aan my niet onbekend .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.sp.306.s.1	Wy voegen ons ter zy ' .	None
rivi001vero01_01.TEI.2.text.body.div.sp.306.s.2	Gy kunt dien Schipper spreeken ; En is u in dien man voor ons wat goeds gebleeken , Verzoek hem dan dat hy de Stad opeischen gaat .	None
