focq001mini02_01.TEI.2.text.body.div.head.227.s.1	De min in 't Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.head.227.s.2	Blyspel .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.230.s.1	CUPIDO doet de Voor-Reeden .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.230.s.2	Zittende in een Stoel met Rinkels , in Zots Kleeren , met een Blikke Slabbe voor .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.1	Gy Troep van Juffers , en van Heeren !	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.2	Die andersins myn slaven bend , Ik zouw schier wel derven zweeren , Dat gy uw Meester niet meer kend .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.3	Wie meent gy dat hier zit te kyken ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.4	Wie meent gy , dat gy in dees Kap , En in dees Rinkel-stoel ziet pryken , Geharnast met dees Blikke Slabb ' ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.5	Ik weet wel , dat gy noit verzinnen , Noch denken zult met uw verstandt , Dat gy den Grooten God der Minnnen Hier ziet in 't Laasrus-huis geplant : Maar evenwel , al lyken 't droomen , Ik ben het zelver , dat gy 't weet : Doch hoe ik hier toe ben gekoomen , Vraagt dat alleeenig den Poëet Die dees Comedie doet vertoonen ; Vermits dat hy ( wyl dat hy zweert Dat door lang in zyn Buurt te woonen , Hy myn Natuur wel heeft geleert ) My voor zo Gek , en Zot , derft schelden , Dat hy , als per playsier quansuis , Op 't lest my by de Zotten stelde , In 't Amsterdamsche Laasrus-huis .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.6	'k Beken , ik ben geensins de wyste , Schoon ik een God ben ; maar , wat raad ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.7	Ik zie , dat dikwils d'aldergryste De grootste zotheid wel begaat .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.8	Ben ik dan daarom te veragten , Een jongen zynde , als ik ben ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.9	Wanneer de luy van myn verwachten , Meer Wysheid , als ik geven ken ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.10	De Kinders werken Kinder geuren ; De zotheid is een eigenschap , Die van de Jeugt niet is te scheuren , Want ieder draagt zyn Narre-Kap .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.11	My daarom , die 't gebied der herten Van al de Jeugt is toevertrouwt , My wyt men al die zotte parten , Die dagelyks de jonkheid brouwt : En 'k weet , men wytse my met reden , Mits ik myn zelven oorzaak vind , Van hondert duizent Zottigheden , Die ik doe doen , aan die bemint .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.12	Hoe vaak doe ik een party gekken , Uit zotte razerny alleen , Haar hair uit Kop en Kneevels trekken , Door 't loopen van een Blaauwe Scheen ?	EmotionalAction_BodyPart_Despair
focq001mini02_01.TEI.2.text.body.div.sp.351.s.13	Hoe vaak doe ik ' er een verlieven , Die 't minnen in gedachten pleegt , Of met een tal van zotte Brieven , Daar zyn Matres haar Poort aan veegt ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.351.s.14	Hoe vaak doe ik een Zots-Kap draven , Voorby een huis , daar 't alles rust , En elk al leit in slaap begraven , Wyl hy de Stoep of Klopper kust ?	EmotionalAction_Love
focq001mini02_01.TEI.2.text.body.div.sp.351.s.15	Hoe dikmaals doe ik Serenades Op zagen , voor een zotte sloor ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.16	Die , spyt Couranten , en Ballades , Al leid te ronken op een Oor ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.17	Hoe dikmaals doe ik hair , en lokken , Besmeurt , beplakt , en styf van Gom , Of uitgevallen door de pokken , Bewaren voor een Heiligdom ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.18	Hoe vaak heb ik een party dwazen , Tot teeken van haar zotte brandt , Een tal van Fluyten en van Glazen , Doen kauwen na haar ingewandt ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.19	Hoe vaak heb ik een Zot bevoolen , Gestyft door dwaze Minne-vlam , Te zuipen uit gelaân Pistoolen , Op de gezontheid van Madam ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.351.s.20	Terwyl een ander , meenigmalen , Als hem die zelfde drift bekruipt , Uit Pispot en uit Urinalen , Een zotte sloofs gezontheid zuipt : Een ander , zyn Matres ter eeren , Smyt door een al-te-dulle kuur , Zyn Wambuis , Broek , en Hoedt , en Kleeren , En al den Preutel op het vuur .	Emotion_Desire
focq001mini02_01.TEI.2.text.body.div.sp.351.s.21	Een ander maakt weer andre geuren ; Die licht de Rymer van dit Spel , ( Vermits zy alle daag gebeuren ) Zou konnen noemen , buiten tel .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.22	Gelyk , wanneer men by de Vrinden Hier licht eens om vroeg by de Rey , Men licht hier wel zouw Zielen vinden , Die 't beter weten noch als hy .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.23	Dies ist om deze fraaije zaaken , ( Waar van hy my als Baas uitscheldt ) Dat hy my heeft dees stoel doen maaken , En hier in 't Laasrus-huis gesteldt ; Om u al t'zamen te doen weten , Of hy met reden sprak , of niet , Toen hy myn Gek , en Zot dorst heten , Met al dat leeft in myn gebiet .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.24	Of my dees vodden dan niet passen , En al dat Lasarus-livrey , Als of 'k ' er was in opgewassen , Dat toont hy u voor eerst in my , Terstondt , zal , om u te vernoegen , Hy u doen zien , met vreemt gedruis , Hoe zich de Minneryen voegen In de Messieurs van 't Laasrus-huis .	None
