huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.head.900.s.2	Eerste bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.902.s.1	Eerste tooneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.904.s.1	Achilles , Phenix .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.906.s.1	phenix	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.923.s.1	Wat zorgen zyn 't , myn Heer , die uwe ziel ontstellen ?	Worry_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.923.s.2	Wat nieuwe rampen , die u zonder eind dus kwellen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.923.s.3	De naare duisternis des nachts is noch niet gansch Verdweenen , door de komst en aangenaamen glans Van 't lieve morgenlicht : de Grieken en Trojaanen , Van gistren noch vermoeid , staan onder hunne vaanen Noch niet geschaard ten stryde : en gy , gy hebt alreeds De plaats van uwe rust , de vryplaats uwes leeds , Verlaaten , om alhier in eenzaamheid te zuchten , Schoon Troje van uw arm geen ramp meer heeft te duchten .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.925.s.1	achilles	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.929.s.1	Is myn Patroclus noch niet weêrgekeerd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.934.s.1	O neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.1	Helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.2	ik voel myn ' ziel van eene vrees bestreên , Die ik noit heb gekend in 't felste van het stryden .	Fear_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.3	Rechtvaarde gramschap , wat doet gy myn ' ziel niet lyden !	Emotion_BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.4	Waar toeft gy , waarde vriend ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.5	ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.6	wierdt gy my ontroofd , Zo miste ik al myn ' vreugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.7	Hebt gy my niet beloofd , Zo ras de staat u van het leger waar gebleeken , Hier weer te keeren ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.8	en gy blyft !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.9	is dit een teken , Dat myne bede u iets ter harte gaat ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.10	beloont Ge Achilles dus , die u zo zuivre een ' vriendschap toont ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.11	Een ' vriendschap , door geen tyd , noch nyd , noch twist te breeken !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.12	Maar Phenix , hoorde gy van gistren ook iets spreeken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.13	De woende Hector , met de bloem der Troische magt , Belegert ons thans zelve , is over onze gracht En schanssen heen gerukt ; de muur legt neergeslaagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.14	Dit is het , dat wy zelfs van onze schepen zagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.15	'k Heb één der Helden van ons leger , 'k weet niet wien , Gekwetst , en doodelyk , zo 't scheen , getroffen , zien Wegdraagen naar zyn ' tent .	None
