hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. hoofd speld vinden  Achilles en Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.head.503.s.1	nemen de persoon .	None
hoof001achi01_01.TEI.2.text.body.div.p.504.s.1	2 koor :	None
hoof001achi01_01.TEI.2.text.body.div.p.569.s.1	AchillesAgamemnonMenelausNestorGrieckenUlyssesDiomedesAiaxAutomedonPatroclus stomPolyxenaPryamusHecubaHectorAndromacheTroyanenParisHelenaAeneasAntenorDeiphobusAstianax stom	None
hoof001achi01_01.TEI.2.text.body.div.head.573.s.1	de drukker tot de lezer .	None
hoof001achi01_01.TEI.2.text.body.div.p.665.s.1	beminnen lezer , nademael doen kunst vinden rederijk in wij lief Vaderlandt zeer bloeyende opgaan , eend mede zulk kracht eend snellicheyt oprijst , die elk reed'lievend ' hart hij mede verwondering daar in verblijd , dies te meer , om die doen Gheesten vinden ons tegen - woordighen tijd inde kunst vinden rederijk wederom oprichten doen zuiver nederduits taal : in welk oprechtinghe de auteur deze Treurspels niet doen minst en zijn , mare doen meest , na hebben oordelen vinden velen treffelijk verstandig mens , zo die ik niet en hebben kunnen naerlaten deze teghenwoordighe Treurspel vinden Achilles en Polyxena door de Druc gemeen te manen , eensdeels om doen over - groot vloeyentheyt van Poetsche dicht , te ander om doen heerlijk lering eend sententien die de auteur hier in aenwijst , eend hoe naectelijck hij hier af-beelt doen begheerlijckheyt de ik - schen , eend doen veranderinghen vinden die , alzo die hij wij die naakt - lijk in een Tafereel afghebeeldet hebben : om te kort te zeggen , zijn nader brengen met tghene hij zijn , eend waar toen hij doen Nymphen stellen aanzien , te weet , te wees het hoofd van poeet t'onsen tij , zo die doen muis die drymael drie in ghetale zijn , door haar bieden Fama hij aanzien doel voer door gans Neder - land ; zo die meer dan billijk eend rechte zijn , die doen ghene die Fama mede haar gheluyt hebben wakker gemaect eend ook enig werk de - zelf hoofd aen de dag ghekomen zijn , die ook deze uitnemend bloem aen zijn Krans vlechten worden .	None
hoof001achi01_01.TEI.2.text.body.div.p.665.s.2	verhopen die de auteur deze werk , ik mijn arbeiden eend kost vinden deze Treurspel enten liggen te gheven , te goed nemen zullen , ghelijck ik wel weten die al konstlievende harten daar in een vermaak scheppen zullen .	None
hoof001achi01_01.TEI.2.text.body.div.p.665.s.3	vaart wel .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.667.s.1	[ D'Eerste handeling ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.668.s.1	D'Eerste handeling , eerst wtcomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.670.s.1	Achilles , Automedon	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.672.s.1	Achilles	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.1	Calchas Thestorijdes , alles ghij uw ghinct vermeten vinden Troijens ondergang de god willen te weet , Haa , weinig weten ghier vinden , alles ghij voorsaijde , die wijden negen jaar lang voor doen Troijaense stad Toebrengen zullen mede verdrieten en kommer , mare Verwinnen t ' goddeloos volk enten tiend ' en laatst jaar .	HeavyHeartedness_Worry_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.2	wan wassen de vallen nabij vinden Troijas hoog wal , Door wie hand zullen die alles door Achilles val ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.3	Calchas , woerd ghij in hebben waarzeggen zo leren , Ghij zout Achilles vallen aanzien profeteren !	None
