ross006zing01_01.TEI.2.text.body.div.head.278.s.1	De zingende kraamer , kaamer spel .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.281.s.1	KRISPYN komt uyt zyn Huys en zyd	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.1	SIe zo , dat gater weer op uyt , belast , en belaaden , En of ik wat verkoope zal , dat weet ik niet , dog dat mogt de drommel van te vooren raaden ; Waar nu het eerst heen , naa 't Turf-Schip ?	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.2	Kooperberg ?	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.3	of nieuwe Fontyn ?	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.4	Kom ik mag eens een veertjen opschieten , en dat zal myn wegweyzer zyn , Want wat bruyd het my waar ik myn goet ver koop al waar 't by de nikker op hellenbrugs haaven .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.290.s.1	Hy komt voor een Herberg en Zingt .	None
ross006zing01_01.TEI.2.text.body.div.sp.310.s.1	Wat moet een Mensch al draaven , En werken voor de kost ; Hoe lang zal ik nog slaaven ?	None
ross006zing01_01.TEI.2.text.body.div.sp.310.s.2	Eer dat ik word verlost ?	None
ross006zing01_01.TEI.2.text.body.div.sp.310.s.3	Het is een zwaare post , Die niet heeft om te bikken , Maar houw , bier valt te likken , Dit zal een Bagchus Schooltje zyn ; Ia , hier tapt men Bier , en Wyn ,	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.312.s.1	hy Spreekt .	None
ross006zing01_01.TEI.2.text.body.div.sp.318.s.1	Gants bloemerherten !	None
ross006zing01_01.TEI.2.text.body.div.sp.318.s.2	dat komt zeeper fyn , Want ik zie , dit is een Herberg , en daar zitte veele Menschen , Die moet ik eens met een vrindelyk gezigt goeden avond wenschen , En zien of'er niet een by is die van me Kraamery wat op doet , ô Wee !	None
ross006zing01_01.TEI.2.text.body.div.sp.318.s.3	wat ben ik loof , door 't tortze , en draage van al dit goet .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.320.s.1	hy gaat in de Herberg en Zingt .	None
ross006zing01_01.TEI.2.text.body.div.sp.344.s.1	Suvotre Serviteur , Koeragie ; Goeden avond al den bras , Dog bier komt geen Ianpotagie , Nog geen Waaltje met zyn kas , Neen , hier komt Krispyn getreeden , Die geen and're fonksje ken , Als ik heeden , Zal ontleeden , Eer ik weer na huys toe ren .	None
ross006zing01_01.TEI.2.text.body.div.sp.344.s.2	Als ik heeden , Zal ontleeden :	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.346.s.1	by Spreckt .	None
ross006zing01_01.TEI.2.text.body.div.sp.352.s.1	Hou myn stoutigheyd ten besten Hospis , dat ik hier zo in kom valle met myn dwaaze reeden ; En gy doorlugte vrinde , die hier zaame zyn vergaard , Ik bid ziet niet na myn kneevels , nog na myn baard ; Maar luysterd naar het geen , ik heede zal verhaalen .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.354.s.1	hy Zingt .	None
ross006zing01_01.TEI.2.text.body.div.sp.359.s.1	Hy koopter niemand krabben , of garnaalen of alykruyken alle eeve vars .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.361.s.1	hy Speekt .	None
ross006zing01_01.TEI.2.text.body.div.sp.364.s.1	Ho , ho , ik zie bylo dat lykt geen van de Musjeurs in haar Mars , En daarom wil ik eens wat anders op gaan zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.378.s.1	Wie wilder koekjes , of wat kraakelingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.378.s.2	Hoe , kykjeluy van die reede ook zo drommels bang ?	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.378.s.3	Wel aan ik Zing dan weer een aangenaamer Zang ; Want ik heb lietjes ook te koop , dat moetje weten , Ja meer als die vend die Pieter de Vos , of Kleyn Ian werd geheeten , Dog ik geefze goet kooper , Schoon dat hy ' er mee langs Straad kruyd , Zo moetje hem altyd een oortje voor 't stuk geeve , en ik geef de kult en keur voor een duyt , En dat is ook gezet Gelt , dan valter niet af te dingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.386.s.1	Des wie wil boore Zingen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.386.s.2	Van vreugde een nieuw Liet .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.393.s.1	Ik zwyg , want wie weet of zulks wel is geschiet , En om dan in deze zaake niet loogenagtig te weezen , Zo wil ik liever verhaale , wat ik laast in een Fillesoops Boek heb geleezen , Daar stond van een Weever die al slaapende zong op zyn getouw ,	None
ross006zing01_01.TEI.2.text.body.div.sp.400.s.1	In 't ronde , in 't ronde , alarm , dou , dou : In 't ronde , in 't ronde , in 't generaal ,	None
ross006zing01_01.TEI.2.text.body.div.sp.409.s.1	Ja dat waar altyt zyn deun al zat hy over 't maal , En ik zou het wel vorder Zingen , maar het is myn uyt de kop geschooten , Dog ik heb al lang by me zelven beslooten , Om eens te zeggen , wat voor een lantsman dat ik ben , Ik ben geen Snyder , ik ben geen Weever , ô neen , ik ken , Niet anders , als zo wat avoes , ik breng jou Oomen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.416.s.1	ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.416.s.2	Droomer wild niet langer droomen , Ontwaakt eens uyt uw sluymer bed :	None
ross006zing01_01.TEI.2.text.body.div.sp.422.s.1	Maar ik zie , gy lagt al den bruy om myn potret , Dog ik word niet kwaad , al kom ik zulx te merken .	Emotion_Anger
ross006zing01_01.TEI.2.text.body.div.sp.433.s.1	Die te luy is om te werken , Gaat maar meê na Kastrèkom , Daar is 't Lief , gy kund wel merken , Wat ik meen , of benje dom ?	None
ross006zing01_01.TEI.2.text.body.div.sp.442.s.1	Dog die geen pekuniam heeft , keert maar vrey weer om , Want daar woone niet als dolkoppige Boeren , En de Vrouluy zitten met de Rokken op haar kniejen , Dat is te zeggen , het zyn Hoeren , Die anders niet zoeke als jonge kwante met Gelt , En ik draag een broek zonder zakken , zo dat myn geen Munt en kwelt .	None
ross006zing01_01.TEI.2.text.body.div.sp.451.s.1	Hoord eens vrinden met malkander , Hoe dat den grooten Alexander , Laast vogt met een doode Rot ,	None
ross006zing01_01.TEI.2.text.body.div.sp.459.s.2	Die deun heeft , meê zeer weynig slot , Ook zo is het al ouwe kost , daarom moeter wat ander klinken .	None
ross006zing01_01.TEI.2.text.body.div.sp.459.s.3	War wille de Heere , een Vryagie ?	None
ross006zing01_01.TEI.2.text.body.div.sp.459.s.4	of een liet om te drinken : Ha , ha , ik zie gy knikt , en knikken is te zeggen ja ,	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.461.s.1	Een van de Heeren geeft hem een glas Wyn waar of by Zingt .	None
ross006zing01_01.TEI.2.text.body.div.sp.472.s.1	Wellekom , wellekom , Wyntje , la , la , Wellekom , wellekom , Wyntje , la , la , Wellekom Wyntje , Al waar het een Pyntje , Wellekom , wellekom Wyntje , ey ga ,	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.474.s.1	Hy drikt het glas uyt en zeyd .	None
ross006zing01_01.TEI.2.text.body.div.sp.479.s.1	Hy Musjeurs wie doet my dat zo na ?	None
ross006zing01_01.TEI.2.text.body.div.sp.479.s.2	Ik ben een Liefhebber van drinken , dat moet gy weeten , En ik ben ook graag ter plaatsen daar braaf wat valt te vreeten .	None
ross006zing01_01.TEI.2.text.body.div.sp.479.s.3	Dog wie hoorden ooyt dat iemand die gezont was het eeten verdroot ?	None
ross006zing01_01.TEI.2.text.body.div.sp.492.s.1	Breng brood , 't is noot , In dezen aanval groot , Agt , neege pond , Neem worst tot lond , En stryd tot in der dood .	None
ross006zing01_01.TEI.2.text.body.div.sp.498.s.1	Ja het heugt me nog , doen ik laast eens in de noot , Hier op den Amstel was , daar viel niet veel te bikken , Als zomtyds eens aan een boere Meyd haar mond te likke .	None
ross006zing01_01.TEI.2.text.body.div.sp.516.s.2	Zoete Meysje zonder gal , Hoe staat het al met jou muyse , muyse , muysen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.516.s.3	ô , Zoete Meysje zander gal , Hoe staat het al met jou muyseval ?	None
ross006zing01_01.TEI.2.text.body.div.sp.516.s.4	Ik heb een muysje , Kleynder als een luysje , Gund hem een plaatsje al in u poezel huysje ;	None
ross006zing01_01.TEI.2.text.body.div.sp.521.s.1	Soet , die deun is al te ligtvaardig , zo heb ik wel gehoord , En daarom is 't beter die reede maar gesmoord ,	None
ross006zing01_01.TEI.2.text.body.div.sp.530.s.1	Haalt mikkel , ter dybel , en ik moet voort , Zo de Min myn zinne bekoord , Dog evenwel bon kouragie ,	BodilyProcess_Love
ross006zing01_01.TEI.2.text.body.div.sp.536.s.1	Dat hoorden ik zingen , op de Bootermarkt , van Klaas Klomp , en Spring int-Velt op hun Stillagie , En des zo stel ik die gekke deun al meede aan een zy .	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.1	Laast zag ik eens in de Wey , Een heel Lieffelyk gevly , Al van een harders knaapje , Die door de Min ; Zyn Harderin , bekoorden ô dat aapje !	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.2	Hy riep staadig schoone Maagd , Die in uwe voorhoofd draagd , Twee volmaakte keykertjes , Ag !	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.3	ag !	None
ross006zing01_01.TEI.2.text.body.div.sp.564.s.4	myn hart , Is zeer verward , Door 't straale van die preykertjes .	None
ross006zing01_01.TEI.2.text.body.div.sp.580.s.1	En daar meê zag hy een eynde van zyn verdriet , Hoe , lagt gy Musjeurs ?	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.580.s.2	of gelooft gy het niet ?	None
ross006zing01_01.TEI.2.text.body.div.sp.580.s.3	Dog zo hier imand is die 't niet gelooft , vraagt het aan myn besje die zalder niet om liegen , Ja haar woorde gaan zo vast als een hand vol vliegen ; Dog dat's tot daar aan toe , een loogen op zyn pas , Is voor de ouwe luy een Spinnewiel met vlas , En magge zy zomtyds op de Straat eens labbekakken , Dan gaanse in grasduyne , dog om hier heel lang op te snakken , Van de ouwe luy , dat lykt myn Hoogheyt niet , Ik wil maar bekend maake vrinden , de man die gy hier ziet , Is altyd vroolyk van Geest , wanneer hy met zyn Kraamers winkel Komt in een Herreberg	Joy_Emotion_BodyPart
ross006zing01_01.TEI.2.text.body.div.sp.591.s.1	Iantje riep zy , kinkel , ô Iou lange scharreminkel , Wat doet gy van het bed ?	None
ross006zing01_01.TEI.2.text.body.div.sp.591.s.2	Kom nog eens in 't Paardewet .	None
ross006zing01_01.TEI.2.text.body.div.sp.599.s.1	Blieft'er ook iemand gediend te weeze ?	None
ross006zing01_01.TEI.2.text.body.div.sp.599.s.2	met een Bril voor een scheele pagedet ?	None
ross006zing01_01.TEI.2.text.body.div.sp.599.s.3	Ik heb'er nog twee met schoone vergroot glaazen , Spreekt'er niemand , wel wat ben jeluy maffe baazen , Het is haast niet te peynewaard dat ik hier kom met myn goed .	None
ross006zing01_01.TEI.2.text.body.div.sp.610.s.1	Myn Grootvaar droeg een hooge Hoed , Twee Schoene zonder zoolen , Hy heeft veel hemden , heel en goed , Zo wit als doove koolen .	None
