stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.head.199.s.1	eerst bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.head.200.s.1	eerst toneel .	None
stee033tham01_01.TEI.2.text.body.div.stage.202.s.1	Nadir , Nasser .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.204.s.1	Nadir .	None
stee033tham01_01.TEI.2.text.body.div.sp.215.s.1	o Ja , ik waard zode !	None
stee033tham01_01.TEI.2.text.body.div.sp.215.s.2	hebben geven ik velen genoegen , die gei , om bij u ' rank onsterflyke eer te vroeg , afkerig vinden doen rusten die gij in ik hof genieten , ik smeekte die ik uw uiten Ispahan ontbieden ' .	Joy_Emotion_EmotionalAction_Desire
stee033tham01_01.TEI.2.text.body.div.sp.215.s.3	gei nopen ik , door u ' moede en glorieryk verlangen , mede vreugde in Lahor , in ik leger , uw te ontvangen .	Joy_Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.sp.215.s.4	gei zullen , na u begeerte , op zijn keizer oorlogsmagt , zode talryk alles ik ooit te vellen hebben brengen , Hier , in zijn waggelen rijk , onfeilbaar triomferen : Die vijand kunnen geren heir vinden Persianen karn .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.sp.speaker.218.s.1	Nasser .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.1	ik vorst , hoe teder u gul ik ' oud broeder vleien , ik hebben meer bewijs , dan hij , vinden u genegenheid : laten hij gans Persie in u afzijn vrijen bestieren ; Ik plukken , door uw leiden , hier eeuwig laurier .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.2	verwachten die Nasser zien vol moed , gelijk een ' zode vinden groot Nadir voegen , in het oorlogsveld betoon ' .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.3	Gelei u volk te strijd ' .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.4	zijn zijn mijn offerande ?	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.5	Elk uur , elk ogenblik vertoeven zijn ' ik schande .	None
stee033tham01_01.TEI.2.text.body.div.sp.252.s.1	doen dartel Mahomet , verschrikken , vinden laf aard , Door vleier dwaas bestieren , de legerstafs onwaard ' , velen meer in weelde dan in oorlogskunde ervaren , weerstreven ik mede een heir vinden moedeloos schaarde ; Ik tijgen de Industroom , zelf zonder tegenstand , rijden over ; Lahor zijn verwinnen ; het gans landen mede zijn vijand bloeden bedekken : mare om ik legervanen Een ' wegge rotten in hebben harden vinden Indostan te baan , worden kloek beleggen vereischt , niet minnen dan krygsgeweld .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.252.s.2	doen roekeloosheid zijn geren kenmerk vinden een ' held .	None
stee033tham01_01.TEI.2.text.body.div.sp.252.s.3	doen keizer , in zijn heir begraven mede zijn groot , In zijn verschansing door ik bende insluiten , beroven vinden toevoer , worden , hoe listig hij het verbloemen , vinden hongersnood drukken ; hij zijn te vallen doemen : mare eer ik strydbaar volk , door wij mede wis schrede Op het glibbrig spoor vinden eer stoutmoedig voortreden , Die laf menigte in zij sterken zullen verslaan , moeten zij doen hongersnood te deel doel vergaan : Of zode doen vijand zelf , tot wering die ellende , Een ' aanval durven bestaan op ons legerbenden , Dan wachten , in het openen veld , hebben Persiaansche stalen Op het onbedreven heir een vroeger zegepralen .	None
stee033tham01_01.TEI.2.text.body.div.sp.264.s.1	gei zullen uw hier , niet minnen dan op doen Agwanen , wreken .	None
stee033tham01_01.TEI.2.text.body.div.sp.264.s.2	doen vorst vinden Indostan , die zijn verbinden durven breken , Die door hoogmoedig schrift uw eest vermetel honen , Die thans , in het mijden vinden zijn krijgsmacht , vrezen betonen , wieden velen geringer tal vinden bende kunnen versagen , Die eerelooze vorst verdiend doen wreed plaag : Ja , in zijn laf bestaan , zijn het hij te groots een eer , die hij zijn straffen ontvang ' door het Persiaansch geweer .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.300.s.1	u drift , u jeugdig harden voeren uw vinden het spoor de rijden : doen keizer Mahomet hebben roemenswaarde zede : Veracht hij niet te velen ; beklagen zijn ' tegenspoed .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.2	Indien ik waar , alles hij , in wellust opvoeden , Gewoon in wulps plegen , in dartelheid te leven , En aan een vleien hof een dwaas gehoor te geven ; Ik zij , niet minnen dan hij , hoogmoedig , ontrouw , laf , Een zwak beschermer zijn vinden kroon en legerstaf .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.3	zijn voorspoed zijn te groots , en maken hij onvermogend .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.4	Die ryksbestierder , hoe verbasteren , zijn meedoogend , Tot weldaen steeds geneigd en tot vergiffenis , Zoverr ' zelf , die zijn harden hierin te deugdzaam zijn .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.5	geren snood wraakzucht hebben vermogen op zijn zin : hij pogen door dwingelandij geren schat aan te winden : hij zij minnen keizer zijn , dan vader , op zijn ' tronen , Indien hij , minnen geluk , meer tegenspoeds gewoon , zien hebben geoefent in het bestieren vinden zijn staat , En minnen vermogen aan zijn vleien hof laten .	Emotion_Vindictiveness
stee033tham01_01.TEI.2.text.body.div.sp.300.s.6	doen vleitaal baard de vallen vinden het volkryk Indostan , schonen Nizamelmoluk , in spijt vinden Alikan , uiten zuchten voor Mahomet , voor het heil de onderdaan , die dwazen keizer in oprechtheid durven vermanen , hij toon die zijn macht , hoe groots , niet kunnen bestaan , Indien hij weigeren op zijn staat achten te slaan , En die , hoe meer hij zijn in waardigheid verheffen , Hoe meer hij zijn verplichten voor landen en volk te leven .	None
stee033tham01_01.TEI.2.text.body.div.sp.300.s.7	die vorst , mede al zijn heir , alsof hij feestdag vuren , In blinkend praalgewaad uitsporig opsieren , Aan het krygsvuur ongewoon , verzeld vinden all ' zijn vrouw , die vorst moeten Indostan de legerstaf betrouwen ; de lafsten opperheer , die door onwetendheid ontelbaar bende hier te slachting hebben leiden .	None
stee033tham01_01.TEI.2.text.body.div.sp.309.s.1	u Persianen , die , door heldenmoed bewegen , te wis zegepralen in het krygsveld zijn tijgen , bedrijven in de strijd , te oorlog opvoeden , Verwachten meer geluk vinden u beleggen en moede .	None
stee033tham01_01.TEI.2.text.body.div.sp.309.s.2	wie zieden u dapper vuist , gewoon te triomferen , Welhaast mede weinig volk gans Indostan verheeren .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.1	ik hebben mede deze klein heir ik ' toeleggen niet bestaan , het En zijde ik vijand door zijn groot zijn ' verraen , Die , torn ik arm zien op doen Agwanen hebben wreken , ik nopen in deze rijk hebben oorlogsvuur te stoken .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.2	zijde aanzien trouweloos ik hunn ' bijstand aangeboon , Opdat ik Alikan verhieve op zijn keizer tronen .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.3	Die snood voorwaarde zijn door ik niet aannemen : ik hebben echter heen misleiden , om tot ik witten te komen .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.4	uiten schandlyk zelfbelang hebben trouweloos Alikan , Arglistig ondersteunen vinden al zijn vloekgespan , zijn ' keizer , om het verraad door ik beleggen te stijf , doen groot feil vinden een ' veldheer doel bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.5	mare doen aanslag zijn vergeefs : het Mogolsche ryksgebied , Al baten ik doen ontrouw , zijn voor die verrader niet .	None
stee033tham01_01.TEI.2.text.body.div.sp.327.s.6	zijn gruwzaam wanbedrijf zullen hij in het korten berouwen .	Emotion_Remorse
stee033tham01_01.TEI.2.text.body.div.div.head.328.s.1	Tweede toneel .	None
