stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of De verovering van het Mogolsche ryk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.head.199.s.1	Eerste bedryf .	None
stee033tham01_01.TEI.2.text.body.div.head.200.s.1	Eerste tooneel .	None
stee033tham01_01.TEI.2.text.body.div.stage.202.s.1	Nadir , Nasser .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.204.s.1	Nadir .	None
stee033tham01_01.TEI.2.text.body.div.sp.215.s.1	ô Ja , myn waarde zoon !	None
stee033tham01_01.TEI.2.text.body.div.sp.215.s.2	het gaf my veel genoegen , Dat gy , om by uw ' rang onsterflyke eer te voegen , Afkeerig van de rust die ge in myn hof genoot , My smeekte dat ik u uit Ispahan ontbood ' .	Joy_Emotion_EmotionalAction_Desire
stee033tham01_01.TEI.2.text.body.div.sp.215.s.3	Gy noopt my , door uw ' moed en glorieryk verlangen , Met vreugd in Lahor , in myn leger , u te ontfangen .	Joy_Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.sp.215.s.4	Gy zult , naar uw begeerte , op 's keizers oorlogsmagt , Zo talryk als men ooit te velde heeft gebragt , Hier , in zyn wagglend ryk , onfeilbaar triomferen : Die vyand kan geen heir van Persianen keeren .	Emotion_Desire
stee033tham01_01.TEI.2.text.body.div.sp.speaker.218.s.1	Nasser .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.1	Myn vorst , hoe teêr uw gunst myn ' ouder broeder vleit , 'k Heb meer bewys , dan hy , van uw genegenheid : Laat hem gantsch Persië in uw afzyn vry bestieren ; Ik pluk , door u geleid , hier eeuwige lauwrieren .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.2	Verwacht dat Nasser zich vol moeds , gelyk een ' zoon Van grooten Nadir voegt , in 't oorlogsveld betoon ' .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.3	Gelei uw volk ten stryd ' .	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.4	Waar is myne offerhande ?	None
stee033tham01_01.TEI.2.text.body.div.sp.227.s.5	Elk uur , elk oogenblik vertoevens waar ' my schande .	None
