weye002holl01_01.TEI.2.text.body.div.head.158.s.1	doen hollands zinnelijkheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.head.159.s.1	eerst bedrijf .	None
weye002holl01_01.TEI.2.text.body.div.head.160.s.1	eerst toneel .	None
weye002holl01_01.TEI.2.text.body.div.stage.161.s.1	MEVROUW KEIZERS-THEE , CLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.162.s.1	CLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.sp.165.s.1	foei Spadulano !	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.166.s.1	M. KEIZERS-THEE .	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.1	foei Alfonso !	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.2	respecteren doen wijze faculteit : Coquette , spreckt , wat deren Aan Spadulano ?	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.3	wij zien ergens glad vloer , zo zuiveren alles kristal , of Ormus paarlemoeren ?	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.4	hij zijn d'Elixer vinden doen netheid .	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.5	het Blinkend goud , Gestoelte en kabinet die spiegelen zich in het houden : het kraken al wat hij hebben : ja die mare een zien pronk te loop zijn porselein , worden gewis alles dol en drinken uiten liefde tot ...	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.178.s.1	KLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.1	Ha !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.2	ha !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.3	bestaan verdienste dan In het boenen vinden een vloer , of schuren vinden een paan ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.4	wijken dan Alfonso , om die juist zijn zadel en stoel Niet glimp alles vernis : zijn zijn , plas , spoel hebben Minnewerktuig vinden hebben zoet Venus-wigt ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.5	Of zijn een bezemsteel zijn scherp liefde-schigt ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.6	die zijn fraai !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.7	zwichten dan een pluizen en zwierig equipage Voor het dodelijk magazijn en duf zalf-stellagie ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.8	( het geren Spadulaan misdoopt een heilzaam Apotheek ) Of moeten hij in zijn hoeden doen fulpeborstelstreek En koddig omtrek vinden een molensteen vertonen ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.9	Of moeten een oud pruik beschaad'we neuzen en koon , Die vijf a zesmaal dag nauwkeurig worden smeren mede water , het geren hij zelf uiten ei disteleert , Op datze in glans niet hoeven voor vloer en zadel te wijken ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.10	moeten ik in een plank , alles in een glas zich zelf bekyken ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.11	o !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.12	die zijn aardig .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.1	zwijgen , zwijgen Juffrouw papegaai , Die d'Uil kiezen voor een valk , en het kras vinden een kraay Voor het zoet boom-muzyk vinden lente-nagtegaalen .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.2	Die lichtmis ?	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.3	foei , uw aan !	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.4	ja ik durven hebben niet verhaal Hoe schelms hij hebben doen glans vinden het groots Salet vermoorden , torn hij zijn afscheid nemen , gepluimt , gelaarsd gespoord , En helen doen vloer bedurf mede frans compliment .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.5	die wassen een scheur ( alles of m'er pruim op zij ent ) Die het besteden Kabinet krijgen door zijn hels rapier , Op het laatst nog een springen naar d'alamode zwier : Daar vallen een Gardefeu ; ginds bei doen Gerridonnen , chinees Goodjes ...	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.7	wij zij hebben noemen kunnen Wat smaad en schade ik vinden Mejonker hebben geleen : ik zetten schier geren voeden , of het wassen te half been In slijk en poeder , daar doen vloer mede wassen betrekken , alles of een maarts bui vinden sneeuw en wintervlokken Daar neder storten wassen : mare het en zullen niet meer geschien , het Uur vinden acces zijn uiten ; ook zullen ik in het korten uw zieden Een wettig Huisvrouw vinden een deftig Apotheeker .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.8	Hier zijn hebben vonnissen Nigt .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.9	het zijn vasten .	None
weye002holl01_01.TEI.2.text.body.div.sp.230.s.1	Neen het zijn onzeker , Neen het zijn onmogelijk zelf , die zweren ik uw Mevrou : het zijn zeker die ik eer vinden hartzeer sterven zij alles die te stem : ach !	BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.sp.230.s.2	hoe zullen ik ik begeven , Om mede die stenen Antyk in het hout juk te leven , Ik , die steeds vinden doen bloem de jonkheid worden geeert .	None
weye002holl01_01.TEI.2.text.body.div.sp.230.s.3	ik Oom hebben dan vergeefs zijn penn'gen gespendeert Aan Juffrouw Spadulaan : ik zullen tot het uiterst komen Eer ik Alfonso durven .	None
weye002holl01_01.TEI.2.text.body.div.sp.234.s.1	Tut tut , al meisje droom ; weten die uw kapitaal hier onder ik berusten .	None
weye002holl01_01.TEI.2.text.body.div.sp.238.s.1	Mevrouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.248.s.1	ik Heer uw Oom , die na doen Spaansche kussen zich voor twee jaar begeven , zijn dood na apparentie ; Hier zijn zijn laatst willen , die strekken tot een sententie En tomen aan het hollent paren vinden juffrouw zot drift .	BodilyProcess_Anger
weye002holl01_01.TEI.2.text.body.div.sp.248.s.2	het zijn tij dan zoetert , datje een het goed vinden het kwaad schiften .	None
weye002holl01_01.TEI.2.text.body.div.sp.248.s.3	kiezen het gewis voor het ongewis , nooit zullen het uw wel geluk , te zijde jouw ootmoedig uw genegentheen doen bukken na Spadulano .	None
weye002holl01_01.TEI.2.text.body.div.sp.248.s.4	Hoe !	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.250.s.1	KLARINDE mede een flauw stemmen .	None
weye002holl01_01.TEI.2.text.body.div.sp.252.s.1	onpasselijkheid , Mevrouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.258.s.1	Daar zijn geren zwarigheid , komen Antonette gouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.258.s.2	Ha , ik zien door het masker vinden geraffineerd tranen doen licht Alfonso , die doen weg eend banen vinden Nigjes eerbaarheid onveilig hebben maken .	BodyPart_BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.sp.261.s.1	Ik zweren Matante .	None
weye002holl01_01.TEI.2.text.body.div.sp.269.s.1	Ja die poppezweeren raken ik niet op het alderminst : ik kennen die sekse zij kermen .	BodilyProcess
weye002holl01_01.TEI.2.text.body.div.sp.269.s.2	komen vliegens Antonet , of het schaap stikken in ik ermen .	None
weye002holl01_01.TEI.2.text.body.div.sp.269.s.4	Juffre tranen , waarje oprecht zode wel alles fijn , gei zullen alles beendren vinden Santinnen bij het dozyn mirakel werk .	BodyPart_BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.sp.269.s.5	heide !	None
weye002holl01_01.TEI.2.text.body.div.sp.269.s.6	komen lustig Antonette .	None
weye002holl01_01.TEI.2.text.body.div.div.head.271.s.1	Tweede toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.272.s.1	M. KEIZERS-THEE , KLARINDE , ANTONETTE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.273.s.1	ANTONETTE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.1	Hier zijn ik .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.2	Heer Mevrouw zijn die een brandklok zet , Ik schrik , ach Juffrouw , ach !	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.3	wij hebben die lam verstoren ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.278.s.4	Mevrouw het zijn zeker zonde en schande , gei vermoorden u Nigt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.281.s.1	foei Spadulaan !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.282.s.1	ANTONET .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.286.s.1	nul ik , die doen zij stuk , die gei die brokje namen , gei zullen uw niet verslikken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.286.s.2	Mevrouw u keel zijn , na ik denken , niet half zo nauw .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.293.s.1	Wel onbeschaamd duif , en geil spinhuis-paauw ; die kooitje zullen nog een u stout bek beteuglen , het zijn recht een plaatsje pop voor ligtgehielde veuglen ; wan het zijn uw voorbeeld het geren die indruk in zij hart maken hebben , spinnenkop .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.294.s.1	ANTON .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.297.s.1	ik worden appelgraauw en zwart uiten eerbaar schamen .	Emotion_BodilyProcess_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.303.s.1	u schamen , zwijgen aangebrande pan ; u dronke Jan en wassen nog doen eest , nog laatst , hanne , Die zich verstrikten in uw geil spinnenweb .	Emotion_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.306.s.1	wij eerlijk zijn Mevrouw ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.307.s.1	M. KEIZERS-TEE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.1	zwijgen Basilikus Neb .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.2	Saffraan mede thee verfrissen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.3	deze flaut ' zullen zij verdwijnen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.311.s.4	Adieu tot wederzien , gehoorzaam Cozyne .	None
weye002holl01_01.TEI.2.text.body.div.div.head.313.s.1	Derde toneel .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.314.s.1	KLARINDE , ANTONET .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.321.s.1	het wassen ruimen zode goed die gei in het kooitje lopen alles ik ; hebben spinhuis seldrement , het zijn wonder zode ik niet stikken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.321.s.2	Neen die appartement zullen uw velen goed pas , wan vegen , schrobben , hebben geboen en het morsen , zijn , zijn zaak en daar Mevrouw zich steeds ik diverteert .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.324.s.1	ach , Antonet doen apotheek !	None
