hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. hoofd GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.head.887.s.1	inhouden	None
hoof001gran01_01.TEI.2.text.body.div.p.924.s.1	Granida enig dochter , en erf-Princesse vinden Persia , op doen jachten afdwalen vinden haar slepen , komen te plaats daar zijde Daifilo herder mede Dorilea , die hei op min vervolgen , vinden kouten ; dewelke haar niet en cunnende onderrichten vinden hebben spoor de voorrijden jager , vinden haar gevraecht worp na enig fontein om de dor te lessen .	None
hoof001gran01_01.TEI.2.text.body.div.p.924.s.2	Daifilo bieden doen prinses te drinken uiten een schelp mede zo heussche gene - genheit , die dezelve , gehulpen vinden zo weltepasse dienst , ook na haar verscheiden vinden daar , de Prinssesse welgeval - lende nauwelijks uiten de zin goed .	None
hoof001gran01_01.TEI.2.text.body.div.p.924.s.3	Daifilo , te ander zijden , besluiten zien te hof te begeven om doen tegenwoordicheit , en dienst wil vinden zo waardig Prinssesse .	None
hoof001gran01_01.TEI.2.text.body.div.p.968.s.1	Daifilo , zien geven hebben in dienst vinden Tisiphernes , op hoop die die alles een prins vinden groot verdienste bij doen kroon vinden Persia , becomende hebben huwelijk vinden Granida , hei door die middel aen haar dienst mogen geraken , kwijt hij zo die zijn heer hij grootlijx vertrouwen , hij seijndt aen doen prinses , om haar gunst te aanzien enten eindelijk ver - zoeken , die hei na zo langen vervolg om haar gaan doel aen haar vader ; alwaar hei ontzeggen worden vinden zijn tegenvrijer Ostrobas , soone vinden de koning de partij , tegen doen welk hei aannemen de ander dag te vechten .	Emotion_Hope
hoof001gran01_01.TEI.2.text.body.div.p.968.s.2	doen Prinssesse zo bekommeren over het aanstaande huwelijk , alles bewegen door hebben nieuw zien vinden Daifilo , komen die avond aen doen ven - ster , op geluk of enig passeren muziek haar quellage wat verzachten mogen , onder doen welk zijde , door het glas zien zonder gezien te wees , hij passer en hoorende verzuchten , nemen hebben zelf op voor tekenen vinden waarachtig liefde , haar daar - om beclagende over d'ongelijckheit de staat de wereld .	EmotionalAction_BodilyProcess_Dissapointment_Desire
hoof001gran01_01.TEI.2.text.body.div.p.994.s.1	Daifilo verklaren aen zijn heer zijn liefde , en d'oorsake waar - om hei in zijn dienst gecomen zijn , hij biddende te leiden die hei in zijn stad , en mede zijn wapen bedekken , tegen de Parth mogen strijd , tot hebben welk hei hij mede reden be - wegen .	EmotionalAction_Desire_Despair
hoof001gran01_01.TEI.2.text.body.div.p.994.s.2	Daifilo verwinnen en verslaan Ostrobas .	None
hoof001gran01_01.TEI.2.text.body.div.p.994.s.3	Tisiphernes be - sluiten de ander dag doen prinses te bezoeken : mare Dai - filo , nog die avond onder haar venster passeren , worden door haar bevel roepen vinden haar voedster .	None
hoof001gran01_01.TEI.2.text.body.div.p.994.s.4	zijde ontdekken elckander haar onderling liefde .	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.p.994.s.5	Granida zeggen reden om mede hij te vertrekken , en een harderinnen staat troosten te zijn : welk aenbiedinge hei , na die hei haar doen zwarigheid vinden zulks voor houwen hebben , en verstaan doen zelf vinden haar al te voorn overwegen te zijn , mede groot danckbaerheit aen - nemen .	Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.1	doen voedster vinden Granida , op haar zijden gewinnen zijn , komen verklaren voor de koning , eend Tisiphernes , die doen prinses , mede groots spook , voor een god schaken zijn .	None
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.2	Tisiphernes , zien op het schoon zijn hopen te leur stellen , zijn om razend te worp .	Emotion_Hope_BodilyProcess_Dissapointment_Anger
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.3	mare Daifilo , die haastig te hof wedergekeert wassen om kwaad vermoeden voor te komen , hij onderrechtende doen zijn moeten wat bedaren .	None
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.4	hei nog - tand , walgen vinden doen wereld , besluiten mede luttel geselschaps voortaan door het land te reizen , en verclaerende Daifilo waar - achtige verwinner vinden Ostrobas te wees , leveren hij zijn staat over , dewelke hei eerbiedelijck weigeren beloven gaan - doen te slaan , tot tijd toen , die zijn Prinssen moeten wat besae - dighe .	BodilyProcess_Disgust
hoof001gran01_01.TEI.2.text.body.div.p.1065.s.1	doen geest vinden Ostrobas verschijnen aen zijn vriend Arta - banus , die mede hij in Persia wassen gecoomen , hij opstutsende , om wraken te nemen op Daifilo , dewelke de eerst mor - genstondt op het land mede doen Prinssesse spreken , vinden hij en zijn volk , beijde gevangene worp om opofferen te zijn aan hebben graf vinden Ostrobas .	None
hoof001gran01_01.TEI.2.text.body.div.p.1065.s.2	mare Daifilo , zien d'overlast vinden band diemen doen Prinssesse aendede , breken doen zijn , te weer raken tegen zijn vijand ; op welk gerucht Tisi - phernes , die bij geval niet ver vinden daar zijn weg volchde , doen gelieven komen ontzetten , dewelke bekennen zijn , beklagen haar deerlijk die d'eene ramp d'ander jagen , hebben geluk wel hardneckelijck scheiden besluiten te zijn tot haar bederven .	None
hoof001gran01_01.TEI.2.text.body.div.p.1065.s.3	mare d'eedelhartighe prins , in plaats vinden hij tegen haar te verbitteren , verwonderen zien over haar zeldzaam liefde , en gebiedende haar goed moed te aanzien , beloven en vercrijcht haar haar zoen vinden de koning , diese beijde mede blijen welkom onthaelende te saemen huwen .	Emotion_Love_Wonder
hoof001gran01_01.TEI.2.text.body.div.head.1068.s.1	personage	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1070.s.1	granida	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1072.s.1	daifilo	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1074.s.1	tisiphernes	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1076.s.1	dorilea	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1078.s.1	koning	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1080.s.1	ostrobas	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1082.s.1	artabanus	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1086.s.1	voedster	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1090.s.1	rijden vinden juffrouw	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1094.s.1	rijden vinden harderinnen	None
hoof001gran01_01.TEI.2.text.body.div.p.1103.s.1	vs. 1 -4	None
hoof001gran01_01.TEI.2.text.body.div.div.head.1107.s.1	eerst delen	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.1	hebben vinnig straal vinden doen zon Ontschuil ik in het bosschage ; Indien deze bosje klappen con , Wat melde het al vrijage !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.2	vrijage ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.3	Neen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.5	ja , vrijage zonder mennen ; vinden honderd herder ( zijn niet schade ? ) Vindtm'er getrouw niet een .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.6	Een wullepsch knaepjen altijd stuirt na nieuw lusten zijn zin : Niet lang alles hebben weigeren duren , Niet lang duren hebben min .	EmotionalAction_BodilyProcess_Love_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.7	ik hartje trekken ik wel zo zeer , zo zeer , dor ik hebben waag ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.8	mare neen , ik waag ' hebben nimmermeer , haar min zijn mare vlaag .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.9	mare vlaag , die thans overgaan , En op een ander val ; Nochtans , ik zien ik vrij aen Voor trouw vinden haar al .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.10	mare of het uw missen dom maagd , gij zien hij niet vinden binden , Dan het schijnen wel : die geren rusten en wagen , kan kwalijk lusten gewinnen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.11	of ik hij ook lichtvaardig vinden , En het beven in deze bosschage , Indien deze bosje klappen con , Wat melde't al boelage !	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.1182.s.1	dorilea , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.1	daar zijn hei .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.2	Och hoe zijn ik inde zaak beladen !	HeavyHeartedness_Worry_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.3	goed die ik ik versteeck onder doen bruin brand , In het diep vinden hebben bos , al eer die hei ik zien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.4	goed zijn hebben , goed zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.5	ja , mare vinden hei ik dan niet ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.6	weten ik wel wat ik willen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.7	ik zijn vervaard voor het min , Ontschuil ik lief , en vrezen die hei ik niet zullen vinden .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.8	Neen , goed blijfdij hier dan of ghij verder gingt , Hier komen hei doch voorbij ; mare lustre wat hei zingen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.1	Die gebod dienst versmaden , Wenscht'er wel om alles het zijn te laat .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.2	Windeken daar hebben bos af drillen , wezen ik brak doen op hebben wild die ik jagen , spreiden doen haag , En doen telg vinden elckaer , Mogelijck schuilen ik nimf daar .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.3	vs. 39 -44 nimf , zo ras alles gij vermoeden , die ik gang tot uwaerts spoed , lopen ghij schuilen , Inde kuil , En hebben diep vinden hebben woud , daar ghij mede reden vervaard zijn soudt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.4	Vreesdij niet die doen sater , daar uw een mogen nemen waar , En beknellen , het zijn gezel , Die wel nemen t'uwer spijt het geren daar een herder langen om vrijen .	None
