vond001jose05_01.TEI.2.text.body.div.head.163.s.1	jozef in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.head.164.s.1	hebben eerst bedrijf .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.166.s.1	rijden vinden engel .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.166.s.2	jozef .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.1	zien jozef , Rachels zode , en Jakobs staf en stutten , Hier slapen in doen heide , bij die bemost putten ; waar lang doen heirbaan lopen na Dothan , en die weiden , daar hij zijn broeder zoeken : terwijl wie hemelreien , Door lassen de hemelvooghts , hij naarstig gade slaan , Die zien , te nacht helen spade , torn d'ondergaende manen In het gras vallen , hier , vermoeien vinden reizend , neder gaan liggen , In woest en eenzaam veld , begroeien mede ruigte en heg ; alles of hij d'Engelen en god , die overal mede zo velen ster waken , allee doen wachten bevelen , En onbekommerd wassen voor onraad , en voor dier , Die in deze wildernis , vinden dor of hongeren tier .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.2	nul Hemelkint , o zorg de Englen , slaap vrijen heen , En wandelen dan rusten : wie tal al u treden , wie banen uw de weg , door steenrots ruigte en dooier , na zijn wereld heerschappij , en hoogheid , uw beschoren Tot wasdom vinden het slachten , hebben welk zijn ' oorsprong nemen uiten u stantvastigen outgrootvaer Abraham ; wie hopen een keten smeden vinden endelooze schakel , de neef , hij beloven door onverzierde orakel ; waar vinden gij , eedle spruiten , hebben werktuig strekken moeten , En liggen d'eersten stenen en grondsteen , aen de voeden vinden het stamhuis , het welk , eest liggen vinden toppen en nauw besluiten , te lest mede zijn hoofd , doen ster komen te stoten , En ruickende voorbij de op - en ondergangk , hebben aerdrijck en de dood en afgrond hout in dwangk : Dies of uw in de slaap iets naers zijde voorkomen vinden het naken ongeval , die doen u ' geest niet schromen mare zien een , hij ontwaeckt , om vrolijk mede hebben liggen Te heffen in doen luchten die jeugdig aengezicht .	Joy_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.201.s.3	hij rijzen , doen zinnen mede hij .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.4	daar staat hij op zijn voeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.5	laat horen , hoe hij god en het morgenlicht zullen groeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.203.s.1	joost .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.1	doen zinnen verlaat doen kim , velen schoon danze plegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.2	zijde wekken ik uiten de dromen mede een ' gewenst dag , En schitteren in de dauw en bloem , natten vinden druppen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.3	daar doen zien het landschap op , en Dothans steil top , mede bei zijn heuvel , vinden klaveren dichten begroeien , beplanten mede vijg olijf en wijngaard , en besproeien vinden bron om einde ' om , waar uiten doen beek spruit .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.4	doen herder , op voor zinnen , gaan kooi en stelen ontsluiten , En trek beemdewaert .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.5	ik dunken , ik horen alree hebben loeien en het geblaat vinden het broederlijk vee .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.6	Hoe strijken ik die geloei vinden het harden deze zwarigheid , waar vinden ik geest te nacht benart scheiden , en bestrijden .	Fear_Emotion_BodyPart
vond001jose05_01.TEI.2.text.body.div.sp.267.s.7	Wat dromen ik zomtijds niet , die luttel nadruk hebben ; En het moeten een bloohart zijn , die velen om droom geven .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.8	ik denken ik wereld omringen vinden negen wreed slang , zien stellen in het gelid en schrappen , om ik te vang .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.9	zijde geesselden in het eest malkandren mede de staart , En sarden haar wrok door stramen , en door smarten .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.10	doen gramschap stijgen allengs in het hoofd , en komen vliegen En slaan , gelijk een branden en licht vlammen , te oog , alles door twee venster , uiten in het eend , en drijven en dringen doen groen gal en het blauw vergif tot op doen tong ; slijpen alles een pijl , toeleggende om te mik , En drillen in doen keel , verhitten om bloed te slikken .	Emotion_BodyPart_BodilyProcess_Anger
vond001jose05_01.TEI.2.text.body.div.sp.267.s.11	die geven een na gezicht .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.12	doen duisternis verdwijnen , En wereld kloven , waar het vieren door d'ope blik scheiden .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.13	ik zien blauw en schemeren goud de rug vol schub spikkel , En het lang lijf zien uiten en in mede krul wikkelen , ik horen het sissen vinden haar bekken , geil vinden zuchten ; alles moeder geest ( zo het scheiden ) hebben hoofd in ons luchten opsteken uiten de putten , mede nagel en hand haar slordig haar doen barsten en het aanzicht aen komen rand , En storen mijn slaap mede hees en droef misbaar : Op zode , op op , vlieden weg , u ' leven lopen gevaar .	Emotion_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.267.s.14	ik vliegen op verbaasd .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.15	ik zien verbaasd rondom ik heen , mare zien nog horen niets , alles driemaal deerlijk steen uiten deze putten , torn ik ik weder te rusten liggen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.16	daar naar scheiden het of ' er een al fluisteren zeggen : scheppen moed , o jongelingk , god zullen u reis zegenen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.17	ik willen dan , troosten in god , ik broeder gaan bejegenen , En groeten heen vinden ver , ootmoedig en beleefd , uiten vader nader , die ik tot heen zenden hebben .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.18	Een heus groetenis kunnen onlust en krakeel En huistwist , tussen bloed en broeder zomtijds heel , En hart strengelen door onderling vrede En vriendschap ; en misschien waar in ik heen misdee Door onbedacht zaemheit , waar uiten iets kwaad mogen zijn .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.19	zulk een bejegening willen ik de jong pas .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.20	ik vader maken ik wel eer die vredespoor , winnen zo zijn broeder harden , en gaan zijn zone voor .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.21	Doch ik willen ik trouwen broeder niet bij ik ' oom gelijk , Die wild vinden aard , zijn ' broeder velen jaar dwingen te wijken na Laban ons oom ; wie vee hij drijven te wedde En wei , tot die doen tijd die wrok hebben nederzetten .	Emotion_Loyalty_Spitefulness
vond001jose05_01.TEI.2.text.body.div.sp.267.s.22	Indien het ik lip aen bevalligheit mogen falen ; zo willen die mild god , wieden zo velen nachtegaal Nu , mede zij nuchter keel vol orgel , om strijd vasten groeten , mijn mond , zijn eer toegewijt , mede paradijs dauw tocht besprengen , om te spreken het geren d'ooren lekker smaken , en eendracht op kunnen kweken : god Engel , die weleer ik ' vader hebben leggen , geleide ik eest na stad , om het zeker bescheid .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.291.s.1	nul Bronaer de alziend zorg , Wat liggen uw oorsprong diep verbergen En duister , niet allee voor het oog de mens , mare ook zelf voor engel , Eer zijde zien onder mens mangelen ; En nederdaelen , vinden om oog ; daar d'Allerhooghste zitten stijgen , Om , na zijn wijsheid , t'overwegen , Wat naar te wereld zullen geschien ; hebben welk hij zomtijds spelden door droom , Op die zijn witten , in het liggen komen , hij tot een groot glorie die .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.291.s.2	laat hater slincke hand vrijen zaeien , god recht weten doen vlucht te maaien .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.291.s.3	het goed boven menselijk vermoeden , die wie mede jozef herwaarts reizend na Dothan , en vinden Memphis deinzen , Om derwaarts groot springen te doel .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.1	Ja Vader , laat doen mens ruiken , Hoe gij doen kwaad kunde gebruiken , te goed vinden hebben aerdsch slachten ; alles gij viool onder doorn goed pluk , en u ' uitverkoornen Door uw beleggen zetten in zij kracht .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.2	doen deugd en doen huisgebreken , Dus bij malkandere lijken vertonen klaar elk haar aard .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.3	Niet ruw , mare geslepen steen Een ' kostelijk glans verlenen : Een puicksteen zijn wel slijpens woerd .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.4	doen puicksteen heldert op door het schuren , En kunnen doen proeven en het oog verduren .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.5	zo zullen ook Josephs braaf jeugd Dan d'allerdomsten op doel merken , alles zijde verstrecke , om op te werk , doen puik - en proefstof vinden doen deugd .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.324.s.1	zo ver en uitheems vinden zijn ouder , verwachten hebben dienstbre juk deze schouder , Die , onvolwassen en nog zwak , scheppen zijn een rijk te schraag ; Een Koning zelf te helpen dragen die onverdraeghelijcke pak , En welig oogst op te lade , Om mager jaar te verzaden .	None
vond001jose05_01.TEI.2.text.body.div.head.327.s.1	hebben tweede bedrijf .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.329.s.1	Simeon .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.329.s.2	Levi .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.329.s.3	Judas .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.1	te goed uur wie , om het vee volop te geven vinden gras en klaveren , die vinden Sichem herwaarts drijven .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.2	Hier lachen doen groen beemd doen graag kudde aen , Die , om de heuvel , tot de buik in klaveren gaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.3	mare broeder , ik bidden uw , zien .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.4	wij ijlen daar stewaert heen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.5	ik zien het hoofd , nu het half lijf , nu knie , nu bei doen been .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.6	daar stijgen een op de toppen de heuvel , lang die kanten .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.339.s.1	Le .	None
vond001jose05_01.TEI.2.text.body.div.sp.342.s.1	zo doen hij , Simeon , en hebben in d'eene hand de staf .	None
vond001jose05_01.TEI.2.text.body.div.sp.342.s.2	wij mogen die zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.344.s.1	Ju .	None
vond001jose05_01.TEI.2.text.body.div.sp.347.s.1	hij spoed mede lucht springen .	None
vond001jose05_01.TEI.2.text.body.div.sp.347.s.2	ai Levi , zien een toen , wieden lijken die , manna of janhen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.353.s.1	hebben huppelen , Judas , passen een ' wuft janhen eer , alles een ' volwassen manna .	None
vond001jose05_01.TEI.2.text.body.div.sp.353.s.2	hij draaien zien heen en weer , rechte of hij iemand zoeken vinden herder en vinden hoeder .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.355.s.1	Ju	None
vond001jose05_01.TEI.2.text.body.div.sp.357.s.1	bedriegen hebben oog ik niet , het zijn een vinden ons broeder .	None
vond001jose05_01.TEI.2.text.body.div.sp.361.s.1	zij het wel doen dromer zijn , die na wij omzien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.363.s.1	Si .	None
vond001jose05_01.TEI.2.text.body.div.sp.365.s.1	het lijken de dromer wel .	None
vond001jose05_01.TEI.2.text.body.div.sp.371.s.1	nul passen , o huisverdriet !	None
vond001jose05_01.TEI.2.text.body.div.sp.371.s.2	Gewis doen dromer komen .	None
vond001jose05_01.TEI.2.text.body.div.sp.371.s.3	wat jagen hij na deze hoek ?	None
vond001jose05_01.TEI.2.text.body.div.sp.376.s.1	ik gissen , hij worden sturen , om wij en het vee te zoeken , Om te doorsnuffelen , hoe het hier omtrent al staan .	None
vond001jose05_01.TEI.2.text.body.div.sp.381.s.1	Op die hij wij verklick ?	None
vond001jose05_01.TEI.2.text.body.div.sp.381.s.2	die hij doen hagel slaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.381.s.3	doen donderen slaan die hoofd , het welk altijd malen vinden droom .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.1	verstoren uw niet te vroeg : hij zijn vinden passen komen , Om lot na zijn verdienst t'ontfangen zetten uw wat , Of slaan een ' ronde ring .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.2	hij nemen de weg na stad .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.3	wie aanzien tijd genoeg , om vinden zijn straffen te spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.389.s.4	Hier vallen gelegenheid om al wij leed te wreken .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.speaker.391.s.1	Iu .	None
vond001jose05_01.TEI.2.text.body.div.sp.393.s.1	En alles het wreken zijde , verantwoorden dan doen wraak .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.398.s.1	wij kennis dragen vinden het stuk , geven rijden vinden zijn zaak .	None
vond001jose05_01.TEI.2.text.body.div.sp.398.s.2	Ontkennen zijn wij het reetste , en wis dan het verweren .	None
vond001jose05_01.TEI.2.text.body.div.sp.404.s.1	het zijn goed zonder schade dan mede zijn schade te lederen , wij geld moeten in het stuk , moeten ook te zaak rad .	None
vond001jose05_01.TEI.2.text.body.div.sp.404.s.2	ik stellen de misdaad voor , wat hebben die kind misdoen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.417.s.1	Wat hebben die kind misdoen ?	None
