bred001moor01_01.TEI.2.text.body.div.div.head.3771.s.1	nemen de spellen personage .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3789.s.1	Ritsart , een Ionghelingh .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3794.s.1	Koenraat , doen vader Makelaar .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3797.s.1	Moy-aal , een Snol .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3802.s.1	Writsart , een Aankomelingh .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3807.s.1	Katryntie , ' tHaagsche Dochtertje .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3814.s.1	kakkerlak , doen pannenlikker .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3819.s.1	Roemert , doen Kapiteyn .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3822.s.1	Angeniet , een Dienstmeyt .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3825.s.1	Frederyck , een Iongman .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3828.s.1	Reynier , een vrij .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3835.s.1	Klaartie klonter , een Morssebelletje .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3838.s.1	Negra , doen moors .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3846.s.1	Ian-Neef , doen kok .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3851.s.1	Geertruy , doen Minne-moer .	None
bred001moor01_01.TEI.2.text.body.div.div.list.item.3854.s.1	Lambert , doen Vader vinden Ritsart en Writsart .	None
bred001moor01_01.TEI.2.text.body.div.div.head.3861.s.1	eerst uitkomen vinden hebben eerst bedrijf .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.3867.s.1	ritsart , Koenraat .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.1	Wel wat zullen ik dan doel ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.2	zullen icker gaan of niet Nu zijde ik uit haar zelf en vrijen willen ontbieden ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.3	Of willen ik ik zot lusten mede rijden nu besnoeren En vlijen hebben bedroch de afgherechter hoer ?	BodilyProcess_Love_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.4	Die looslijck mede ik spotten , alles ik tot harent komen Dan sluytse ik voor door , dan roeptse ik wederom , En zetten ik toot op toot en lopen bij ander pol .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.5	ik weten niet hoe ik willen , zo zijn ik kop op rol !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3904.s.6	Neen ik en gader niet al bidden zijde nog zo zeer , ik zin zijn keren :	Emotion_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.3906.s.1	koenraat	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3952.s.1	het zijn uw ook het goed ik Heer die gij doen gayle tucht de harten goed in houden , En gheefdy gheen ghehoor de looser licht vrouw , gij wereld uw zelf voogd , het zijn wel datmen beginnen , En stadig blijven bij het werk , ghestadicheyt verwinnen : Doch zijn uw zin zo wuft die gij uw niet kunde breken nog koel uw gemoed , en lopen haar weder smeken mede liefelijk gheplaar vinden woord suycker-soet , Tot haar schalckheyt markt die ghyt uit liefde doen , zo zijn mede uw doen !	Emotion_EmotionalAction_BodyPart_BodilyProcess_Love_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.3952.s.2	uw zaak gaan verliezen , wan zijde zullen uw mede schijn vinden vriendschap zo bekoren , Bekollen dol en dom : zo die gij zonder maat Nauw weet zullen of gij op hooft of voeren goed .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3952.s.3	En hangdy harden of ziel an haar beveynsde treek zo zullen zijde endelingh de draak nog mede uw steek ; die zijn de hoer aard .	BodyPart_Dedication
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.3954.s.1	ritsart	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3962.s.1	Dewijl doen zaak zo staan , bezinnen uw en verzinnen voor ik een goed raad : denken een , nog een , nog een !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.3962.s.2	en vragen an uw gepeins Hoe die ik ik verdrieten en min goed zullen veinzen .	Emotion_Love_Sadness_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.1	nul meest !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.2	uw ellende ontroeren ik zonderling , En wat doen minnen belangen die zijn een zeldzaam dingen , s'Is raad en redenloos , en zo wild vinden manier die wijsheid , kracht , nog kunst , haar woestheid kunnen bestieren .	Emotion_Moved
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.3	Al deze ghebreecken zijn voornamelijk inde minnen alles laster , kwaad vermoeden , bekommering vinden zin , En rueckeloosheyt sloffen , en velen onnut vrees , En zorg , licht-gheloof , betuetering vinden wees ; En achterclap , en haten , en twijffelinghen mede En verandering vinden bestand , vinden krijgen , vinden vrede .	Suspicion_Fear_Emotion_Hatred_BodyPart_BodilyProcess_Dissapointment_Despair
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.4	bezeild dan op het Kompas van beslepe rijden een een'ge zekerheid , in de ' onsekerheden .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.5	vergeefs zijn al uw moeite , al woeldy nog zo harden , gij vinden nog rusten , nog vrede , mare eyndeloose smarten .	Emotion_Sadness
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.6	zo uw vermoeyde geest door't hopeloose treuren Op eigen slapheydt dan uw zelf gaan verstoren ; En varen onheb'lyck uit , uit dulheydt meer verwoed Dan redelijk of rechte , mede bitter mond en moed Bescheldent uw schuld , en vloeken dan vloek op vloek Op't ongh'luck , die wie zelf benaarstighen en zoeken .	Emotion_EmotionalAction_Hatred_BodyPart_BodilyProcess_Sadness_Despair_Anger
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.7	nemen bij uw zelf voor vinden daar niet meer te gaan , En trekken hebben harden en hoofd mede onwil daar vinden daan , zeggen in uw zelf : en soud ' ik zij niet haten Die nu een ander minnen en ik al hebben verlaat ?	Emotion_Hatred_Love
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.8	ik zijn velen lief doot : hebben zullen ook zo gheschien die zijde wij die ik zijn te laten mede leed zullen zien .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4061.s.9	deze opzet zijn wel god , en billich ook nemen , mare krachteloos en ijl , wan willen jer weder komen zijde zullen uw vliegen mede velen gunst om de hals , En gheven uw een praten vinden schoone woorden val , En zoeken mede gheweldt vinden wringen , en vinden wrijven , Een traantje zo ghemaackt , te ooghen uit te drijven , En mede gheveynst ghebaar versieren een onschuld , zijn op die gij terstond uw gramschap laat zullen , En het al te dweech gemoed vinden wreed tirannie Beschulden , alles of gij waard oorzaak vinden zij lijden , En gheven uit uw zelf uw over inde macht , Die mede betraant ghelaat om uw in't hart lachen .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness_Despair_Anger
bred001moor01_01.TEI.2.text.body.div.div.sp.4089.s.1	Die schandelycke trek , het bedroch , en schelmerij , die worden ik nu ghewaar , mare meest ik zotternij , En het wonderlijk verraden .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4089.s.2	ik branden vinden een vlammen Die uit onkuis lusten zij eerst oorsprong nemen , ik doen al weten kwaad , al streefter rijden tegen , ik zinnelijkheid verwindt , ik zijn te zeer gheneghen , ik sterven die ik zien , ik leven , ik weten niet hoe , ik hebben nog benul , nog raad , ai raadtmen die ik doen ?	BodilyProcess_Love_Desire
bred001moor01_01.TEI.2.text.body.div.div.sp.4114.s.1	staat af van snoodt vervolg vinden uw verbod min , En tueghelt mede verstand uw toomeloose zin : vallen uw het beginsel zwaar , of barsten uw het harden vinden spydt , Allengsjens die verzachten mede helpen vinden werk en tijd : Gheen goed middel mogen uw yemandt hier voorstel , Om uw op het alderminst in deze zaak te kwellen .	Emotion_BodyPart_BodilyProcess_Love_Desire_Remorse
bred001moor01_01.TEI.2.text.body.div.div.sp.4118.s.1	mare houdy die voor goed ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4133.s.1	Ja heer !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4133.s.2	dats ghewis , Maackt tocht gheen zwarigheid , nog groote droefenis Om een lichtvaardicheydt ; de vrouw aangheboren , Die liggen vergeten het gheen zijde lichtelijk verkiezen .	Emotion_Sadness
bred001moor01_01.TEI.2.text.body.div.div.sp.4133.s.3	zien daar , daar komtse zelf , die passen , en hebben verderf , Die uw gheheele god verteren alles eigen erve .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.speaker.4135.s.1	moy-aal	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4147.s.1	Ach arm !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4147.s.2	ik helas !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4147.s.3	ik duchten , diets al ik vrees die Ritsaart zeer verstoren en toornich zullen wees Op ik , om die ik hij voor door hebben laat staan , Niet weten waarom ik zulks hebben ghedaan .	Fear_Emotion_Anger
bred001moor01_01.TEI.2.text.body.div.div.sp.4157.s.1	Ach Koenraadt wat zijn deze ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4157.s.2	ik kunnen gheen wees houden , ik harden ontzinken ik slechts allee door hebben anschouwen .	BodyPart_BodilyProcess_Despair
bred001moor01_01.TEI.2.text.body.div.div.sp.4166.s.1	hebben goed moed , ik Heer , komen nader bij hebben vier Al zijn stijf vinden koude uw warmte die zijn hier .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.1	Wel wij spreken daar ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.2	zijn ghyt ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.3	nul sleutel vinden ik zin !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.4	Hoe blijfdy nu zo staan ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.5	hoe gady niet naar binden ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.6	En krijgen ik goed dag ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.7	nog die ghewone kussen ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.8	En spreken gei niet een woordt ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.9	wel lief !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4177.s.10	hoe swijchdy dus ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4190.s.1	Lief !	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4190.s.2	ja lief , goed dag lief , hoe meuchdy nog zo spreken ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4190.s.3	Hoe lief die ik uw zijn dats gist'ren wel ghebleken : Die valsheid hebben ik nooit in uw te zijn ghelooft , die gij ik zonder rein doen deur sluiten voor het hooft .	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4194.s.1	ai lief laten die naar , laten wij wat ander praten ?	None
bred001moor01_01.TEI.2.text.body.div.div.sp.4215.s.1	Wat sechdy !	None
