ross006zing01_01.TEI.2.text.body.div.head.278.s.1	doen zingen kraamer , kamer speld .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.281.s.1	KRISPYN komen uit zijn huis en zijden	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.1	zien zode , die gater weder op uit , belasten , en beladen , En of ik wat verkoope zullen , die weten ik niet , doch die mogen doen drommel vinden te voorn raden ; zijn nu hebben eest heen , na het turfschip ?	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.2	Kooperberg ?	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.3	of nieuw Fontyn ?	None
ross006zing01_01.TEI.2.text.body.div.sp.288.s.4	komen ik mogen een een veertjen opschieten , en die zullen ik wegweyzer zijn , wan wat bruid hebben ik zijn ik ik god ver koop al zijn het bij doen nikker op hellenbrugs haven .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.290.s.1	hij komen voor een Herberg en zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.310.s.1	Wat moeten een mens al draven , En werk voor doen kosten ; Hoe langen zullen ik nog slaaf ?	None
ross006zing01_01.TEI.2.text.body.div.sp.310.s.2	Eer die ik worden verlossen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.310.s.3	hebben zijn een zwaar pos , Die niet hebben om te bikken , mare houwen , bier vallen te likken , deze zullen een Bagchus Schooltje zijn ; ja , hier tappen ik Bier , en wijn ,	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.312.s.1	hij spreken .	None
ross006zing01_01.TEI.2.text.body.div.sp.318.s.1	gans bloemerherten !	None
ross006zing01_01.TEI.2.text.body.div.sp.318.s.2	die komen zeper fijn , wan ik zien , deze zijn een Herberg , en daar zitten veel mens , Die moeten ik een mede een vrindelyk zichten goed avond wensen , En zieden of'er niet een bij zijn die vinden ik Kraamery wat op doen , o wede !	None
ross006zing01_01.TEI.2.text.body.div.sp.318.s.3	wat zijn ik geloven , door het tortze , en dragen vinden al deze god .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.320.s.1	hij gaan in doen Herberg en zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.344.s.1	Suvotre Serviteur , Koeragie ; goed avond al de brassen , doch bier komen geren Ianpotagie , Nog geren Waaltje mede zijn kast , Neen , hier komen Krispyn treden , Die geren and're fonksje kennen , alles ik heden , zullen ontleden , Eer ik weder naar huis toen rennen .	None
ross006zing01_01.TEI.2.text.body.div.sp.344.s.2	alles ik heden , zullen ontleden :	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.346.s.1	bij Spreckt .	None
ross006zing01_01.TEI.2.text.body.div.sp.352.s.1	houden ik stoutigheid te goed Hospis , die ik hier zode in komen vallen mede ik dwaaze rijden ; En gei doorlugte vrinde , die hier zaame zijn vergaren , Ik bidden zien niet naar ik kneevels , nog naar ik baard ; mare luysterd na hebben geren , ik heede zullen verhaal .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.354.s.1	hij zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.359.s.1	hij koopter niemand krabben , of garnaalen of alykruyken al eeve var .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.361.s.1	hij Speekt .	None
ross006zing01_01.TEI.2.text.body.div.sp.364.s.1	Ho , ho , ik zien bylo die lijken geren vinden doen Musjeurs in zij Mars , En daarom willen ik een wat ander op gaan zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.378.s.1	wij wild koekjes , of wat kraakelingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.378.s.2	Hoe , kykjeluy vinden die reeuw ook zode drommel bang ?	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.378.s.3	Wel aan ik zingen dan weder een aangenaamer Zang ; wan ik hebben lietjes ook te koop , die moetje weet , Ja meer alles die vent die piet doen Vos , of klein jan waard heten , doch ik geefze god koper , schonen die hij ' er mede lang Straad kruid , zode moetje hij altijd een oortje voor het stuc geven , en ik geven doen kult en keuren voor een duit , En die zijn ook zetten geld , dan valter niet af te ding .	None
ross006zing01_01.TEI.2.text.body.div.sp.386.s.1	de wij willen boore Zingen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.386.s.2	vinden vreugde een nieuw laten .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.393.s.1	Ik zwijgen , wan wij weten of zulks wel zijn geschieden , En om dan in deze zaak niet loogenagtig te wees , zode willen ik lief verhaale , wat ik laatst in een Fillesoops Boek hebben lezen , Daar staan vinden een wever die al slaapende zingen op zijn getouw ,	None
ross006zing01_01.TEI.2.text.body.div.sp.400.s.1	In het ronden , in het ronden , alarm , dauw , dauw : In het ronden , in het ronden , in het generaal ,	None
ross006zing01_01.TEI.2.text.body.div.sp.409.s.1	Ja die zijn altyt zijn deunen al zitten hij over het malen , En ik zij hebben wel vorder Zingen , mare hebben zijn ik uit doen kop schieten , doch ik hebben al langen bij ik zelf besluiten , Om een te zeggen , wat voor een landsman die ik zijn , Ik zijn geren snijder , ik zijn geren wever , o neen , ik kennen , Niet ander , alles zode wat avoes , ik brengen jouw oom ,	None
ross006zing01_01.TEI.2.text.body.div.sp.416.s.1	o !	None
ross006zing01_01.TEI.2.text.body.div.sp.416.s.2	dromer willen niet lang droom , ontwaken een uit u sluimer bed :	None
ross006zing01_01.TEI.2.text.body.div.sp.422.s.1	mare ik zien , gei leggen al de brui om ik portret , doch ik worden niet kwaad , al komen ik zulks te merkel .	Emotion_Anger
ross006zing01_01.TEI.2.text.body.div.sp.433.s.1	Die te lieden zijn om te werk , gaan mare met naar Kastrekom , Daar zijn het Lief , gei kunde wel merkel , Wat ik menen , of zijn dom ?	None
ross006zing01_01.TEI.2.text.body.div.sp.442.s.1	doch die geren pekuniam hebben , keren mare vrey weder om , wan daar woon niet alles dolkoppige boer , En doen Vrouluy zetten mede doen rok op zij kniejen , die zijn te zeggen , hebben zijn hoer , Die ander niet zoeken alles jong kwante mede geld , En ik dragen een broek zonder zak , zode die ik geren munten en kwellen .	None
ross006zing01_01.TEI.2.text.body.div.sp.451.s.1	Hoord een vriend mede elkander , Hoe die de groot Alexander , laatst vocht mede een dood rotten ,	None
ross006zing01_01.TEI.2.text.body.div.sp.459.s.2	Die deunen hebben , met zeer weinig slot , Ook zode zijn hebben al uw kosten , daarom moeter wat ander klink .	None
ross006zing01_01.TEI.2.text.body.div.sp.459.s.3	warren wil doen heer , een vrijage ?	None
