huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.head.900.s.2	eerst bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.902.s.1	eerst toneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.904.s.1	Achilles , feniks .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.906.s.1	feniks	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.923.s.1	Wat zorg zijn het , ik Heer , die uw ziel ontstellen ?	Worry_Emotion_BodyPart
huyd001achi01_01.TEI.2.text.body.div.div.sp.923.s.2	Wat nieuw ramp , die uw zonder einde dus kwellen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.923.s.3	doen naar duisternis de nacht zijn nog niet gans verdwijnen , door doen komst en aangenaamen glans vinden het lief morgenlicht : doen griek en Trojaanen , vinden gisteren nog vermoeid , staan onder hun vaan nog niet scharen te strijd : en gei , gei hebben alreeds doen plaatsen vinden uw rusten , doen vryplaats uw leeds , verlaat , om alhier in eenzaamheid te zucht , schonen Troje vinden u arm geren ramp meer hebben te duchten .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.925.s.1	achilles	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.929.s.1	zijn ik Patroclus nog niet weergekeerd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.934.s.1	nul neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.1	Helaas !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.2	ik veel ik ' ziel vinden een vrezen bestreen , Die ik nooit hebben kennen in het fel vinden hebben strijd .	Fear_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.3	Rechtvaarde gramschap , wat doen gei ik ' ziel niet leiden !	Emotion_BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.4	zijn toeven gei , waard vriend ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.5	ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.6	worden gei ik ontroven , zode missen ik al ik ' vreugde .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.7	hebben gei ik niet beloofd , zode ras doen staan uw vinden hebben leger zijn blijken , Hier weder te karn ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.8	en gei blijven !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.9	zijn deze een tekenen , die mijn bede uw iets te hart gaan ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.10	belonen gij Achilles dus , die uw zode zuiver een ' vriendschap tonen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.11	Een ' vriendschap , door geren tij , nog nijd , nog twisten te breken !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.12	mare feniks , horen gei vinden gisteren ook iets spreken ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.13	doen woende Hector , mede doen bloem de Troische macht , belegeren wij thans zelf , zijn over ons gracht En schanssen heen rukken ; doen muur liggen neerslaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.14	deze zijn hebben , die wie zelf vinden ons schip zien .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.15	ik hebben een de held vinden wij leger , ik weten niet wieden , kwetsen , en dodelijk , zode het scheiden , treffen , zieden wegdragen na zijn ' tent .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.16	Ik zuchten om zijn wond , En hebben Patroclus , om te zieden wij het zijde , zenden na het slagveld , roken vinden het grieks en Troische bloeden .	BodilyProcess_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.17	ik verwachten hij straks weder .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.971.s.18	Nu zuchten ik bang gemoed , En vrezen , of hij , misschien geraken in zijn vijand hand , Die boodschap mede zijn bloeden betalen hebben .	Fear_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.990.s.1	zuchten gij , o schande , Alleenig om het gevaar vinden een vriend , een manna , Die zelf , na al schijn , nog levend zijn ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.990.s.2	en kunnen u ogen doen nederlaag vinden het gans heir aanschouwen , En blijven onvermurwd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.990.s.3	Hoe zullen hebben uw berouwen , die gei , die Troje allee kosten winden door u zwaarte , hebben zelf in tegendeel allee behoud en sparen ; alles het droevig griek uw , die het eertijds plegen te rome , de eengen oorsprong vinden zijn ondergang zullen noemen ; uw vloek , om doen dood vinden menig dappren Held , die Hector , moedig door u afzijn , hebben vellen !	Emotion_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.1	ik verdienen , ik bekennen hebben , deze verwijten ; ja nog slim .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.2	mare ik hebben hebben Godendom gezworen , die ik nimmer weder tegen Hector , en zijn volk , te strijd zij gaan , zode langen zijde hun klauwen niet aan ik ' schip slaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.3	ik ' hand , wel eer zode graag na zijn vijand bloeden te storten , vrezen thans hebben leven vinden een Trojer te verkorten , sinds Agamemnon , die ontaarde en trots , ik zode wreed mishandelen , en zode fel gezond hebben .	Fear_Emotion_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.4	gei , gei zelf hebben zien , hoe hij ik , o smaad , o schande !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.5	Brizeis mede wellen rukken hebben uiten doen hand , mede week bits reden hij ik , in de vol raden , onteren hebben en gezond , alles zijn ik een soldaat , Die Griekenland nooit dienst braden hebben , onder het strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.6	nul neen , Achilles ziel kunnen zulk een honen niet leiden , En trachten na geren ' wraken .	Emotion_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.7	het zijn ik doen groot vreugde , Die ik te wacht hebben naar zode veel ongeneugt , die ik doen griek op hebben moordveld zien verslagen , En Agamemnon zelf zijn noodlot horen beklagen .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1031.s.8	Ik zijn hebben niet , hij zijn het , die griek brengen te vallen , Op wieden wij Vaderland zijn onheil wreken zullen .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.1	wild gei de roemen niet nog bevlekken uw daad , zode laten uw , het zijn nog tij , laten uw in het einde nog raden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.2	het zijn elk genoeg bekennen , hoe hij uw hebben gezond .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.3	doen groot nederlaag vinden het grieks leger tonen Elk klaar , die Peleus zode vinden hij zijn afvallen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.4	wie zieden die wreed rijden vloeken , gehaat vinden al .	Emotion_Hatred
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.5	ik geven doen schuld aan hij , en ieder spreken uw vrijen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.6	ik zuchten , ik wensen na uw , en haten zijn ' dwingelandij .	Emotion_Hatred_BodilyProcess_Desire_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.7	wild gij uw dan vinden hebben volk volkomen doel beminnen , zode moeten gij , o braaf Held , voor eest uw zelf verwinnen , u toren vergeten , en doen griek door u ' macht Herstellen , die door hij te slachtbank zijn brengen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1057.s.8	mede welk een lustre zultge u naam niet doel herleeven , Wat eer , wat glorie zullen doen nazaat uw niet geven , alles gei u ' gramschap hebben verwinnen , de Trojaan , Thans zegepralen , uiten hebben oorlogsveld zullen slaan , En drijven in doen Stad , en het grieks heir te lest Verwinnaar maken vinden doen vijandelijk vasten !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1064.s.1	Neen , rand doen vijand ik in mijn tent niet aan , ik zweren nog , die ik ik ' hand niet weder aan het zwaarte zullen slaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.1	doen zeventiende dagge rijzen thans mede nieuw straal , sinds ik uw het laatst het zwaarte zien uiten doen schede halen , torn gei reden staan , om doen smetten vinden zulk een honen Te zuiver in het bloeden vinden Atreus oudsten zode .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.2	En mogelijk zijn het geschieden , waard gei niet weerhouden Door d'ongeveinsden raden en reden vinden de oude En wijze Nestor .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.3	Hoe gelukkig zijn die manna , Die torn meer winnen , alles ik , naar zode velen dag , kunnen verkrijgen op u harden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.4	zien ook ik ' grijs haar ; herroepen doen moeite , die ik vinden u ' kinds jaar Voor uw hebben aanwenden ; mede welk een lusten en vreugde Ik uw gewezen hebben na het pad de heldendeugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.5	herdenken in het einde , mede welk een ijver , mede wat tranen , En teder kinderliefde , u Vader , doen Trojaanen , alles doen enig oorzaak , die gei scheiden vinden hij af , Vervloekende , uw aan ik mede droefheid overgeven .	Emotion_BodilyProcess_Love_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1108.s.6	weten ik uw ooit ik plicht en ijver klaar te toon ; u ' deugd te rome , en u ' zwakheid te verschonen ; In het korten , verdiend ik ooit de naam vinden Voesterheer vinden Held Achilles ; ik werf ik voor u ' voeren neder : laten uw ik smeken , laten ik zucht uw bewegen , Verjaag de vijand , geven u Vaderland de zege , die het hebben verliezen , die hechten zijn aan u ' klink , En die het weleer zode vaak vinden uw arm ontving .	Emotion_EmotionalAction_BodilyProcess_Moved_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1113.s.1	rijs op : mare geren Trojaan zullen ik in het veld ontmoeten , Voor ik Agamemnon zien , alles uw , aan mijn voeren .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.1116.s.1	Tweede toneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1118.s.1	Achilles , feniks , Alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1122.s.1	WAt tijding brengen gei ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1122.s.2	zijn Patroclus weergekeerd ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1125.s.1	alcimus	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1136.s.1	nul neen , ik Heer : mare ik zien u ' hater verneerd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1136.s.2	doen schrander Ulysses , en held Ajax , beide verheffen Door hun dapperheid , en onbesproken leven , verzoek , kunnen hebben zijn , een kort tij , gehoor , uiten Agamemnons naam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1140.s.1	zijn wacht zij antwoord ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1146.s.1	Voor u ' legerplaats , daar zijde niet binden wil treden , Voor gei zij zulks bevelen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1154.s.1	Welaan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1154.s.2	horen hun rijden , beroemd Held !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1154.s.3	en gei , o god , kunnen hebben zijn , laten deze dagge hebben einde meebrengen ons pijn !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1158.s.1	Gaa , halen heen .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.1161.s.1	Derde toneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.1	vleien uw niet , o feniks , die ik hart Door hun klacht , of door doen algemeen smarten vermurwen zullen worp .	BodilyProcess_Benevolence
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.2	neen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.3	Ik zullen heen horen ; mare Alleenig om ik te verheugen in het gevaar , zijn in doen griek zien brengen zieden door hebben woeden vinden Agamemnon .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.4	laten hij zelf die schae vergoeden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.5	ik ' ziel onschuldig aan de ramp , die hij wij brouwen , wensen rijden , ik Vader weder te aanschouwen , daar hij oud En afgeleefd te Phthie in wreed zijn dag te einde brengen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1179.s.6	geren strijd kunnen ik thans meer behagen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.1	Ulysses , hopen ik , zullen u ' ziel door zijn reden bewegen ; toon uw door zijn ' voorzigtigheen , die zulk een ' gramschap , hoe gronden en hoe rechtvaardig , u landen verraden , en Held Achilles zijn onwaardig .	Emotion_Hope_BodyPart_BodilyProcess_Compassion_Moved_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.2	terwijl doen dapper zode vinden Telamon , wie vuist gei zelf zode vaak mede bloeden de Trojers zagen begruist , doen gloriezucht weder in u harden zullen doel herleeven .	Honor_Emotion_BodyPart_Pride
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.3	mogen ik ik hoofd te zoenen vinden uw gramschap geven , Ik sterven gewillig , tot vermindringe uw schande , En tot behoudenis vinden het bang Vaderland .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1203.s.4	Ik zien heen nad'ren .	None
huyd001achi01_01.TEI.2.text.body.div.div.head.1206.s.1	vieren toneel .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1208.s.1	Achilles , Ulysses , Ajax , feniks , Alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1210.s.1	ulysses	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.1	zode vinden Peleus , roemen de held , wie daad de Trojaan voor deze meer ontstellen , Dan wie al t ' zaamen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.2	zijn groeten uiten al naam .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.3	wie beide waar uw wel eertijds aangenaam , En hebben doen eer , die gij wij aanschouwen alles uw vriend , schonen wie die mogelijk nog niet genoeg verdiend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.4	Thans komen wie , beladen mede droefheid in hebben harden , uw kennis geven vinden ons algemeen smarten : Hoe ons vijand mede hun bondgenoot , Die gei , zode langen gei streedt , houden in zij waal besluiten , doen veest verlieten , wij in ons legerplaats Thans zelf belegeren , tot droefheid de soldaats ; Die , vol vinden wanhopen , in hebben mijden die gevaar , nog even macht hebben , om zijn ' schip te bewaren .	Emotion_BodyPart_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.5	doen vijand , moedig op die zege , vliegen steeds voor , zaaien overal de schrik , en droef wanhopen , moorden Al wij hij tegenstaan , terwijl hij zelf doen god , Door duizend teken , tot zulk een ' woede nood .	Fear_Emotion_Despair_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.6	doen dol Hector , mede de sabel in doen vuist , Gemoedigd door doen gul vinden Jupiter , vergruizen de muur mede stormen op stormen , om eindlyk zelf doen schip de vlam te offeren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.7	doen Griek , in het harden benepen vinden doods schrik , weten niet , wat hij in deze node Beginnen zullen , en zuchten om zijn aanstaande dood , Die hij rijden zeker schijnen .	Fear_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.8	Wat hand weerhouden , naar het breken de keten , een leeuw , die , woedend om zien te wreken , Al , wieden hij vinden , verscheuren , geren vijand hebben , die hij Weerstaan kunnen , die niet schrikken en beven voor zijn stemmen ?	Fear_Emotion_EmotionalAction_BodilyProcess_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.9	zode woeden doen dapperste vinden al doen Trojaanen .	BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.10	hij staan alreeds reden , om zien een wegge te banen Tot aan doen schip zelf , daar hij mede eigen hand ( nul Hemel , kaar die slag ! ) nog deze dagge de branden In zoeken te steker .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.11	zijn , zijn zullen uw vriend , nul onverbidlyke , dan een schuilplaats vinden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.12	wij zullen hebben bang volk , in die bedroefd staan , Verlosschen kunnen vinden de overwinnaar hand ?	Fear_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.13	wij overblyven , om doen mare na huis te dragen , die al doen griek door doen Trojers zijn verslagen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.14	kaar , weergaelooze Held , kaar wederom te strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1285.s.15	gei zien u ' wraken volbrengen ; wie al zieden de tij , die gei allee wij kunde verlosschen , en de zege Weergeeven door u ' macht .	Emotion_Vindictiveness
