noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz doen Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.head.283.s.1	eerst bedrijf .	None
noms001mich01_01.TEI.2.text.body.div.head.285.s.1	eerst toneel .	None
noms001mich01_01.TEI.2.text.body.div.stage.287.s.1	valkenburg , doen jong valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.sp.speaker.289.s.1	valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.1	doen Westermaatschappy , beheerschster deze land , stellen , na ik ' wensen , ik zode !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.2	ik ambt dan in u hand !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.3	Voor ik , ik zijn afgeleefd , ik walgen dus het oog gebied .	Emotion_Disgust
noms001mich01_01.TEI.2.text.body.div.sp.315.s.4	de klein levenstyd die ik nog overschieten begeren ik meest de dienst de hemel toen te weiden .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.5	uw voegen hebben , in ik plaatsen , te dienst de land , te strijd .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.6	u vader , door zijn ' rank gewillig af te staan , wassen gisteren opperhoofd , thans zijn hij onderdaan .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.7	ik voldoen alles hoofd de land de plicht ik voorschrijven , Ik zullen vinden rank ontbloten uw blijk vinden achten geven ; Opdat Guineaas kussen , op het zieden ik voorbeelds , leren ' Wat zijde verschuldigd zijn aan haar nieuw heer .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.8	Doch Valkenburg , gezind u oog gezag te stijf , moeten , schonen hij ambteloos zijn , nochtans u vader blijven .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.9	u rank zijn uiten de mens , en dus liggen korten vinden duur ; doen rank vinden vader blijven , alles het werkstuk de natuur , Die ik doen recht schenken om vrijen mede uw te spreken .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.10	ik vreugde zijn groots , ik zode !	Joy_Emotion
noms001mich01_01.TEI.2.text.body.div.sp.315.s.11	niets zij daaraan ontbreken , zode niet door het streng , die in al uw bestieren , hebben vaderlijk harden door zorgen belemmeren worden .	Worry_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.sp.315.s.12	Ach !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.13	zoeken gei , na ik ' wensen , te toppen vinden staan rijzen , Nadezen minnen vrezen , en meer beminnen te wees !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.14	worden , ( deze zijde het lot vinden het geren ik voor uw hebben bestaan , ) vinden streng raadsheer , steunen vinden ieder onderdaan .	None
noms001mich01_01.TEI.2.text.body.div.sp.speaker.317.s.1	doen jong valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.sp.338.s.1	u zode , die nooit doen gul zijn vader zullen vergeten , worden , zode hij het zeggen durven , mede onrecht streng geheten .	None
