noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz de Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.head.283.s.1	Eerste bedryf .	None
noms001mich01_01.TEI.2.text.body.div.head.285.s.1	Eerste tooneel .	None
noms001mich01_01.TEI.2.text.body.div.stage.287.s.1	valkenburg , de jonge valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.sp.speaker.289.s.1	valkenburg .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.1	De Westermaatschappy , beheerschster dezer landen , Stelt , naar myn ' wensch , myn zoon !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.2	myn ampt dan in uw handen !	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.3	Voor my , 'k ben afgeleefd , my walgt dus 't hoog gebied .	Emotion_Disgust
noms001mich01_01.TEI.2.text.body.div.sp.315.s.4	Den kleinen levenstyd die my noch overschiet Begeer ik meest den dienst des Hemels toe te wyden .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.5	U voegt het , in myn plaats , ten dienst des lands , te stryden .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.6	Uw vader , door zyn ' rang gewillig af te staan , Was gistren opperhoofd , thans is hy onderdaan .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.7	'k Voldeed als hoofd des lands den pligt my voorgeschreven , Ik zal van rang ontbloot u blyk van achting geven ; Opdat Guineaas kust , op 't zien myns voorbeelds , leer ' Wat zy verschuldigd is aan haren nieuwen heer .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.8	Doch Valkenburg , gezind uw hoog gezag te styven , Moet , schoon hy amptloos is , nochtans uw vader blyven .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.9	Uw rang is uit den mensch , en dus licht kort van duur ; De rang van vader blyft , als 't werkstuk der natuur , Die my de rechten schenkt om vry met u te spreken .	None
noms001mich01_01.TEI.2.text.body.div.sp.315.s.10	Myn vreugd is groot , myn zoon !	Joy_Emotion
