stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin van Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.head.208.s.1	Eerste bedryf .	None
stee033adag01_01.TEI.2.text.body.div.head.209.s.1	Eerste tooneel .	None
stee033adag01_01.TEI.2.text.body.div.stage.211.s.1	Adelheide , Ada , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.sp.speaker.213.s.1	Ada .	None
stee033adag01_01.TEI.2.text.body.div.sp.221.s.1	Het aklig sterflot heeft graaf Diedrik ons onttogen , En gy , zyn weduw , voor myn smeeken onbewogen , Verdubblende in myn ziel den kinderlyken rouw , Begeert een huwlyksfeest , een schandelyke trouw !	None
stee033adag01_01.TEI.2.text.body.div.sp.221.s.2	Een moeder noopt haar kroost ( hoe doet uw eisch my gruwen ! ) By 't onbegraven lyk eens vaders laf te huwen !	None
stee033adag01_01.TEI.2.text.body.div.sp.221.s.3	Voegt Diedriks droeve wees de vreugd der huwlyksmin ?	None
stee033adag01_01.TEI.2.text.body.div.sp.speaker.223.s.1	Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.1	U past een groot bestaan , als Hollands erfgravin .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.2	Laat ons , uit hoogen nood , eene ydle droefheid smooren .	Emotion_BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.240.s.3	Bedenk wien Diederik tot landvoogd heeft verkoren .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.4	Myn dochter , koos hy niet zyn ' broeder , die ons haat , Oostvrieslands trotsen graaf , die naar uw erfdeel staat ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.sp.240.s.5	Moet gy dien wrevlen oom als uwen voogd erkennen ?	Emotion_Annoyance
stee033adag01_01.TEI.2.text.body.div.sp.240.s.6	Moet Willem aan zyn wet voor altoos u gewennen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.7	Uw minderjarigheid vereischt een echtverbond .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.8	Heeft Diedrik , myn gemaal , niet met zyn ' veegen mond My vruchteloos gesmeekt dien broeder hier te ontbieden , Ten zoen der oude wraak , in 't vorstlyk huis aan 't zieden ?	Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.sp.240.s.9	Heb ik , uit zorg voor u , myn ' waarden echtgenoot Doof uitstel niet belet , op 't nadren van zyn dood , Tot Willem 't laatst vaarwel zieltogende uit te spreken ?	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.10	En eischt gy tot uw ' voogd dien graaf , die zich zou wreken ?	EmotionalAction_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.sp.263.s.1	Helaas !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.2	die vreemde zorg van uw gevoelloos hart Is oorzaak dat ik zucht in onvergeetbre smart .	Emotion_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.sp.263.s.3	Myn dierbre vader , die , verhinderd door myn moeder , U niet in 't uiterste uur verzoende met uw ' broeder !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.4	Hoe deerlyk was uw lot !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.5	hoe bant men allen troost Voor eeuwig uit de ziel van uw elendig kroost !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.6	Uwe Ada , waarlyk droef , zal deze treurgewaden Niet wisslen , u ten schimp , voor blyde feestsieraden .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.263.s.7	Vorstin , wat heilzaam eind ' bedoelt uw wreede dwang ?	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.8	Wat nut belooft myn echt voor 't wigtig staatsbelang ?	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.9	Gy hoont Oostvrieslands graaf en de eedlen myner landen .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.10	Geef hen , naar Diedriks wil , het hoog bestier in handen , Totdat een ryper jeugd my veste in 't erflyk recht .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.11	Hoe durf ik Lodewyk , door dien gevreesden echt , Naar uw geheim besluit tot Hollands graaf verheffen ?	None
