vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.head.375.s.2	treurspel .	None
vond001pala01_01.TEI.2.text.body.div.head.376.s.1	doen eerst handelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.378.s.1	PALAMEDES .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.1	DIe zorgen , en waken , en slaven , en draven , en ploegen , en zweet , En tot zijn land oorbaar vasten een lastig ambt betreden , En wanen doen mens aen zijn ' vroomheid te verbinden ; Die zullen zien jammerlijk in het einde ' bedriegen vinden , vinden het wispelturig volk ; die velen te lossen vinden hoofd , genieten dienst vergeten , en leed het kwaad geloven .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.2	wat dorperheyd zijn deze , onedel gemeente ; Wat bits nijd verteren hebben merg in u gebeente ; Wat dolheydt uw vervoeren ?	Emotion_Hatred_BodyPart_BodilyProcess_Anger
vond001pala01_01.TEI.2.text.body.div.sp.557.s.3	die gij uw heer honen , En mede zo vals een munten u ' troutste vader lonen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.4	komen roekeloos schaarde , treden voorts , ik zijn te wreed Te ding , om het geschil , te vierschaar vinden doen reden ; doen vrijen uw stuk daar ; brengen vinden u zeggen blijk ; Op die rechtvaardigheid een billijk vonnissen strijken .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.5	gij zeggen , alles nu doen wraak , om Trojen om te karn , onledig houden de raad de koning en heer ; die ik gedaghvaert komen , en schonen zijde altemael besluiten het eerloos feit te recht mede hebben staal ; nog zeggen ik : het wassen bij heen te heftig opnemen , En datmen tijd genoeg zij tot hebben uytterst ' komen .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.557.s.6	waar uytmen vatten mogen , die ik het meinedig rijk Meer gul toedragen alles wij , kwetsen door het ongelijk ; ik antwoord : hebben besluit zijn liggen om weerleggen , Vermits deze geenszins volgen uit hebben voorgaand zeggen ; mare eer hebben tegendeel : wan die ik lief zien doen zaak in vrede beslechten , bij middel vinden verdrag , zijn waar en lovens waarde : en wij ontkennen wat plaag , Bellone mede zien slepen , mede droef nederlaag , gevaarlijk voor het gemeen ; wie welvaart ik mede druk , En angst zien hangen in doen weegschaal vinden het geluk .	Fear_Worry_Emotion_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.557.s.7	die ik Priaem dan node mede krijgen zien aangrijpen , wassen om de Phrygen tros te weer vinden wij ' schip ; wassen om Achilles niet mede Hector onverveert Te worstelen doel om het ramp , of zij , of wij bescheert .	Emotion_Pride
vond001pala01_01.TEI.2.text.body.div.sp.557.s.8	Hier bij en rusten ' et niet , ik smijten ik voor doen scheen , die ik doen koning vinden Sparten , en Mycenen , mede al doen vorstin , alles wie zet ons voeden Op Dardans bodem , wouw versmoren in zij bloeden ; Om die ik , alsmen hebben geven het bloedig teken , doen vlieden , nog vers landen , vinden d'oevers af doen steken , En hielme binden boord , het gelijken wat , wistme niet die deze door enkel lassen de Veld-Heers waar geschieden ; Die , alles wie het aarzelen de bang Krijghslien vrucht , zij al troosten , en hopen benemen wouw vinden vlucht , En moedigen tot slaan , wanneer doen node heen doen aanlopen op hebben spits , of het zwalp vinden doen Zee .	Fear_Emotion_EmotionalAction_Hope_BodyPart_Anger
vond001pala01_01.TEI.2.text.body.div.sp.557.s.9	nog wilmen ik te lijf , om die ik driest , en stout alles ander , eer Iphigeen nog verven het bloedig outer , hebben offeren marren doen , en het stuk lei in beraad ; Of juist onnozel bloeden , en Agamemnons zaad , doen grimmig Hecate mos paaien , en verzachten ?	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.557.s.10	Dan ofmen haar een Hinde , of teren Geyt zij slacht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.11	Een ' zaak die zich schamen , rechte of hij iets verbeuren , Die Chalches in zijn ' wan , en schelmze droom storen .	Emotion_Shame
vond001pala01_01.TEI.2.text.body.div.sp.557.s.12	En daar aen twijfelen slaan ; of god en Godessen , In het grouzaem moord vinden geheylighde prinses bedragen nemen ooit ; gelijk de god tolk deze grof logen veilen voor waarheid aen hebben volk ; die voor hij neervallen , en feest maken vinden het vernielen , En het ommebrengen vinden zo velen ' gedoemde ziel .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.13	ik stroyt om zijn veldheer haten te scherpen tegen ik ; die ik besnoeien willen doen wettig voogdij de twee gebroeders , en d'opperste de griek trek op Achilles zijden , en trachten bedekken hunn ' wiek Te kort , waar ik mogen ; het welk uitbarsten lang hoe meer , mits ik mede hengst vinden het veroveren Lesbos kaar , mede Hooren-beesten , en een ' hopen geboeyde slaaf ; mare het gouden verloochenen , om behendig t'ondergraven hebben steunsel zij macht ; dewijl elk , alles zijn ' God , die aenbid , die hij strekken tot voordeel , en genot .	Emotion_Hatred
vond001pala01_01.TEI.2.text.body.div.sp.557.s.14	Dan om die laster plaats te geven , ik doen vorstin houden t'edel vinden gemoed ; en geren ' doorluchtig borst Gevoelen deze vinden ik , die Menelaus , mede zijn ' ouder Broeder , hebben merken , en uitzetten Tot hoofd vinden de tocht , alles het veel hebben verdrieten , En dragen zij op het beleid vinden wij ' beroemd vloot ; doel Chalches op heen smaelde , en uytspoogh vieren en vlammen , Om dat dalen vinden zo Goddeloos een ' stam .	Emotion_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.557.s.15	die ik brandmerken worden mede zo een onrijp oordelen , alles die de roven misbruik tot een bijzonder voordeel , En Chirons voesterling zoeken voor te trek : neen , ik kunnen , en dank het de god , het bijzonder vinden het gemeen voorzichtig schiften , en elk een hebben zijn verschaffen : ik handhaef ieder rechte , en passen op niemand blaffen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.16	elk vrijheid zijn doen ik ': die veeg ik in een ' schaal : wij hier uit vrees deyst , ik staan gelijk een paal .	Fear_Emotion_EmotionalAction
vond001pala01_01.TEI.2.text.body.div.sp.557.s.17	dreigen Palamedes vrijen te moord , en te priem , hij blijven doen zelf manna , al snijden gij hij aen riem : En dragen zien naar zijn ' plegen getrou , oprichten , en kuis : ik soecke hij waar ik willen , hier liggen d'Euboeer thuis .	Emotion_Loyalty
vond001pala01_01.TEI.2.text.body.div.sp.557.s.18	Voorts die ik Thestors zode zo vaak hebben doornemen : het zijn waar , ik denken het wassen tij zijn hoovaerd te betomen : Om die hij verder alles doen kerk en het Outer goed , En snuffelen komen , uit baten , en staetsucht in de raad .	Emotion_Greed_Pride
vond001pala01_01.TEI.2.text.body.div.sp.557.s.19	hij zijn een vreemdeling , ja een Trojaen baren , nog kennen doen zede niet die tot wij landen behoren .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.20	nog wat wij welvaart eyscht .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.21	hij wet zijn verstaan In het geren zijn ambt betreffen , en kruype in het ingewand de dier mede zijn ' geest , en staren op zijn hemel licht : hij letten op voglenzang , op droom , en gezicht , Op godsspraak , en geheym , en hang'er niet wat bij vinden het zijn , of lust'et hij , elk hebb ' zijn oordelen vrijen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.22	mare het zijn te schandeloos , en strijden mede al ik daad , die ik zijn omkopen , om het leger te verraden : die Paris , om mede ik te handelen vinden die moord , lach zijn nacht mede een galei , mede gouden laden , aen boord .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.23	die ik de oorlog schorsen , en uitstel nemen teen dag , Om wij t'ontwapenen , en dan hebben stuk te waag , mede meerdre zekerheid .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.24	Apollo die u ' tronen , En zetel hebben bouwen in het mijden vinden doen god , En mede u ' klaarheid blussen doen goddelijk lamp , En vinden hebben aardrijk vegen doen nevel , en damp : gij zien in deze nacht , en voor u ' majesteit , de zulk schennis stuiten op mijn onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.25	diets ik ' besolding dan , voor die ik mede bezwaren Tot de Argiven heil geslaeft hebben zo velen jaar : mede wijsheid , raad , en daad het bouwvallig rijk stutten : doen storm afgeweert , en op ik ' barsten schudden : De boef vermommen mede schijn vinden Godsvrucht en vinden heyligheyd : ontdekken , en Pelops hof , en het landen herstellen in veyligheyd : uitheems balling vinden Have , en huis beroven , lokken , gewellekomt , en in ik ' schieten stoven : vergroten de stellen kreyts , en omloop de muur : Tot Grieckens helpen verplichten gekroond nabuur : mede kiel ingesleept de oogst die het oosten lezen : ja daar doen naald zwijmen , staan naar vrijen passen : Ulysses achterhalen : hebben heyr , alles het scheiden verlaat , Door honger node , spijzen : geoefend wij soldaat : doen deugd de Peleaens verstalen mede kloek beleid : D'eylanden , en doen steen , aen Helles stranden , ontseyd : steenrots uytgehoolt , en stuk land vergraven : Nu hier een schans leggen , dan ginds diepen een have : t'Abyde in doodsgevaer ik vromigheid brengen : daar ik wonden waard op de aenslagh in de nacht : daar doel Achilles week , alles het naulijcx wassen beginnen , nog voor de morgenstond doen vesting waard gewinnen : En hebben ik d'ongunst vinden wij prins niet gevreesd , Lyrnes voor ik vertrekken veroveren waar wezen .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.557.s.26	mare wat beschuldig ik een wuft , en dom gepeupel , die naar de voortgang vinden zijn Heer goed rechte , of kreupel : daar doch Laertes zode , die op een grootren botten , ik mede zijn rijcx wichelaar , al deze moeite brouwen , En naar ik leven staat , en goed zijn ' zin spits , Om het krijgsvolk tegen ik dolkoppigh op te hitsen , zijde brullen lang hoe meer .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.27	waar of ik goed verschuilen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.28	wij blijven die lijden gevaar : wij vlucht die schoutmen veulen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.29	ik denken , de jong nacht , die ik voor ander rad , beklimmen de schaeckers burcht , en vechten op een ladder opgeven de Geest , daar ik de vijand bezig houden , En mede een groots stuk muur pletten te aarde vallen ; doel schieten ik op , en schonen ik niet op d'ydelheden vinden spook , of droom passen , nog liggen ik op doen lid Of d'eene of d'andre ramp , ik ' streng dwaelstar ook Voorlang te Troje in het veld ik beide oogappels look .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.30	doen wichelaar ik niet alles ongeluk spel ; Doch een manhafte ziel moeten deze te zijden stillen .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.31	Heer Vader , die ik erven de zegenen vinden u ' Kroon , hebben gade mede ik zo het willen ; ik blijven u echt zoon vinden bloeden , en vinden gemoed , en zullen uw niet ontaarden In vromigheid , in trouwen , in het mijden vinden doen zwaard , In het mijden vinden doen nijd , en lastering : daar ik goed nader , en faam ik worden bedrukken zo zwaar .	Emotion_Hatred_BodyPart_Loyalty
vond001pala01_01.TEI.2.text.body.div.sp.557.s.32	ik weten waar op ik steunen , ik ongekreukt weten En zijn niet quaeds bewust , nog hebben zich nooit vergeten Aen enig schendig feit ; en zo ik daarom lijden , zo was ik edel bloeden een ander schelmerij .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.558.s.1	rijden vinden EVBEERS .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.558.s.2	rijden vinden ITHAKOISEN .	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.1	wij Krijslien pas op wij beuren Rondom Neptunus muur ; Terwijl de Hemel starloos treuren , En tellen doen slepen uur .	Sadness
vond001pala01_01.TEI.2.text.body.div.sp.572.s.2	doen naar luchten nu schreien en zucht .	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.3	Hoe lang zullen hebben duren ?	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.4	doen middernacht herhalen haar schade mede dick're duysternissen : Slaghregens dekken Cynthia , Dies wie haar aanschijn mis .	None
vond001pala01_01.TEI.2.text.body.div.sp.572.s.5	wie vroomheid zullen , mede Trojens vallen , het beginnen oorlog slissen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.573.s.1	R.V.I.	None
vond001pala01_01.TEI.2.text.body.div.sp.580.s.1	d'Euboeer afkomst zullen mede dwang Mars teugelen te lest : mare niet mede Trojens ondergang , En het storten vinden deze ' vasten ; mare mede deze aard , door Hectors zwaard , vinden lijk vet te mest .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.581.s.1	R.V.E.	None
vond001pala01_01.TEI.2.text.body.div.sp.588.s.1	Die zwanger gaan vinden guytery ons Prins hier ik betighten : Om datze minderen zijn alles hij , En niet voor uit en licht .	None
vond001pala01_01.TEI.2.text.body.div.sp.588.s.2	Dus trachten doen nijd zijn ' faam vinden spijt , velen ' logen op te dicht .	None
