vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.head.296.s.2	Treurspel .	None
vond001gysb04_01.TEI.2.text.body.div.head.297.s.1	Het eerste bedryf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.299.s.1	Gijsbrecht van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.1	HEt hemelsche gerecht heeft zich ten lange leste Ontferremt over my , en mijn benaeude veste , En arme burgery ; en , op mijn volx gebedt , En dagelijx geschrey , de bange stadt ontzet .	Fear_Emotion_BodilyProcess_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.2	De vyant , zonder dat wy uitkomst durfden hoopen , Is , zonder slagh of stoot , van zelf het velt verloopen .	Emotion_Hope
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.3	Mijn broeder jaeght hem na , zy nemen vast de wijck , En vluchten haestigh langs den Haerelemmer dijck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.4	Zoo stuift de zee voor wint met haer gedreve golven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.5	Zoo zagh men menighmael een kudde wreede wolven , En felle tigers vliên voor 't ysselijck geschreeuw Van aller dieren vorst , den hongerigen leeuw , Om niet al levendigh en versch te zijn verslonden Van hem , die op zijn jaght geen aes en had gevonden .	Fear_EmotionalAction
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.6	Hoe snel , hoe onverziens is deze kans gedraeit ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.7	Hier , daer het leger lagh , is 't veld alom bezaeit Met wapens en geweer , verbaest van 't lijf gereeten , Van ingebeelden schrick , en uit der hant gesmeeten , Om zonder hindernis te vlieden langs den wegh .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.8	Ja op 't verjaeren zelf van 't jaerige belegh Wort d'afgestrede muur van 't langh belegh ontslaegen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.9	Hoe zal het gansche lant van ons verlossingh waegen !	None
