meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	doen verloofd koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.head.2413.s.1	eerst bedrijf .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2414.s.1	I. toneel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.2415.s.1	Velleede , Fastarad , rijden vinden wapenen Dienaars .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2416.s.1	Fastarad , te vlucht uitkoomende , en vinden Velleede vastghehouden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2419.s.1	laten los , Mevrouw , laten los : u ' rijden kwetsen ik oor ; gij pogen vergeefs ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2420.s.1	Velleede	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2427.s.1	houwen stand , ik zode , en geven gehoor , Nocht wraken zode roekeloos de trouw raad uw moeder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2428.s.1	Fastarad	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2431.s.1	Die ik ' doorluchtig klink , te schennis vinden broeder , verwaten aanhitst , mede ghevaar vinden lijf , en eer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2436.s.1	Die het spoor uw openen , om u ' Koningsscepter weer Te krijgen , en doen moorden uw Ghrootvaars , oom , en vader , Te wreken , door doen moorden vinden schelm , en verrader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2445.s.1	Niet lang een heldenpadt vinden openen oorelogh : mare mede vervloeken verraden , mede lasterlijk bedrogh , tot woede storting vinden onschuldig bloed besteeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2450.s.1	doen wraken zien die niet aan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2450.s.2	Wanneer ik zien kunnen wreken , het zijde door hebben Vossenbrein , het zijde door doen leeuwenklauw ; ik kreunen zien luttel hoe , mede ziften die niet zode nauw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2464.s.1	zode wreken zien het bastaardtbloedt , zode wreken zien aartsfielen , En laf ghuilen : mare gheen hooghghebooren ' ziel , Gheen oorloghshelden , die , vinden kintsbeen opghequeekt In het schuilen de deugd , doen walgen vinden schelmeryen steken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2464.s.2	Dies staken deze euveldaad , Mevrouw , ik meer te vergen : gij rechte niet ander uiten , dan ik tot weerwil tergen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2464.s.3	Ik hebben hebben uw voorheen ghezeghdt , en zeg hebben noch ; ik ' handen schrikken voor verraden , ik harden walght vinden bedrogh .	Fear_Emotion_BodyPart_BodilyProcess_Disgust
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.1	ik bekennen , doen deugd verbieden verraden in haare weten : mare rijden leren weer het kwaad mede kwaad betalen te zet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.2	Indien doen Dwinglandt , naar het berichten de deugd , zijn daad Ghereegheldt hebben , hij hebben u ' Ghrootvaar nooit verraden , u ' Oom , en Vader , nooit vermoorden , nocht zijn Konings zeetel , alles aartsgheweldenaar , beklimmen ; nocht vermetel , mede wreed dwang , ghemaakt u ' moer tot zijn vrouw , Om zien te vasten , op de Rjjkstroon , door die trouwen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.3	Nu hebben doen staatzucht hij verrukken , tot all ' die quaaden , En vuil bezoedelen , mede zode ghrouwzaame euveldaad : Dus eisen doen rijden , die hij , mede ghelijke munten , Betaaldt waard , daar het gheluk een schoon kans toen ghunt , Die , zode gij het reuk'loos niet verwaarlozen , bieden doen zege .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2488.s.4	het Ghepleeghdt verraden gheeft uw verlof , verraden te plegen : Dies buigh u ' strakken zijn , en volgh ik ghoeden raad .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.1	zode het kwaad , bij ieder , te vergelden staan , mede kwaad ; hebben menschlijk leven smeede een reeks vinden euvelheeden ; Ja all ' , die het loflijk pad de ghoude deugd betreden , verbond ghestaagh doen reden , te slinker af te slaan , En het spoor te volghen , welk een booswicht voor zij ghaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.2	nul neen ; doen deugd , wat storm zij ook an boord komen klamp , streven haar heirbaan lang , door onghelijk , en ramp .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.3	Doch nemen , het staan vrijen , verraden te loon mede verraden : Hier schuilen iets arghers , welk u ' toeleg teeghenstaat , En mijn arm gebied , het gheen gij zij vergen , te weigheren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2514.s.4	doen dwingeland , om op de Koningstroon te steigeren , schenden slechts hebben scepterrecht , door Vorstenmoordery , En plengen onnozel bloed ; daar ik daarboven ik Noch schandigh zij misghaan an Vader , en an broeder .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2517.s.1	Een Stiefvaar , en Stiefbroers .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2521.s.1	doen bedtghenoot ik moeder , doen zoon haars ghemaals .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2525.s.1	mare die het zijn mede gheweldt , Die tot zijn huw'lijk ik ghedwongen hebben .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2533.s.1	die schelden ik vinden ik ' plegen niet vrijen : het wassen d'uwe , te verhinderen , naar vader dood , die ik de Dwinglandt , nocht zijn ' kind Verschuldighdt zijn t'ontzien , alles broeder , nochte alles zode .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2533.s.2	Nu hebben u huwelijk ik die ontzag gheboon , hij tot ik ' Vader , en heen tot ik ' broeder verheven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2537.s.1	ik huwelijk hebben uw , en ik , gheborghen het leven , het Welk ander schipbreuk leed ; opdat ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2541.s.1	vinden kindtsbeen aan , hebben zijn de dwingeland verplichten te dienst te staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2547.s.1	Opdat gij Ghrootvaar , Oom , en Vader , alles u ' jaar te manlijk ouderdom , en kracht , klimmen waar , zullen ' wreken , en , de Rijksgheweldenaar te tronen Afbonzende , in het bezitten uw zet vinden u ' kroon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2553.s.1	gij hebben ik , door u ' trouwen , verboden ik te wreken , En vinden ik errifrecht te scepterstaf versteken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.1	hebben ik u ' wraken verbod ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.2	versteken vinden u rechte ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.3	Ik , die , zode meenighmaale , uw hebben hebben pad slechten , hebben helpen verschaffen , hebben moed in het lijf ghepooght te spreken , Om u vermoorden gheslacht heldthaftighlijk te wreken , Te stijgen op u ' tronen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.4	wat schuiftghe u ' schuld op ik ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2563.s.5	Hebtghe al ik werken niet steedts te loor ghesteldt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.1	hebben gij doen kroon , vinden Ghrootvaar , Oom , en Vader , naar zijn land weten , An uw versterven , niet bestaan op het hoofd te zet de Rijksgheweldenaar ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.2	de staf , die ik toekomen , naar uw dood , alles oor de koninklijk stam , hebben gij ik ' handen ontmaakt , bij leevendighen lijf ; En die Tiran ghemaakt , toengh ' hij , te echt wijf worden , plaatsen , alles manna , en heer , an hoog handen , Op Ghrootvaars zeeteltroon , tot wettig Vorst vinden het land .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.3	Indien het weerstreefde u ' willen , die hij de staf zij zwaaien ; Waarom hij die ghelangt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.4	Indien gij het bloed woud paaien vinden wij vermoorden gheslacht , mede wraken ; waarom die voor Niet bij de handen vatten , op het klink vinden doen moorden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.5	het Gheen gij nu mijn arm , Mevrouw , vergen uiten te voer , uw uiten te voer staan , torn eest in reppen , en roer , wassen hof , en stad , en land , door zijn Dwinglandts overmoed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.6	torn moeten gij aanzien het vuur de oploop , mede zijn bloed , Ghelescht ; hij vinden de tronen gheweerdt ; zijn ' drift ghebrooken ; En door zijn ' nederlaag mijn ouder ghewrooken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2598.s.7	gij kosten hebben torn , mede eer ; ik zullen het nu , mede schande ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2601.s.1	mijn onmacht leed hebben niet ; hij hebben rijden d'overhandt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2609.s.1	Nu lijden ik ' plegen hebben niet : doen deugd kanten zien ' er teeghen , En d'eer verbieden ik ' handen te stropen haar degen Tot broeder - en vadermoordt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2609.s.2	Dies staken , Mevrouw , an het oor ik meer te lel ; al u ' moeite lopen toch te loor .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2613.s.1	Ontaarde zode , houwen op vinden plegen , en eer , te rome ; En uw snood minnen daar onder te verbloemd .	Emotion_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.2616.s.1	Wat snood minnen ?	Emotion_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.2619.s.1	Die gij de Dwinglandts Dochter dragen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2625.s.1	het zijn zijn , ik vieren , en die die ghoddelijke maaghdt ; mare mede zode schonen een vlammen , alles immer harden kennen blaken .	BodyPart_BodilyProcess_Love_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.2631.s.1	Een vlammen , zijn door u harden verwaareloost doen wraak vinden u gheslacht , en , onghevoeligh in u ' honen , mede koel moed , dulden een Dwinglandt , op u ' tronen , doen hooghgheboorenheidt uw afkomsts te vernederen .	Emotion_BodyPart_Love_Vindictiveness
meij001verl01_01.TEI.2.text.body.div.div.sp.2639.s.1	verwijten gij ik , die ik ik ' koningsstam onteere , Door mijn liefde ; gij , die , door u huwelijk , Ghemaakt hebben zijn rijk tiran , tot wettig Vorst vinden het rijf ; uw man doodtslagher tot u ' manna , een aartsverraader tot heer vinden het land , de beul ik vader tot ik ' Vader , En zijn Konings moordenaar tot zijn Konings erfghenaam .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.2642.s.1	Een noodtdwang dreefme , opdat gheen ramp uw overquaam ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2657.s.1	het wassen moed'loosheidt , en vrezen voor sterven , die uw dreef .	Fear_Emotion
