focq001mini02_01.TEI.2.text.body.div.head.227.s.1	doen minnen in het Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.head.227.s.2	blijspel .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.230.s.1	CUPIDO doen doen Voor-Reeden .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.230.s.2	zitten in een Stoel mede rinkel , in zot kleed , mede een blikken slab voor .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.1	gei Troep vinden juffer , en vinden heer !	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.2	Die anderszins ik slaaf bende , Ik zij schier wel durven zweer , die gei u meest niet meer kennen .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.3	wij menen gei die hier zitten te kijken ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.4	wij menen gei , die gei in deze kappen , En in deze Rinkel-stoel zien prijken , Geharnast mede deze blikken Slabb ' ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.5	Ik weten wel , die gei nooit verzinnen , nog denken zullen mede u verstand , die gei de groot God de Minnnen Hier zien in het Laasrus-huis planten : mare evenwel , al lijk het droom , Ik zijn hebben zelf , die gei het weten : Doch hoe ik hier toen zijn komen , vragen die alleeenig de Poeet Die deze komedie doen vertonen ; Vermits die hij ( wild die hij zwaard die door langen in zijn buren te wonen , hij ik Natuur wel hebben leren ) ik voor zode Gek , en Zot , derven schelden , die hij , alles per playsier kwansuis , Op het lest ik bij doen zot stellen , In het amsterdams Laasrus-huis .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.6	ik bekennen , ik zijn geenszins doen wijs , schonen ik een God zijn ; mare , wat raden ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.7	Ik zien , die dikwijls d'aldergryste doen groot zotheid wel begaat .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.8	zijn ik dan daarom te verachten , Een janhen zijn , alles ik zijn ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.9	Wanneer doen lieden vinden ik verwachten , Meer wijsheid , alles ik geven kennen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.10	doen kind werk kind geur ; doen zotheid zijn een eigenschap , Die vinden doen jeugd niet zijn te scheuren , wan ieder dragen zijn Narre-Kap .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.11	ik daarom , die het gebied de harten vinden al doen jeugd zijn toevertrouwen , ik wijd ik al die zot part , Die dagelijks doen jonkheid brouwen : En ik weten , ik wytse ik mede rijden , Mits ik ik zelf oorzaak vinden , vinden honderd duizend zottigheid , Die ik doen doel , aan die beminnen .	None
focq001mini02_01.TEI.2.text.body.div.sp.351.s.12	Hoe vaak doen ik een partij gek , uiten zot razernij allee , zij haar uiten Kop en Kneevels trek , Door het lopen vinden een blauw scheiden ?	EmotionalAction_BodyPart_Despair
focq001mini02_01.TEI.2.text.body.div.sp.351.s.13	Hoe vaak doen ik ' er een verlieven , Die het min in gedachte plegen , Of mede een tal vinden zot brief , Daar zijn Matres zij Poort aan vegen ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.351.s.14	Hoe vaak doen ik een Zots-Kap draven , voorbij een huis , daar het al rusten , En elk al liggen in slaap begraven , wild hij doen Stoep of Klopper kussen ?	EmotionalAction_Love
