meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	De verloofde koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.head.2413.s.1	Eerste bedryf .	None
meij001verl01_01.TEI.2.text.body.div.div.head.2414.s.1	I. Tooneel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.2415.s.1	Velleede , Fastarad , Rey van ghewapende Dienaars .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2416.s.1	Fastarad , ter vlught uitkoomende , en van Velleede vastghehouden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2419.s.1	Laat lós , Mevrouw , laat lós : uw ' reeden quetst mijn oor ; Ghy pooght vergheefs ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2420.s.1	Velleede	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2427.s.1	Houw standt , mijn zoon , en gheef ghehoor , Nócht wraak zo reukeloos den trouwen raadt uws Moeders .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.2428.s.1	Fastarad	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2431.s.1	Die mijn ' doorluchte kling , ter schennisse van Broeders , Verwaaten aanhitst , met ghevaar van lijf , en eer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2436.s.1	Die 't spoor u opent , om uw ' Koningsscepter weêr Te krijghen , en de moordt uws Ghrootvaârs , Ooms , en Vaders , Te wreeken , door de moordt van schelmen , en verraaders .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2445.s.1	Niet langs een heldenpadt van open oorelógh : Maar met vervloekt verraadt , met lasterlijk bedrógh , Tót woede storting van onschuldigh bloedt besteeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2450.s.1	De wraak ziet dat niet aan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2450.s.2	Wanneer men zich kan wreeken , 't Zy door het Vóssenbrein , 't zy door de Leeuwenklaauw ; Men kreunt zich luttel hoe , met zift dat niet zo naauw .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2464.s.1	Zo wreekt zich 't bastaardtbloedt , zo wreeken zich aartsfielen , En laffe ghuilen : Maar gheen hooghghebooren ' zielen , Gheen oorlóghshelden , dien , van kintsbeen opghequeekt In 't school der Deughdt , de walgh van schelmeryen steekt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2464.s.2	Dies staak deeze euveldaadt , Mêvrouw , my meêr te verghen : Ghy recht niet anders uit , dan my tót weêrwil terghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.2464.s.3	Ik heb het u voorheen ghezeghdt , en zegh het nóch ; Mijn ' handt schrikt voor verraadt , mijn hart walght van bedrógh .	Fear_Emotion_BodyPart_BodilyProcess_Disgust
