rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.head.230.s.2	Treurspel .	None
rivi001vero01_01.TEI.2.text.body.div.head.231.s.1	eerst bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.head.232.s.1	eerst toneel .	None
rivi001vero01_01.TEI.2.text.body.div.stage.235.s.1	Vander Mark , Entes , Treslong , doen rijk , Gevolg vinden edel .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.237.s.1	Vander Mark .	None
rivi001vero01_01.TEI.2.text.body.div.sp.250.s.1	Dus staan wie eindelijk op Hollands die brengrond , Om hier een vasten verblijf te zoeken ; daar het verbinden vinden Brit en Kastiljaan wij het land hebben verbieden , In het engels Ryksgebied : deze woord wij doordien snood En haatelyken eisen de spanjaard aandoen , En daarom moet wie hij dapper tegengaan , mede wel vereende macht : wie moet het onheil wreken Op Alva , die gedrocht , en zijn vermogen breken zo velen ik immer kunnen ; ik moeten doen dwingelandij , de bloeddorst , dol haten , en wat meer yslyk zijde , Door hij aan wij betoond , de zynenruim vergelden .	Fear_Emotion_Hatred_Other
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.252.s.1	Treslong .	None
rivi001vero01_01.TEI.2.text.body.div.sp.264.s.1	wie moet Nederland , alles waar vryheids held , Ontheffen vinden zijn ' lassen , die onverdraaglijk zijn .	None
rivi001vero01_01.TEI.2.text.body.div.sp.264.s.2	geren in de vijand dienst zijde lyfsbehoudenis vergunnen , indien wie heen verwinnen : mare doen Koning zijn Hollands Opperheer , aan wieden het wij voegen verschoning vinden deze wij stout bestaan mede ernst te smeken , tot wie vasten verzekeren zijn die hij hebben moordgebod bevelen hebben ; zo niet hij zullen de Hertog stuiten , En roep hij , vergramd , te rug alles deze zien buit zijn strikken bevel gedragen ; en doen doen Vorst deze niet Dan blijken wij klaar die zulks mede zijn willen geschieden .	Emotion_Anger
rivi001vero01_01.TEI.2.text.body.div.sp.272.s.1	Philippus straf hand hebben eest die web weven .	None
rivi001vero01_01.TEI.2.text.body.div.sp.272.s.2	Een Koning , die zijn ' zode beroofdde vinden hebben leven , Die berg , Montigny , en Egmond hebben doemen , verdiend geenszins die hij zachtmoedig woord genoemd , En kunnen , naar zulk bestaan , geren graven vinden Holland blijven .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.274.s.1	Entes .	None
rivi001vero01_01.TEI.2.text.body.div.sp.279.s.1	durven Alva , rood vinden bloeden , zien zijn Konings Dienaar schrijven , laten wij , mede hij gelijk , uiten Vorstelyken lassen , alles het recht krygslien vinden een ' Spaanschen Koning passen , Bewandelen de wegge , die wie hij zieden betreden .	None
rivi001vero01_01.TEI.2.text.body.div.sp.284.s.1	deze voorstellen dunken ik goed , grondvesten op doen rijden .	None
rivi001vero01_01.TEI.2.text.body.div.sp.284.s.2	ik vriend , laten wij voor de Briel veroveren	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.286.s.1	doen rijk .	None
rivi001vero01_01.TEI.2.text.body.div.sp.289.s.1	Waartoe die haasten , mijnheer ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.289.s.2	wie moet onderstaan gaan .	None
rivi001vero01_01.TEI.2.text.body.div.sp.289.s.3	Of niet mede vriendlykheid die Stad zijn in te krijgen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.294.s.1	wij zenden ik daar goed heen ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.300.s.1	Zacht , heer , laten wij zwijgen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.300.s.2	Een Veerman , die mede spoed zijn Vaartuig herwaarts wenden , tonen weinig vrezen , en schijnen aan ik niet onbekend .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.sp.306.s.1	wie vroeg wij te zijde ' .	None
rivi001vero01_01.TEI.2.text.body.div.sp.306.s.2	gei kunde die Schipper spreken ; En zijn uw in die manna voor wij wat goed blijken , Verzoek hij dan die hij doen Stad opeisen gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.307.s.1	Tweede toneel	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.310.s.1	Treslong , Koppestok , op zijn Vaartuig .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.312.s.1	Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.314.s.1	ik moeten weten vinden nabij hoe het hier scheppen staan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.318.s.1	komen hier aan landen , kapitein ; ik hebben uw iets te vragen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.322.s.1	Ik komen uw daadlyk bij .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.324.s.1	Derde toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.327.s.1	Treslong , allee .	None
