vos_002kluc01_01.TEI.2.text.body.div.head.115.s.1	Klucht van Oene .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.116.s.1	Fijtje .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.116.s.2	Ritsaart .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.119.s.1	Ritsaart / heb ik men woort van op te passen niet ehouwen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.speaker.120.s.1	Rits .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.122.s.1	Wat dat de hel niet weet te deinken / dat weeten ritse vrouwen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.125.s.1	Wat zeidt men liefste daer .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.130.s.1	Dat et vaatje mit Wijn / Dat ik jou gisteren belooft heb / veur margen hier in huis zel zijn : Maar ik mien et te sluiken / om et geldt van de zijs te bespaaren .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.131.s.1	Trijn .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.134.s.1	Ey !	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.134.s.2	vrouw kom in huis ; miester wordt wakker / en begint hy te baeren .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.139.s.1	Jou miester moet jou veul vereeren / om datje miest an zen kant helt .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.139.s.2	Ik hou veul mier van ien geever as van een beloover .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.139.s.3	Miester wordt wel dikwils zeeziek : maar hy geeft niet over .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.142.s.1	Gae jy in de Kelder ; hoor je wel Trijn ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.143.s.1	Oene roept van binnen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.146.s.1	Hou / Fijtje / hou / wat doeje in de nacht van ' et bedt ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.149.s.1	Ik gae iens nae 't sekreet : want de waterpot is verzet .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.speaker.150.s.1	Oene .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.152.s.1	Ik rae je kom weerom .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.155.s.1	Et mocht me onder weeg ontschieten .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.158.s.1	Waer blijfje ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.158.s.2	hoor je niet ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.161.s.1	Ik kan et immers niet uit zwieten .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.164.s.1	Slaet'er wat eieren in : hoorje : maakt et wat kort .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.167.s.1	De anslag is mislokt .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.172.s.1	Acht dat niet / of Oene gnort ; Ik weet die zottebol wel drae in slaep te sussen / Dan keunen wy menkaar wel zonder schreumen kussen .	Emotion_EmotionalAction_Love_Shame
vos_002kluc01_01.TEI.2.text.body.div.div.sp.176.s.1	Hou / Fijtje hoorje ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.176.s.2	Hoe maakje et daer zoo lang ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.176.s.3	Ik komje strikstrak by mit ien schaer / of mit ien nijptang .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.179.s.1	Rust jy jou hooft men vaar / et zel nou met ien veeg lukken .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.182.s.1	Ik wou in die tijt men darmen wel leeg drukken .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.186.s.1	Kom Ritsaart / schuilje in de wieg / want men kint is by men snaar / En Oene weet ' et niet / dies is ' er in 't minste gien gevaar .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.189.s.1	Ik zel huilen en jy zelt zingen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.190.s.1	Fijtje wiegt Ritsaart , en zingt : Van drie Moffen en drie Vinken , c.	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.1	Et me kijntje ien hoesje ekrijgt ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.2	is et galletje over eloopen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.3	Ik zel jou ien duit an razijntjes en ien bakkers koekje koopen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.4	Jy zelt mit jou Mamma by jou groote Papa gaen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.5	Dan zel ik jou vertellen van et Varken dat niet School wou / of men most et School draagen : Staet jou dat niet aan ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.6	Ja ik zel jou et sprookje van Erritje / Boontje / Strootje en Kooltjevier zeggen ; Hoe dat Strootje / in plaats van ien brug / over ien sloot ging leggen ; Daer Erritje over heen rolde / om niet te koomen in noodt : Maar mit dat Kooltjevier op et midden quam / branden Strootje deur / en Kooltjevier viel in de Sloot / Daer et zen ongelok / as jy wel kan deinken / betreurde .	Emotion_Sadness
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.7	En hoe Boontje om Kooltjeviers ongelok zoo lachte dat zijn naersje scheurde .	Joy_EmotionalAction
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.8	Hoe dat Boontje toen / om ien lapje veur zen naers te krijgen / nae ien schoenlapper tradt .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.9	Seur die tijdt hebben al de Boontjes zwarte lapjes veur heur naers ehadt .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.209.s.1	Wel / Fijtje wat is hier te doen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.209.s.2	Dus in de nacht te zingen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.212.s.1	Et kindt stelt de pijpen vaar / et zou schier uit de wieg springen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.218.s.1	Dus / sus / jy stoute boef / leg stil jy arge gast ; Jy moet haest in de broek : want me dunkt dat jy de wieg ontwast .	None
