bidl001nede01_01.TEI.2.text.body.div.head.138.s.1	De muitery en nederlaag van Midas , Of koning onverstand .	None
bidl001nede01_01.TEI.2.text.body.div.head.139.s.1	Eerste deel .	None
bidl001nede01_01.TEI.2.text.body.div.head.140.s.1	Eerste tooneel .	None
bidl001nede01_01.TEI.2.text.body.div.stage.143.s.1	Belachal , Nieuwsgierigheid de bak opklimmende , voor het opgaan van het Gorayn , al lachende .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.speaker.145.s.1	Belachal .	None
bidl001nede01_01.TEI.2.text.body.div.sp.148.s.1	K zie 't immers wel , wat nieuws is hier ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.speaker.150.s.1	Nieuwsgierigheid .	None
bidl001nede01_01.TEI.2.text.body.div.sp.152.s.1	Kom op , kom op ,	None
bidl001nede01_01.TEI.2.text.body.div.sp.158.s.1	'K zie niet een zier , Als dit gordijn zoo lang bekeeken , Dat ....	None
bidl001nede01_01.TEI.2.text.body.div.sp.162.s.1	Laat ons van het nieuwe spreeken ,	None
bidl001nede01_01.TEI.2.text.body.div.sp.166.s.1	Al weer wat nieuws , en nooit wat goeds ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.174.s.1	Uw leven ziet gy ook , goeds moeds , Geen zaaken aan ; wel laat ons kyken ; Lach , alsje hoort een oordeel stryken , Tot naadeel van het geen gy ziet .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.179.s.1	Wat doen wy hiet ? 'k zie 't minste niet , Dat na wat nieuws gelijkt ?	None
bidl001nede01_01.TEI.2.text.body.div.stage.181.s.1	Hier werd het oude Gordijn weggehaald .	None
bidl001nede01_01.TEI.2.text.body.div.sp.186.s.1	Met zinnen ; Wat dunkt u hier van ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.1	'K moet beginnen Te lachchen , ha !	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.2	ha !	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.4	wat 's dit ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.5	Wat 's dat voor volkje .	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.6	dat hier zit ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.196.s.1	'T is Febus met de Zanggodinnen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.200.s.1	Wel kunt gy dat zo voort verzinnen ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.206.s.1	Wel ja , zie , dat 's Melpomene , Dit 's Clio , dat Kalliope , Deeze Erato .	None
bidl001nede01_01.TEI.2.text.body.div.sp.210.s.1	Hoe kunje 't weeten .	None
bidl001nede01_01.TEI.2.text.body.div.sp.219.s.1	Aan 't hand en hoofdtuig , daar Poeëten , En Schilders zich gewoonelijk Aan kennen doen : kom hier eens , kijk ; Dat is Euterpe , zo te noemen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.219.s.2	Om 't lachchend weezen en de bloemen , En zie , dat is Urania .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.225.s.1	Wel ja , wel ja , dat lijkt'er na .	None
bidl001nede01_01.TEI.2.text.body.div.sp.225.s.2	Ik heb voor deezen wel geleezen , Dat die zo moet wat stemmig weezen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.speaker.227.s.1	Niewsgierigheid .	None
bidl001nede01_01.TEI.2.text.body.div.sp.232.s.1	Wat dunkt u van de schildery ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.232.s.2	Is daar geen kleur , of houwding by ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.232.s.3	Wat zegt gy ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.1	'K heb wel hooren zeggen , Dat Schilders , alsze oneenig leggen , ( Ik kom te met wel , dat gy 't weet , By deez ' en geenen klad Poeët ) En knib'len over kunst paneelen .	EmotionalAction_Annoyance
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.2	Die taal gebruiken in 't krakeelen .	EmotionalAction_Annoyance
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.3	Ook slaan heel fraai , wanneer men smaalt , De woorden uit de konst gehaalt .	EmotionalAction_Annoyance
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.4	Waar van men twist , en kenners spreeken : Maar laat ons 't hoofd niet verder breeken Met Febus , die zo stil hier staat , Of hem geen zaak ter harten gaat ; Ik moetje een ander deuntje zingen , Veel pretendenten Kunstelingen , Zyn op Apollo zeer verstoord , Om , na men reeds van verre hoord , Dat hy met kracht weêr voort doet zetten , Niet hunn ' gedichten , maar zyn ' wetten , Omtrent .... maar kunt gy loist'ren ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.258.s.1	Ja ,	None
bidl001nede01_01.TEI.2.text.body.div.sp.262.s.1	En zonder spreeken ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.266.s.1	Ja .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.1	Wel ga .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.2	Dan stil met my , wy zullen hooren , Den dageraad Apol beschooren .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.3	Bedilal zeg my , dat hy ging .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.4	Om met zyn ' Vrinden onderling , Eens raad te pleegen over zaaken , Die de eer van Midas zetel raaken .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.5	Hy vroeg my , os ik meê wou doen , Maar deeze zaaken zyn nog groen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.6	Ik hoop hen alle bei te scheeren , En met die 't winnen zal te smeeren ; Nu laat ons zien , hoe 't zal vergaan .	Emotion_Hope
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.7	Verschuil u wel	None
bidl001nede01_01.TEI.2.text.body.div.sp.289.s.1	Wees niet belaân , 'K zal Midas , noch Apollo tergen , Kunt gy uw lachchen maar verbergen .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.stage.291.s.1	Alhier gaat het nieuwe Gordyn open .	None
bidl001nede01_01.TEI.2.text.body.div.div.head.292.s.1	Tweede tooneel .	None
bidl001nede01_01.TEI.2.text.body.div.div.stage.294.s.1	Bedilal , Nijd .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.speaker.296.s.1	Bedilal .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.301.s.1	HIer is de plaats ; ô Nijd !	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.301.s.2	aanzienlijke Afgezant , Heraut , en Legerraad van Koning Onverstand , Den grooten Midas , daar ik myn ' getrouwe vrinden , De Twist en Achterklap , dit oogenblik most vinden .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.speaker.303.s.1	Nijd .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.308.s.1	Bedilal nog alom Verbeterlost genoemt , Wien Midas , als een hoofd van zynen aanslag roemt , Men toeve , tot de Zon wat laager ... zacht , zy komen .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.308.s.2	Het barstende aardrijk schijnt zelf op haar komst te schroomen .	None
bidl001nede01_01.TEI.2.text.body.div.div.head.310.s.1	Derde tooneel .	None
bidl001nede01_01.TEI.2.text.body.div.div.stage.314.s.1	Twist , Achterklap , van onderen op , Bedilal , Nijd .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.333.s.1	Zyt welkom arge Twist , en listige Achterklap , Gy weet , hoe Midas lang na Febus meesterschap En wraak gedongen heeft , zints hy met Ezels ooren , Om dat hy liever Pans , als zyn gespel mogt hooren Geplaagd is ; maar nog rust Apollo hier niet by .	Emotion_Vindictiveness
bidl001nede01_01.TEI.2.text.body.div.div.sp.333.s.2	Hy had voor eeuwig hem , denk , welk een Tyranny !	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.333.s.3	Maar no zyn ' vrinden ook ten zangperke uitgesmeeten .	EmotionalAction_Anger
bidl001nede01_01.TEI.2.text.body.div.div.sp.333.s.4	Hy dreigd , die hem niet eerd , met dood , en bau , en keten . 'T is eind'lijk tijd , om eens te dempen zyn gezag , Te proeven , wat men na dien hoon op hem vermag ; En al waar wijsheid heetscht , of vrije konslen bloeijen , De Vorsten , Menschen , en hun eernaam uit te roeijen ; Het algemeene best der letterkunde in spijt Van reden , die haar helpt , te dempen voor altijd , En hier toe is uw raad den Vorst , en ons van noden .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.speaker.335.s.1	Twist .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.1	'K zal toonen , dat ik niet vergeessch ben op ontbooden .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.2	Ik heb myn brein gewet , om eens de hovaardy Van Febus Heiligdom te straflen , zo gy my , Bedilal , Achterklap , en Nijd het oor wilt leenen , Zal ik van deeze uur af , zyn luister zo verkleenen , Dat niet een Mensch eerlang meêr van hem weeten zal : Ja zo ons kracht ontbreekt in nood , of krygsgeval , Zal stoute onweetenheid , een van uw meelters vrinden , Het vinnig slag-zwaard van zyn wrok op zy gaan binden .	Emotion_Pride_Anger
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.3	Bedilal , nu van naam , moet ook van opperkleed , Veranderd , gaade slaan , alwaar men tijd besteed In letteroeffening , om 't zyne daar te zeggen , En als Verbeterlust , verachten , wederleggen , En hekelen al wat hy hoord , of leezen ziet .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.4	Een konst in ouder tijd met nut , en eer geschied .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.5	Nu kan 't een handvat zyn om geesten uit te blusschen , En kunsten haatclijk te maaken ; ondertusschen Moet gy u uiterlijk bekleeden met al 't geen Maar na geleerdheid lijkt .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.6	Haal titelen te leen Van groote schryvers , en doe aan de waereld blyken , Dat ook de wysheid zelf had willen u verryken , Met diepe keanis .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.7	onnasporelijk begrip , En 't zuiverste oordeel : sta op lettergreep , en stip Als of ' er al aan hing ; om 't met een titel te uiten , Noem u een Criticus , daar kunt gy in besluiten Al wat u nodig is , om nu ter tijd , als wijs Ook met den gaauwsten geest te twisten om den prijs Gy hebt voorzichtiglijk dit mannekleed genoomen .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.8	Want waar is achterklap , als man , ooit voorgekoomen ?	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.370.s.9	Gy zult eenvoodigheit bedriegen met dien schijn , Die waand , dat gy een vrouw by vrouwen maar kunt zijn .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.stage.365.s.1	Tegen Achterklap .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.374.s.1	Dit is de rechte weg , om elk door haat te styven .	Emotion_Hatred_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.div.sp.speaker.376.s.1	Achterklap .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.378.s.1	Wat zal ik midlerwijl ter zyden af bedrijven ?	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.389.s.1	Gy zult al , dien gy hoord , dat iets in lett'ren doet .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.389.s.2	Verstaat die eenig schrift de waereld geeft voor goed , Of 't zyne , in eer en rust bedektelijk tegenvaaren , Niets van waardy , of kracht van zynekunst verklaaren ; Maar drukken hem een schande , of lasterlyke daad Op 't hart wier tegendeel niet ligt te toonen staat .	HeavyHeartedness_Emotion_BodyPart_BodilyProcess_Remorse
bidl001nede01_01.TEI.2.text.body.div.div.sp.389.s.3	Bedilal , ga terwijl u slaatelijk verkleeden , Zo kunt gy ieder met wat aanzien tegen treeden .	None
bidl001nede01_01.TEI.2.text.body.div.div.head.391.s.1	Vierde tooneel .	None
bidl001nede01_01.TEI.2.text.body.div.div.stage.393.s.1	Achterklap , Nijd , Twist .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.398.s.1	Waar voeg ik my om best aan stof , gelegentheid , En spraak te raaken ?	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.409.s.1	Nu moet gy met meêr beleid , Als ooit uw arbeid doen ; want zo zy ons ontdekken , Dat zou den Koning , meêr als ooit , tot nadeel strekken .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.409.s.2	Bedek uw aangezicht , voor al ook dit gewaad Met Reedelijkheid , een stof , dat zich wel plooijen laat ; Zeg niets voorzeker , maar doe 't zekerlijk gelooven , Door valsche brieven , en getuigen ; eer te rooven Is kleene kunst , alleen daar hoort geheugen toe .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.1	'K was onvermoogende , en wierd reeds my zelve moe , Nu schep ik aamtocht , en mijn drift in 't hart geblaazen Van stoute Onweetenheid , zal Febus zelf verbaazen : Ja nu door Nijd aldus , Vorst Onverstant herleeft ; Zal konst en kennis zien , hoe weinig wijsheid geeft , Wanneer ons raadgespan zyn ' krachten wel doed werken ; Maar 'k neb vernoomeu , hoe zich Febus durft vetsterken , Zyn ' oude wetten , reeds weêr steld in haar gebruik , Op dat Vorst Onverstand voor zynen Schepter duik ; Maar niemant van ons Volk kan volgers deeze wetten , De handen op papier , aan boek , of penne zetten .	BodilyProcess_Anger
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.2	Eerst moet men zedig , en tot deugd , en eer gezind , Een wyl tijds toonen , dat men weetenschap bemind ; Dan lang zich oeffenen in jouge en oude soonften ; By stille ervaarenheid , die schoon , en nut leert schisten ; Dan proeven , of men hen van verre volgen kan , Zich hoedende ( want dit verblind het oordeel ) van Laatdunkenheid , die vaak in schijn van lust gebrooken , Der braafste geesten heeft hunne oeffening gebrooken .	Emotion_Love_Desire
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.3	Belet ( zo luid zyn les ) te komen tot den trap , Van waare kennis , en gestaafde weetenschap .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.4	Hier na ( wat leid men hem die schryven wil , te vooren ?	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.5	Wat moet de bende niet van dien Tiran al hooren ? ) Verkiezen stijl , en stof , na letter ocffening , Als of ' er heel iets groots aan stof te keuren hing , En elk van alle stof niet schryven mocht en dienten .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.6	Die niets geschreeven heeft , dat teder kon verplichten , Tot lof , beveeld hy streng , ja op verbod der pen , Dat zich tot tegenspraak van niemands schrift gewen ; Geen onderzoek-schrift schryve , of aanwyze elks gebreeken : Men mag van taalkunst , noch van wijz'van zeggen spreeken , Ten zy door klaar vertoog , men een en andermaaal , Getoont heb ' , dat men 't merg , en 't schoon verlla der taal , Waar van men spreeken wil .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.7	Nog zult gy dikmaals leezen , Van onbeschaaftheid , en van schijn geleerd te weezen , Van zotte vindingen , en ergerlijk vermaak , Van misbruik zyner konst ; hoe ik de geesten wraak , En in hunn ' schaduw volg , hoe gy met Midas vaanen , Ook by de onkundigste zyn ondergang wilt baanen : Nog wil hy , dat die geen , wiens ruwe onkundigheid , Als de onze , door den druk voor ieders oogen leid , Niet van verbeteren rep , voor dat hy zyne schristen Zo heeft verbetert , dat een kenner die mag ziften .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.460.s.8	Kortom , wy moeten hem , en zyne Zoons met kracht Bestormen , wilmen niet , dat zyn verheeve magt , Ons alle , en onzen Vorst voor eeuwig dwing te zwygen .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.speaker.462.s.1	Achterklap	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.474.s.1	'K wist reeds de Onzydigheid , zo vert ' voor ons te krygen , Dat zy Vrouw Yver al van daag verdagvaart heeft , Om scherpe rekening te geeven , hoe men leeft Met eer en zedigheid , op haare Schouwtooneelen , Ik wist , als goede wil , zo stemmig haar te streelen , Dat zy haar ' tederheid alreeds geschonden acht .	EmotionalAction_Love
bidl001nede01_01.TEI.2.text.body.div.div.sp.474.s.2	Ik heb aan d'and'ren kant de vrolijkheid belacht , In schijn van losse jeugd , bespot , getergt , verweeten , Dat op het Schouwtooneel , de blijdschap wierd vergeeten , En niet als doffe stof vertoont , ik trof haar hert ; Zo dat elk klaagd , dat zy niet wel gehandhaaft werd .	Joy_Emotion_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.div.sp.478.s.1	Daar komt Bedilal .	None
bidl001nede01_01.TEI.2.text.body.div.div.head.480.s.1	Vijfde tooneel .	None
bidl001nede01_01.TEI.2.text.body.div.div.stage.483.s.1	Bedilal , Twist , Nijd , Achterklap .	None
bidl001nede01_01.TEI.2.text.body.div.div.stage.483.s.2	Bedilal bekleed met bladen van Boeken , Titel-namen van groote en befaamde Schryvers , konst-woorden , en weetenschappen , in veelerly Taalen .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.491.s.1	MEt die ciersels en gewaaden Zult gy Geleerdheid zelf ( 'k zwijg 't botte graauw ) verraden .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.491.s.2	Heer Criticus , 't staat wel , en 't is een ligte dragt , Onkostelijk , en naar den nieuwen zwier bedacht .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.496.s.1	Wat leest , wat ziet m'er al Latynsche en Griekse naamen .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.496.s.2	Wie maakte toch dit kleed ?	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.504.s.1	Dit had gy moetent raamen , Pedantmachinicus .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.504.s.2	De dingen , die gy leest Zyn niet , als 't fyne van ervarentheid en geest .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.504.s.3	Hy gaf my ook een lijst van ouwe Schryvers .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.504.s.4	Vrinden , Waar zal ik nu mijn eerst ' en moeilijkst arbeid vinden ?	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.521.s.1	Men help eerst Yver , daar Apol door leeft , van kant , Want deeze geest zyn ' magt te grooten onderstand ; Ja kan men met een slag zyn ' schoolen neder ploffen , Zo zal zyn ' bende eerlang niet op zyn ' konst meêr sloften .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.521.s.2	Daar 's al oneenigheid in hun belang gezaaid , Dewyl en deugd , en vreugd ' , op 't felste om voorstand kraaid , Zult gy met in-en voor-en tegenspraak ligt manken , Dat zelf de wysheid daar alle oeffening zal staaken , En dan is 't verr ' genoeg , haar vrinden , voogden , zoons , En konst beminnaars , dan door veel verwyts , en hoons , Wanlustig , dof , en moe gemaakt door uw verachten , Niet eens na Febus , of zyn ' gaaven zullen trachten ; Aldus krygt Onverstand , ons aller Vorst en Heer , Het wettige bezit , van deez ' tyds lett'ren weêr .	HeavyHeartedness_Joy_Emotion_Disgust
bidl001nede01_01.TEI.2.text.body.div.div.sp.526.s.1	Maar eer ons Yver , of een van hun Volk kom stooren , Laat ons de lessen , die Pedant u gaf , eens hooren .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.564.s.1	'K zal zeggen , wat ik wel het meest Onthouden moet ; wat iemand leest , Of schryft , stout tegenspreeken , Geduurig toepen , 't zyn gebreeken !	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.564.s.2	En 't geen u diend , gelijk als my , In alle slag van rymery , En lettetkryg niet weêr te schryven , 'T geen voor ons eigen werk moet blyven ; Want hoe die list ons is gelukt , Weet , schoon zy eens moet zyn gedrukt , Eu eenmaal slechts tooneel kou houwen , Elk , die 't begekkende aan kwam schouwen . 'T is veel dan , ja schier al te veel , Zo wy te met uit Frans een deel , Van een vertoonstuk overzetten : Dus blyft men vry van regels , wetten , Van houding , schikking en wat meêr , Den speele - dicht'ren van hun ' eer Berooft ; zo zy 't , als wy , begrypen , Ik moet mijn ' hersenen wat slypen , Om uit dit Frans , dit Grieks , Latyn , Te leeren , wat konstwoorden zyn .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.564.s.3	Hoe moeijelijk zy mogen weezen Om zeggen ; 'k moet nochtans niet vreezen . 'K spreek , schoon ik niet weet , wat het is , Van Episode , Epithesis , Van Hyperbolen , Catastrophen , En zulk een goed ; van Eitososen , En Redenaars ; maar 'k letter op ; Myn ' wysheid kreeg aars ligt de schop , Dat niemant in myn woord kan vallen , Bestraftmen my , 'k zeg niet met allen Ter zaak , maar vang een deuntjen aan , Zo 't schelden niet wel door wil gaan .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.speaker.566.s.1	Achrerklap .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.574.s.1	Gy zyt aldus genoeg gewapent om den drempel , Ja al de waardigheid te schenden van dien Tempel , Ik geef my onder 't Volk Gy , hou een oog in 't zeil .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.stage.572.s.1	Tegen Twist .	None
bidl001nede01_01.TEI.2.text.body.div.div.sp.580.s.1	Ik ga naar Midas , op dat ik hem mededeil , Hoe myn gezantschap tot dus verre is afgeloopen .	None
