hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	Persoonen	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.998.s.1	Agon , Sulthân van Bantam .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1001.s.1	Sinan , Captein van Agons Gardes .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1004.s.1	Fathêma , Princesse van Maccasser .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1007.s.1	Camoeni , Vertrouweling van Fathêma .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1011.s.1	Hassan , jongste Soon . } Van Agon .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1015.s.1	Abdul , oudste Soon . } Van Agon .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1018.s.1	Jan Lucas van Steenwyk , Nêerlander , Renegaat , Vertrouweling van Abdul .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1021.s.1	Ibrahim , Iman of Opper-Priester van de Koninglyke Mosquée van Bantam .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1024.s.1	Saint Martin , Generaal van de Nederlandsche Krygsmacht , en Raad van Indien .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1027.s.1	Sadi , Javaansch Officier .	None
hare003agon01_01.TEI.2.text.body.div.div.list.item.1029.s.1	Javaansche Grooten .	None
hare003agon01_01.TEI.2.text.body.div.div.p.1031.s.1	Het Toneel is in 't Paleys van Bantam , twaalf myl bewesten Batavia , op 't Eyland Groot Java .	None
hare003agon01_01.TEI.2.text.body.div.head.1036.s.1	Agon , Sulthan van Bantam .	None
hare003agon01_01.TEI.2.text.body.div.head.1036.s.2	Eerste bedryf	None
hare003agon01_01.TEI.2.text.body.div.div.head.1038.s.1	Eerste Toneel	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1040.s.1	Agon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.1	IK ga dan eindelyk een stille rust genieten , Myn dagen zullen nu in vreed ' en vryheid vlieten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.2	De zorgen die den Throon omringen van rondsom , Welk ' ieder dageraad en dachlicht brengd weêrom , Die zullen nu voortaan by my geen plaats meer vinden , En niet meer myne geest aan moeit ' en arbeid binden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.3	Fortuin , welk's magt ik heb zoo menigmaal beproefd , Die my zomtyds verblyd , en zomtyds hebt bedroefd , Die in myn jeugd op my ten bittersten verbolgen , My nu schynd zedert lang standvastiglyk te volgen , 'k Ga buiten uw bereik ; 'k wil dat het lotgeval , Op myne levensloop geen kracht meer hebben zal !	Joy_Emotion_Sadness_Spitefulness
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.4	O Schepper van 't Heelal , meester van dood en leven , Die ons door Mahomet uw wetten hebt gegeven , Die Agon uit het Stof hebt op den Throon gebragt Aan wien hy schuldig is syn glory en syn magt , Ontvang zyn dankbaar hart !	Emotion_BodyPart_Other
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.5	Oneindig Opperwezen Gy hebt ten allen tyd ' in syne ziel geleezen , Gy hebt altyd gezien syn ' liefde voor de Deugd , En in de tegenspoed , en midden in de vreugd !	Joy_Emotion_Love_Dedication
hare003agon01_01.TEI.2.text.body.div.div.sp.1080.s.6	Geev ' in syn ' ouderdom , geev ' in de korte jaaren , Die uw Besluit , misschien , hem nog op Aard ' zal spaaren , Dat hy in eenzaamheid een stille rust geniet ' , En eendracht in syn Huis , en by syn Soonen ziet !	None
hare003agon01_01.TEI.2.text.body.div.div.head.1083.s.1	Tweede toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1085.s.1	Agon .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.1085.s.2	Sinan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.1087.s.1	sinan	None
