bidl001nede01_01.TEI.2.text.body.div.head.138.s.1	doen muiterij en nederlaag vinden Midas , Of koning onverstand .	None
bidl001nede01_01.TEI.2.text.body.div.head.139.s.1	eerst delen .	None
bidl001nede01_01.TEI.2.text.body.div.head.140.s.1	eerst toneel .	None
bidl001nede01_01.TEI.2.text.body.div.stage.143.s.1	Belachal , Nieuwsgierigheid doen bak opklimmen , voor hebben opgaan vinden hebben Gorayn , al lachen .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.speaker.145.s.1	Belachal .	None
bidl001nede01_01.TEI.2.text.body.div.sp.148.s.1	K zien het immers wel , wat nieuw zijn hier ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.speaker.150.s.1	Nieuwsgierigheid .	None
bidl001nede01_01.TEI.2.text.body.div.sp.152.s.1	komen op , komen op ,	None
bidl001nede01_01.TEI.2.text.body.div.sp.158.s.1	ik zien niet een zeer , alles deze gordijn zo langen bekeeken , die ....	None
bidl001nede01_01.TEI.2.text.body.div.sp.162.s.1	laten wij vinden hebben nieuw spreken ,	None
bidl001nede01_01.TEI.2.text.body.div.sp.166.s.1	Al weder wat nieuw , en nooit wat goed ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.174.s.1	u leven zien gei ook , goed moed , geren zaak aan ; wel laten wij kijken ; liggen , alsje horen een oordelen strijken , Tot naadeel vinden hebben geren gei zien .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.179.s.1	Wat doel wie heet ? ik zien het minst niet , die naar wat nieuw gelijken ?	None
bidl001nede01_01.TEI.2.text.body.div.stage.181.s.1	Hier waard hebben oud Gordijn weghalen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.186.s.1	mede zin ; Wat dunken uw hier vinden ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.1	ik moeten beginnen Te lachchen , ha !	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.2	ha !	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.4	wat zijn deze ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.5	Wat zijn die voor volkje .	None
bidl001nede01_01.TEI.2.text.body.div.sp.192.s.6	die hier zitten ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.196.s.1	het zijn Febus mede doen Zanggodinnen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.200.s.1	Wel kunde gei die zode voor verzinnen ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.206.s.1	Wel ja , zien , die zijn Melpomene , deze zijn Clio , die Kalliope , deze Erato .	None
bidl001nede01_01.TEI.2.text.body.div.sp.210.s.1	Hoe kunje het weten .	None
bidl001nede01_01.TEI.2.text.body.div.sp.219.s.1	Aan het hand en hoofdtuig , daar Poeeten , En schilder zien gewoonelijk Aan kennen doel : komen hier een , kijken ; die zijn Euterpe , zode te noemen .	None
bidl001nede01_01.TEI.2.text.body.div.sp.219.s.2	Om het lachchend wees en doen bloem , En zien , die zijn Urania .	Joy_BodilyProcess
bidl001nede01_01.TEI.2.text.body.div.sp.225.s.1	Wel ja , wel ja , die lijkt'er naar .	None
bidl001nede01_01.TEI.2.text.body.div.sp.225.s.2	Ik hebben voor deze wel lezen , die die zode moeten wat stemmig wees .	None
bidl001nede01_01.TEI.2.text.body.div.sp.speaker.227.s.1	Niewsgierigheid .	None
bidl001nede01_01.TEI.2.text.body.div.sp.232.s.1	Wat dunken uw vinden doen schilderij ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.232.s.2	zijn daar geren kleur , of houwding bij ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.232.s.3	Wat zeggen gei ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.1	ik hebben wel horen zeggen , die schilder , als onenig liggen , ( Ik komen te mede wel , die gei het weten , bij deez ' en gunnen kladden Poeet ) En knib'len over kunst paneel .	EmotionalAction_Annoyance
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.2	Die talen gebruik in het krakeel .	EmotionalAction_Annoyance
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.3	Ook slaan helen fraai , wanneer ik smalen , doen woord uiten doen kunst halen .	EmotionalAction_Annoyance
bidl001nede01_01.TEI.2.text.body.div.sp.254.s.4	zijn vinden ik twisten , en kenner spreken : mare laten wij het hoofd niet verder breken mede Febus , die zode stillen hier staan , Of hij geren zaak te hart gaan ; Ik moetje een ander deuntje zingen , velen pretendent Kunstelingen , zijn op Apollo zeer verstoren , Om , naar ik rijden vinden ver hoord , die hij mede kracht weer voor doen zet , Niet hunn ' gedicht , mare zijn ' weten , Omtrent .... mare kunde gei loist'ren ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.258.s.1	Ja ,	None
bidl001nede01_01.TEI.2.text.body.div.sp.262.s.1	En zonder spreken ?	None
bidl001nede01_01.TEI.2.text.body.div.sp.266.s.1	Ja .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.1	Wel gade .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.2	Dan stillen mede ik , wie zullen horen , de dageraad Apol beschooren .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.3	Bedilal zeggen ik , die hij gaan .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.4	Om mede zijn ' vriend onderling , een raden te plegen over zaak , Die doen eer vinden Midas zetel raak .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.5	hij vragen ik , os ik met wouw doel , mare deze zaak zijn nog groeien .	None
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.6	Ik hopen heen al beide te schaar , En mede die het winden zullen te smeren ; Nu laten wij zieden , hoe het zullen vergaan .	Emotion_Hope
bidl001nede01_01.TEI.2.text.body.div.sp.283.s.7	verschuilen uw wel	None
bidl001nede01_01.TEI.2.text.body.div.sp.289.s.1	wezen niet beladen , ik zullen Midas , nog Apollo tergen , kunde gei u lachchen mare verbergen .	Joy_BodilyProcess
