vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.head.296.s.2	Treurspel .	None
vond001gysb04_01.TEI.2.text.body.div.head.297.s.1	hebben eerst bedrijf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.299.s.1	Gijsbrecht vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.1	hebben hemels rechten hebben zien te lang lest Ontferremt over ik , en ik benaeude vest , En arm burgerij ; en , op ik volx gebed , En dagelijx geschrei , doen bang stad ontzetten .	Fear_Emotion_BodilyProcess_Despair
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.2	doen vijand , zonder die wie uitkomst durfden hoop , zijn , zonder slag of stoten , vinden zelf hebben vellen verlopen .	Emotion_Hope
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.3	ik broeder jagen hij naar , zijde nemen vasten doen wijken , En vlucht haastig lang de Haerelemmer dijk .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.4	zo stuiven doen zee voor winden mede haar gedreve golf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.5	zo zien ik menigmaal een kudde wreed wolf , En fel tigers vlieden voor het ysselijck geschreeuw vinden al dier vorst , de hongerigen leeuw , Om niet al levendig en vers te zijn verslinden vinden hij , die op zijn jacht geren aas en hebben vinden .	Fear_EmotionalAction
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.6	Hoe snel , hoe onvoorziens zijn deze kans gedraeit ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.7	Hier , daar hebben leger lach , zijn het veld alom bezaaien mede wapen en geweer , verbaasd vinden het lijf rijten , vinden ingebeeld schrikken , en uiten de hand smijten , Om zonder hindernis te vlijen lang de weg .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.8	Ja op het verjaren zelf vinden het jarig beleg worden d'afgestrede muur vinden het lang beleg ontslaan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.9	Hoe zullen hebben gans land vinden wij verlossing wagen !	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.10	doen Kermerlander hebben mede Waterlander die zweren duizentwerf , die hij mede zwaard en vieren Vernielen zij eerlang doen mens , en doen dak , En tot een kerreckhof en as en puinhoop maken ik oud , ik wettig erve , en delven al ik eer In een poel , tot wraak vinden Floris hun heer : Om wie vervloekt dood ik lijden zo onschuldig , alles iemand leiden mogen , doch draegh ik kruis geduldig : Of zo ik schuldig zijn , en hebben hebben ik missen , het zijn uiten onnozelheid , en zonder erg of list .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.11	Neef Velsen , langen tergen , vinden eigen wraak prikkelen , En woord aanzien ik hier listig in wikkelen , En het schoon voorstellen , en eest doen zaak verbloemen mede wonderbaeren glimp : mare ik hebben zij witten verdoemen , zo dra alles ik verstaan , hoe grof zijde zien vergrijpen , mede de gevangene graaf na Engelant te schip , En slaan die voorslag af , te besteden vinden het gemeen , En riet doen ridderschap en al doen groot stad Te roep , om de vorst zijn ' moedwil te besnoeien , En gene uitheems macht nog koning te moeien , nog overzees geweld te halen in hebben land ; velen minnen hebben hoofd de land te helpen aen een ' kanten : waar uiten een springvloed zijn vinden zwarigheen spruiten , Die over stellen gaan en vasten geboude slot , En dorp zonder einde , en mens zonder tal , vinden allerhande staat , die het eeuwig smarten zullen .	Emotion_BodilyProcess_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.12	nog houden doen wraak geren ' stand , en geven zien nooit te wreed ; Al hebben zijde uitgeroit , te negende lijden , Wat Velzens stam bestaan , of vinden zijn maagschap scheiden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.13	doen nieuw ridderschap en stellen in het gemeen verbond zien wel streng , mede diergezworene eed , Handtastinge en geschrift , die zijde bezeglen doen , vinden nu in eeuwigheid , mede onverzoembren haten , Aen woord , Velzens bloed , en Aemstel , deze smaad Te wreken , en vinden zoenen te reppen nog te roer .	Emotion_Hatred
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.14	wij maagschap zitten verdrukken , durven schillen nog wapen voer , En geven gewillig schot en loten , om zo rusten Te leven , en doen glans de adel blijven blussen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.15	Hier helpen geren tussen spraak vinden koning en heer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.16	ik wouw ik trouwen stad nog het onderst boven karn , mede burgerij mede al , wat ik zijn houwen en trouwen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.17	doen hopen wassen , die doen tijd allengskens slijten zij doen bitterheit de volx , en d'oude wrok versterven : waarom ik ik getrooste in ballingschap te zwerven velen jaar achter een .	Aquiescence_Emotion_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.18	Of immers torn doen zode vinden Floris wereld halen in al ziel tronen , verhopen ik , zonder lassen vinden deze burgerije , Te karn in het bezitten en d'erref heerschappij vinden vechten en Aemstelstroom : dan lezen : het zijn al om niet .	Emotion_Hope
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.19	En wassen het om ik allee , hebben waar een klein verdrieten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.20	ik laten ik zelf vinden lid tot lidr in stuk zagen , En nemen op ik allee doen gruwelyxte plaag , Die ooit tiran bedenken ; wassen dan doen schuld boeten , En spreken ik daar met vrijen ik al t'onnozel bloed , ik lief gemalin , en willig onderzaeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.21	ik wouw , om hunnent willen allee , ik leven laten , Of spring in een ' poel , en stop deze wel , En dempen mede een ' springen doen nimmerzatte hal .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.22	die weten hij , die hebben al bezichtigen uiten de hogen , En wat in duister schuilen mede zijn doorzichtig oog ontdekken tot op de grond , en al hart kennen ; waarom hij ook ik rechte gehanthaest hebben in het einde , En mede de zegekrans ik heerlijk begenadigen , En tegen al doen macht de vijand verdaedight ; Die liggen slaan in de winden vinden oud genote deugd , waar aen wie volk en vorst verplicht vinden wij jeugd , zo yvrig , zonder ooit vinden trouwen te veranderen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.23	ik vader hebben gestrekt een hoofd vinden Waterlanderen , En Kennemer in het vellen , en mede geweld alom ( Hoewel door node persen ) vervolgen de adeldom , En al vijandschap op zijn hals laden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.24	doen koning Willem zij getuige vinden zijn daad , Indien hij eenmaal mogen verrijzen uiten hebben graf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.25	ik hebben graaf Floris trouwen handhaven bij zijn ' staf , zo langen hij zitten vervooght , en niet een woord kennen spreken , ik hebben hij zijn vader dood rechtvaardig helpen wreken , hebben koninglijck gebeente ontdekken , de fries temmen , En , alles geheim raad , in al zijn heil stemmen , mede Brero voor doen vuist hebben vlaams heir slaan , En in Kazant mede kracht de standaard weg dragen ; torn Guido nijdig wassen , die Floris , al het uitheems zinnen , zijn ' erfgenaam wouw huwen aen de Teems , En Vlaendren , Walchren zoeken te trap mede zijn rot .	Emotion_Envy
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.26	ook voeren ik over zee , om hij doen kroon de schot Te zet op hebben hoofd , hoewel hebben ander vallen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.27	ik staan de graaf en het volk te dienst mede lijf en ziel , En nog verzaemelt ik in het harnas zo velen troep , Die over Amsterdam en Aemstel wraak roep , En brullen nacht en dag , en zieden niet hoe doen vlammen vinden deze fel branden haar ' eerst oorsprong nemen uiten Floris geil barsten , en het schandelijk omhelzen , hebben schenden vinden ik nicht , die schoon bloem vinden Velzen , het verongelijken vinden de adel , in zijn rechte , bezweren mede zijn ' mond , verblind mens , zeggen , Indien geren wrok en wraak u oog dus verblind , zullen gij niet stof genoeg tot Aemstels onschuld vinden ?	Emotion_EmotionalAction_BodyPart_BodilyProcess_Vindictiveness_Spitefulness
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.28	Hoe zoeken ik hij vinden oud te maken tot een slaaf !	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.29	Wat leed hij niet al leeds vinden bisschop en vinden graaf !	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.30	ik wouw zijn loffelijk bloed in het bisdom niet gedogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.31	d'Aertsbisschop aen de Rijn kennen mede zijn nijdige oog Niet aenzien wij geluk , geven Gozewijn doen schoppen , En zet zijn neef de hogen mijter op .	Emotion_Envy_BodyPart
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.32	wie strijden om de staf , tot datze ik en woord , Aen weerzy vinden zijn paren , tot een triomf voeren In Uitrecht , mede velen smaets , vinden veer aanhoren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.33	ik hebben ik het Vrelantsch slot ontweldigen , hij Montfoort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.34	ik bekennen hebben slot wassen ik mede voorwaarde opdragen ; mare nergens om bouwen , dan om ik land te plaag .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.35	ik hebben zijn graeven vangenis wel zeel jaar langen bezuren , en Zwaenenburgh nog afstaan door dwang , ik erve in lid verkeerd , en manscbap moet zweer ; daar ik eest god allee , en ander gene heer ooit kennen in ik gebied , nog rekening geven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.36	nog dringen ik evenwel op ik zo stijf en straffen : Doch Haerlem dragen mede rechte doen groot schuld vinden al , die om zijn voordeel wrokken , en wensen ik sterk wal Te slecht tot de grond , in schijn vinden zijn graeven zaak , En weten zijn baetzucht loods te dekken mede doen wraak , Misbruickt hier toen de Zeeuw , doen Hollanders , en Vriezen , Om door ik grootheid niet aen eer te verlies .	Emotion_Greed
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.37	zo liggen doen zaak bij ik , en daar op gaan ik aen , En hebben in het zwaar beleg doen storm uitstaan , En dag en nacht voor aen worstelen op doen wal , het vermoeien volk sterken , en rustig uitvallen , ik ' broeder Ot kwetsen zieden sterven in ik ' schieten : krakeel neergeleght in branden , in honger node , gelijk een vader , ik voor het algemeen dragen : En nooit bezwijken ik moed in droef nederlaegen : nog ik blazen ik zelf op in voorspoed , nog zoeken roemen In zijn vijand ondergang : hoe node ik vijand noemen , Die onverzoenelijck zien tegen ik verzet , En wensen mede ik bloed zij blank geweer te smet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.38	ik vergeven zij deze feil , en dom onwetendheid , bevel ik in zijn hand , die rechte vinden onrecht scheit , En strekken in zijn hemel stoel de onderdruckten trooster .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.39	mare ik zien de vader daar vinden wij Katuizers klooster genaken vinden te zijde , op die hij ik begroeten ' .	None
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.40	hij schijnen om wij geluk verheugen en wel gemoed .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.466.s.41	ik zullen goed verstaan uiten hij , die nimmer wassen bespreken , waarom hebben leger zijn dus schichtig opbreken .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.468.s.1	Willebord .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.1	ik welgeboren heer , doen zoet jezus zijde mede uw en uw stad , en staan uw eeuwig bij , In allerhande node .	None
vond001gysb04_01.TEI.2.text.body.div.sp.503.s.2	doen broeder vinden ons orde , En ik , zijn zo verblijd , alles ofwe levend worp trekken in de tronen vinden god volmaakt vreugde .	Joy_Emotion
