vond001jose05_01.TEI.2.text.body.div.head.163.s.1	Joseph in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.head.164.s.1	Het eerste bedryf .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.166.s.1	Rey van Engelen .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.166.s.2	Joseph .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.1	ZIet Joseph , Rachels zoon , en Jakobs staf en stut , Hier slaepen in de hey , by dien bemoschten put ; Waer langs de heirbaen loopt naer Dothan , en die weien , Daer hy zijn broeders zoeckt : terwijl wy hemelreien , Door last des hemelvooghts , hem naerstigh gade slaen , Die zich , te nacht heel spa , toen d'ondergaende maen In 't gras viel , hier , vermoeit van reizen , neêr ging leggen , In woest en eenzaem veldt , begroeit met ruighte en heggen ; Als of hy d'Engelen en Godt , die overal Met zoo veel starren waeckt , alleen de wacht beval , En onbekommert was voor onraet , en voor dieren , Die in dees wildernis , van dorst of honger tieren .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.2	O Hemelkint , ô zorgh der Englen , slaep vry heen , En wandel dan gerust : wy tellen alle uw treên , Wy baenen u den wegh , door steenrots ruighte en doren , Naer 's werelds heerschappy , en hoogheit , u beschoren Tot wasdom van 't geslacht , het welck zijn ' oirsprong nam Uit uw stantvastigen outgrootvaêr Abraham ; Wiens hoop een keten smeedt van endelooze schakelen , Der neven , hem belooft door onverzierde orakelen ; Waer van ghy , eedle spruit , het wercktuigh strecken moet , En leggen d'eersten steen en grontsteen , aen den voet Van 't stamhuis , 't welck , eerst laegh van top en naeuw besloten , Ten leste met zijn hooft , de starren komt te stooten , En ruickende voorby den op - en ondergangk , Het aerdrijck en den doodt en afgront houdt in dwangk : Dies of u in den slaep iet naers zy voorgekomen Van 't naeckende ongeval , dat doe uw ' geest niet schroomen Maer ziet eens , hy ontwaeckt , om vrolijck met het licht Te heffen in de lucht dat jeughdigh aengezicht .	Joy_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.201.s.3	Hy rijst , de zon met hem .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.4	Daer staet hy op zijn voeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.201.s.5	Laet hooren , hoe hy Godt en 't morgenlicht zal groeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.203.s.1	Jos .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.1	De zon verlaet de kim , veel schooner danze plagh .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.2	Zy weckt my uit den droom met een ' gewenschten dagh , En schittert in den dauw en bloemen , nat van droppen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.3	Daer doet zich 't landschap op , en Dothans steile toppen , Met bey zijn heuvelen , van klaver dicht begroeit , Beplant met vijgh olijf en wijngaert , en besproeit Van bronnen om end ' om , waer uit de beecken spruiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.4	De harders , op voor zon , gaen koy en stal ontsluiten , En trecken beemdewaert .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.5	My dunckt , ick hoor alree Het loeien en 't geblaet van 't broederlijcke vee .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.6	Hoe strijckt my dat geloey van 't hart dees zwarigheden , Waer van mijn geest te nacht benart scheen , en bestreden .	Fear_Emotion_BodyPart
vond001jose05_01.TEI.2.text.body.div.sp.267.s.7	Wat droomt men zomtijds niet , dat luttel nadruck heeft ; En 't moet een bloohart zijn , die veel om droomen geeft .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.8	My docht ick wert omringt van negen wreede slangen , Zich stellende in 't gelit en schrap , om my te vangen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.9	Zy geesselden in 't eerst malkandren met den start , En sarden haeren wrock door stramen , en door smert .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.10	De gramschap steegh allengs in 't hooft , en quam gevlogen En sloegh , gelijck een brant en lichte vlam , ten oogen , Als door twee vensters , uit in 't ende , en dreef en drong De groene gal en 't blaeuw vergift tot op de tong ; Geslepen als een pijl , toeleggende om te micken , En drillende in de keel , verhit om bloet te slicken .	Emotion_BodyPart_BodilyProcess_Anger
vond001jose05_01.TEI.2.text.body.div.sp.267.s.11	Dat gaf een naer gezicht .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.12	De duisternis verdween , En wert geklooft , waer 't vier door d'ope blicken scheen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.13	'k Zagh blaeu en scheemrend gout den rug vol schubben spickelen , En 't lange lijf zich uit en in met krullen wickelen , Ick hoorde 't sissen van haer becken , geel van zucht ; Als moeders geest ( zoo 't scheen ) het hooft in onze lucht Opsteeckende uit den put , met nagelen en handen Heur slordigh hair de borst en 't aenzicht aen quam randen , En stooren mijnen slaep met heesch en droef misbaer : Op zoon , op op , vlie wegh , uw ' leven loopt gevaer .	Emotion_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.267.s.14	'k Vloogh op verbaest .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.15	ick zagh verbaest rontom my heenen , Maer zach noch hoorde niets , als driemael deerlijck steenen Uit dezen put , toen ick my weer te ruste ley .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.16	Daer na scheen 't of ' er een al fluisterende zey : Schept moedt , ô jongelingk , Godt zal uw reize zegenen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.17	'k Wil dan , getroost in Godt , mijn broedren gaen bejegenen , En groeten hen van verre , ootmoedigh en beleeft , Uit vaders naem , die my tot hen gezonden heeft .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.18	Een heusche groetenis kan onlust en krackeelen En huistwist , tusschen bloet en broeders zomtijds heelen , En harten strengelen door onderlingen vreê En vriendschap ; en misschien waer in ick hen misdeê Door onbedacht zaemheit , waer uit iet quaets moght wassen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.19	Zulck een bejegening wil my den jongste passen .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.20	Mijn vader maeckte my wel eer dat vredespoor , Won zoo zijn broeders hart , en ging zijn zonen voor .	None
vond001jose05_01.TEI.2.text.body.div.sp.267.s.21	Doch 'k wil mijn trouwe broêrs niet by mijn ' oom gelijcken , Die wildt van aert , zijn ' broer veel jaren dwong te wijcken Naer Laban onzen oom ; wiens vee hy dreef te wedt En wey , tot dat de tijdt dien wrock had neergezet .	Emotion_Loyalty_Spitefulness
vond001jose05_01.TEI.2.text.body.div.sp.267.s.22	Indien 't mijn lippen aen bevalligheit moght falen ; Zoo wil die milde Godt , wien zoo veel nachtegaelen Nu , met hun nuchtre keel vol orgelen , om strijt Vast groeten , mijnen mont , zijne eere toegewijt , Met paradijs dauw toch besprengen , om te spreecken 't Geen d'ooren lecker smake , en eendracht op kan queecken : Godts Engel , die weleer mijn ' vader heeft geleit , Geley my eerst naer stat , om 't zekerste bescheit .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.291.s.1	O Bronaer der alziende zorgen , Wat leit u oirsprong diep verborgen En duister , niet alleen voor 't oogh Der menschen , maer oock zelf voor Engelen , Eer zy zich onder menschen mengelen ; En nederdaelen , van om hoogh ; Daer d'Allerhooghste zit gestegen , Om , naer zijn wijsheit , t'overwegen , Wat na ter werelt zal geschiên ; Het welck hy zomtijds spelt door droomen , Op dat zijn wit , in 't licht gekomen , Hem tot een grooter glori dien .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.291.s.2	Laet haeters slincke hant vry zaeien , Godts rechte weet de vrucht te maeien .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.291.s.3	't Gaet boven menschelijck vermoen , Dat wy met Joseph herwaert reizen Naer Dothan , en van Memphis deizen , Om derwaerts grooter sprong te doen .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.1	Ja Vader , laet de menschen ruicken , Hoe ghy de quaden kunt gebruicken , Ten goede van het aerdsch geslacht ; Als ghy violen onder doornen Gaet plucken , en uw ' uitverkoornen Door u beleit zet in hun kracht .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.2	De deughden en de huisgebreken , Dus by malkandere geleken Vertoonen klaerder elck heur aert .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.3	Niet ruwe , maer geslepe steenen Een ' kostelijcker glans verleenen : Een puicksteen is wel slijpens waert .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.4	De puicksteen heldert op door 't schuuren , En kan de proef en 't oogh verduuren .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.313.s.5	Zoo zal oock Josephs braeve jeught Dan d'allerdomsten op doen mercken , Als zy verstrecke , om op te wercken , De puick - en proefstof van de deught .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.324.s.1	Zoo verre en uitheemsch van zijn ouders , Verwacht het dienstbre juck dees schouders , Die , onvolwassen en noch zwack , Geschapen zijn een rijck te schragen ; Een Koning zelf te helpen draegen Dat onverdraeghelijcke pack , En weelige oeghsten op te laden , Om magre jaeren te verzaden .	None
vond001jose05_01.TEI.2.text.body.div.head.327.s.1	Het tweede bedryf .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.329.s.1	Simeon .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.329.s.2	Levi .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.329.s.3	Judas .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.1	TEr goeder uure wy , om 't vee volop te geven Van gras en klaver , dat van Sichem herwaert dreven .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.2	Hier lacht de groene beemt de graege kudden aen , Die , om den heuvel , tot den buick in klaver gaen .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.3	Maer broeders , 'k bid u , ziet .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.4	Wie ylt daer stewaert heenen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.5	'k Zie 't hooft , nu 't halve lijf , nu knien , nu bey de beenen .	None
vond001jose05_01.TEI.2.text.body.div.sp.337.s.6	Daer stijght een op den top des heuvels , langs dien kant .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.339.s.1	Le .	None
vond001jose05_01.TEI.2.text.body.div.sp.342.s.1	Zoo doet hy , Simeon , en heeft in d'eene hant Den staf .	None
vond001jose05_01.TEI.2.text.body.div.sp.342.s.2	wie magh dat zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.344.s.1	Ju .	None
vond001jose05_01.TEI.2.text.body.div.sp.347.s.1	Hy spoet met luchte sprongen .	None
vond001jose05_01.TEI.2.text.body.div.sp.347.s.2	Ay Levi , zie eens toe , wien lijckt dat , man of jongen ?	None
