vos_002kluc01_01.TEI.2.text.body.div.head.115.s.1	Klucht vinden oen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.116.s.1	Fijtje .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.116.s.2	Ritsaart .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.119.s.1	Ritsaart / hebben ik ik woord vinden op te pas niet ehouwen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.speaker.120.s.1	Rits .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.122.s.1	Wat die doen hal niet weten te deinken / die weten rits vrouw .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.125.s.1	Wat zeggen ik lief daar .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.130.s.1	die et vaatje met Wijn / die ik jouw gisteren beloven hebben / voor morgen hier in huis zullen zijn : mare ik menen et te sluiken / om et geld vinden doen zijs te besparen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.131.s.1	Trijn .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.134.s.1	ei !	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.134.s.2	vrouw komen in huis ; meester woord wakker / en beginnen hij te baar .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.139.s.1	jouw meester moeten jouw veel vereren / om datje miest an zenden kanten held .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.139.s.2	Ik houden veel meer vinden een geever als vinden een beloover .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.139.s.3	meester woord wel dikwijls zeeziek : mare hij geven niet over .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.142.s.1	gaan jij in doen Kelder ; horen jouw wel Trijn ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.143.s.1	oen roepen vinden binden .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.146.s.1	houden / Fijtje / houden / wat doen in doen nacht vinden ' et goed ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.149.s.1	Ik gaan een na het sekreet : wan doen waterpot zijn verzetten .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.speaker.150.s.1	oen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.152.s.1	Ik ra jouw komen wederom .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.155.s.1	Et mogen ik onder wegen ontschieten .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.158.s.1	waar blijfje ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.158.s.2	horen jouw niet ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.161.s.1	Ik kunnen et immers niet uiten zweten .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.164.s.1	Slaet'er wat ei in : hoorje : maken et wat korten .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.167.s.1	doen anslag zijn mislokt .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.172.s.1	achten die niet / of oen gnort ; Ik weten die zottebol wel dra in slaap te sussen / Dan keunen wie menkaar wel zonder schromen kus .	Emotion_EmotionalAction_Love_Shame
vos_002kluc01_01.TEI.2.text.body.div.div.sp.176.s.1	houden / Fijtje hoorje ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.176.s.2	Hoe maakje et daar zo langen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.176.s.3	Ik komje strikstrak bij met een schaarde / of met een nijptang .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.179.s.1	rusten jij jouw hoofd ik varen / et zullen nu mede een vegen lukken .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.182.s.1	Ik wouw in die tijd ik darm wel ledig druk .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.186.s.1	komen Ritsaart / schuilje in doen wieg / wan ik kind zijn bij ik snaar / En oen weten ' et niet / dies zijn ' er in het minst gieren gevaar .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.189.s.1	Ik zullen huilen en jij zullen zingen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.stage.190.s.1	Fijtje wiegen Ritsaart , en zingen : vinden drie mof en drie vink , c.	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.1	Et ik kijntje een hoesje ekrijgt ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.2	zijn et galletje over lopen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.3	Ik zullen jouw een duit an razijntjes en een bakkers koekje kopen .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.4	jij zullen met jouw Mamma bij jouw groot Papa gaan .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.5	Dan zullen ik jouw vertellen vinden et Varken die niet schuilen wouw / of ik mos et schuilen dragen : staat jouw die niet aan ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.6	Ja ik zullen jouw et sprookje vinden Erritje / Boontje / Strootje en Kooltjevier zeggen ; Hoe die Strootje / in plaatsen vinden een brug / over een sluiten gaan liggen ; daar Erritje over heen rollen / om niet te komen in nood : mare met die Kooltjevier op et mijden komen / brand Strootje door / en Kooltjevier vallen in doen sluiten / daar et zenden ongelok / als jij wel kunnen deinken / betreuren .	Emotion_Sadness
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.7	En hoe Boontje om Kooltjeviers ongelok zo lachen die zijn naersje scheuren .	Joy_EmotionalAction
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.8	Hoe die Boontje torn / om een lapje voor zenden naers te krijgen / na een schoenlapper treden .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.205.s.9	zeur die tijd aanzien al doen Boontjes zwart lapjes voor haar naers ehadt .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.209.s.1	Wel / Fijtje wat zijn hier te doel ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.209.s.2	Dus in doen nacht te zingen ?	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.212.s.1	Et kind stellen doen pijp varen / et zij schier uiten doen wieg spring .	None
vos_002kluc01_01.TEI.2.text.body.div.div.sp.218.s.1	Dus / zus / jij stout boef / liggen stillen jij erg gast ; jij moeten haasten in doen broek : wan ik dunken die jij doen wieg ontwast .	None
