hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. Hoofts spel van ‘ Achilles en Polyxena ’	None
hoof001achi01_01.TEI.2.text.body.div.head.503.s.1	Namen der Persoonen .	None
hoof001achi01_01.TEI.2.text.body.div.p.504.s.1	2 Chooren :	None
hoof001achi01_01.TEI.2.text.body.div.p.569.s.1	AchillesAgamemnonMenelausNestorGrieckenUlyssesDiomedesAiaxAutomedonPatroclus stomPolyxenaPryamusHecubaHectorAndromacheTroyanenParisHelenaAeneasAntenorDeïphobusAstianax stom	None
hoof001achi01_01.TEI.2.text.body.div.head.573.s.1	Den Drucker tot den Leser .	None
hoof001achi01_01.TEI.2.text.body.div.p.665.s.1	Beminde Leser , nademael de Konst van Reden-rijck in ons lieve Vaderlandt zeer bloeyende opgaet , ende met zulcke kracht ende snellicheyt oprijst , dat elck reed'lievend ' hert hem met verwonderinge daer in verblijdt , dies te meer , om dat de Gheesten van onsen teghen - woordighen tijt inde Konst van Reden-rijck wederom oprechten de zuyvere Nederduytsche tael : in welcke oprechtinghe den Autheur deses Treurspels niet de minste en is , maer de meeste , naer het oordeel van veel treffelijcke verstandighe menschen , zoo dat ick niet en heb konnen naerlaten dit teghenwoordighe Treurspel van Achilles en Polyxena door den Druc gemeen te maken , eensdeels om de over - groote vloeyentheyt vande Poëtsche dichten , ten anderen om de heerlijcke leeringhen ende sententien die den Autheur hier in aenwijst , ende hoe naectelijck hy hier af-beelt de begheerlijckheyt des men - schen , ende de veranderinghen van dien , alsoo dat hy ons die naecte - lijck in een Tafereel afghebeeldet heeft : om ten kortsten te zegghen , synen naem brenght mede tghene hy is , ende waer toe hem de Nymphen ghestelt hebben , te weten , te wesen 't Hooft vande Poëten t'onsen tijden , zoo dat de Musen die drymael dry in ghetale zijn , door haren bode Fama hem hebben doen voeren door gantsch Neder - lant ; zoo dat meer dan billick ende recht is , dat de ghene die Fama met haer gheluyt heeft wacker gemaect ende oock eenich werck des - selven Hoofts aen den dach ghekomen is , dat oock dese uytnemende Bloeme aen synen Krans ghevlochten werde .	None
hoof001achi01_01.TEI.2.text.body.div.p.665.s.2	Verhopende dat den Autheur deses wercx , my mynen arbeyt ende kosten van dit Treurspel int licht te gheven , ten besten nemen zal , ghelijck ick wel weet dat alle konstlievende herten daer in een vermaken scheppen zullen .	None
hoof001achi01_01.TEI.2.text.body.div.p.665.s.3	Vaert wel .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.667.s.1	[ D'Eerste handeling ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.668.s.1	D'Eerste handeling , Eerste wtcomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.670.s.1	Achilles , Automedon	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.672.s.1	Achilles	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.1	Calchas Thestorijdes , als ghij u ghinct vermeten Van Troijens ondergang der goden wil te weten , Haa , weijnich wist ghier van , als ghij voorsaijde , dat Wij negen Jaren langh voor de Troijaense stat Toebrengen souden met verdriet en commer , maar Verwinnen t ' godloos volck int tiend ' en laeste Jaer .	HeavyHeartedness_Worry_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.2	Want was den val nabij van Troijas hooge wallen , Door wiens hant soude dien als door Achilles vallen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.3	Calchas , waert ghij in het waerseggen soo geleert , Ghij sout Achilles val hebben gepropheteert !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.4	Achilles val , seg ick , en door Achilles sterven Der Griecken onderganck en endelijck bederven !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.5	Tgemeene volck , die daechs met arbeijt sijn beswaert , Ontlast de nacht , die mij de grootste onrust baert .	Worry_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.6	De goden , moe gedanst , sijn lang te rust gegaen ; Elck na sijn lust , behalven de verliefde Maen , Die , bleeck door groote Min , onmoghlijck te vercouwen , Stilswijgent truert met haer vergulde staetjoffrouwen .	Emotion_EmotionalAction_BodilyProcess_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.7	De Griexse princen slapen sonder achterdacht , En stoute crijsluij , iae , een groot deel van de wacht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.8	Achilles can alleen op bed noch bulster dueren ; Achilles moet alleen daechs en des nachts besueren De groote cracht des Mins .	Emotion_Love_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.9	Sijt ghij de selve man , Die corts Neptunus soon in enen slach verwan ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.10	Ghij , die nu gaet bij nacht t ' troijaense velt duer wandelen , Niet eens te letten op de wacht en t ' svijandts handelen , Niet om t ' voornemen van haer hulpers te bespien , Gelijckt een Capijteijn betaemt staechs toe te sien , Waer Troijens muren swackst en lichts sijn om te crencken , Maer om de schoonheijt van u , Juffrou , t ' overdencken !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.11	Achilles , t ' is een schant ; ghij , die waert corteling Van Troijen meer ontsien dan enich ander ding ; Die t'svijants bloedich heijr en Hector dede grouwe , Wijct die voor een , voor een , voor een Troijaense vrouwe ?	Fear_Emotion_Disgust
hoof001achi01_01.TEI.2.text.body.div.div.sp.860.s.12	Polyxena , k ' heb noijt u broeders ijet geacht , Maer u manieren hooch sijn van een ander cracht , U teder schoonheijts glans , een oorspronck van mijn smerten , U edel hues gelaet , bespringt de hooge herten Gans op een ander wijs als t ' mannelijck gewelt Den stouten crijsluij doet in het bestoven velt .	Emotion_Sadness
