weye002holl01_01.TEI.2.text.body.div.head.158.s.1	De Hollandsche zinnelykheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.head.159.s.1	Eerste bedryf .	None
weye002holl01_01.TEI.2.text.body.div.head.160.s.1	Eerste toneel .	None
weye002holl01_01.TEI.2.text.body.div.stage.161.s.1	MEVROUW KEIZERS-THEE , CLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.162.s.1	CLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.sp.165.s.1	FOey Spadulano !	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.166.s.1	M. KEIZERS-THEE .	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.1	Foey Alfonso !	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.2	Respecteert De wyze faculteit : Coquette , spreckt , wat deert Aan Spadulano ?	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.3	wie zag ergens gladder vloeren , Zoo zuiver als kristal , of Ormus paarlemoeren ?	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.4	Hy is d'Elixer van de netheid .	None
weye002holl01_01.TEI.2.text.body.div.sp.176.s.5	't Blinkend gout , Gestoelte en Cabinet die spieglen zig in 't hout : 't Kraakt alles wat hy heeft : ja die maar eens ziet pronken Ter loops zyn porcelein , word wis als dol en dronken Uit liefde tot ...	None
weye002holl01_01.TEI.2.text.body.div.sp.speaker.178.s.1	KLARINDE .	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.1	Ha !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.2	ha !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.3	bestaat verdienste dan In 't boenen van een vloer , of schuuren van een pan ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.4	Wykt dan Alfonso , om dat juist zyn zaal en stoelen Niet glimpen als vernis : is wassen , plassen , spoelen Het Minnewerktuig van het zoete Venus-wigt ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.5	Of is een bezemsteel zyn scherpe liefde-schigt ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.6	Dat 's fraay !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.7	zwigt dan een pluim en zwierige Equipagie Voor 't doodlyk magazyn en duffe zalf-stellagie ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.8	( 't Geen Spadulaan misdoopt een heilzaame Apotheek ) Of moet hy in zyn hoed de fulpeborstelstreek En koddige omtrek van een molesteen vertoonen ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.9	Of moet een oude pruik beschaad'we neus en koonen , Die vyf à zesmaal daags naauwkeurig word gesmeert Met water , 't geen hy zelfs uit eijeren disteleert , Op datze in glans niet hoeft voor vloer en zaal te wyken ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.10	Moet me in een plank , als in een glas zig zelfs bekyken ?	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.11	ô !	None
weye002holl01_01.TEI.2.text.body.div.sp.196.s.12	Dat is aardig .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.1	Zwyg , zwyg Juffrouw Papegaay , Die d'Uil kiest voor een valk , en 't krassen van een kraay Voor 't zoete boom-muzyk van lente-nagtegaalen .	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.2	Die ligtmis ?	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.3	foey , u aan !	None
weye002holl01_01.TEI.2.text.body.div.sp.219.s.4	ja 'k derf het niet verhaalen Hoe schelms hy heeft de glans van 't groot Salet vermoord , Toen hy zyn afscheid nam , gepluimt , geleerst gespoord , En heel de vloer bedurf met fransche complimenten .	None
