vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes Oft Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.head.375.s.2	Treur-Spel .	None
vond001pala01_01.TEI.2.text.body.div.head.376.s.1	De eerste handel .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.378.s.1	PALAMEDES .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.1	DIe sorgt , en waeckt , en slaeft , en draeft , en ploegt , en sweet , En tot 's Landts oorbaer vast een lastigh ampt betreed , En waent de menschen aen syn ' vroomheyd te verbinden ; Die sal sich jammerlijck in 't end ' bedrogen vinden , Van 't wispelturigh volck ; dat veel te los van hoofd , Genooten dienst vergeet , en leyder 't quaed gelooft .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.2	VVat dorperheyd is dit , onedele gemeente ; Wat bitse nyd verteert het merch in uw gebeente ; Wat dolheydt u vervoert ?	Emotion_Hatred_BodyPart_BodilyProcess_Anger
vond001pala01_01.TEI.2.text.body.div.sp.557.s.3	dat ghy uwe Heeren hoont , En met zoo valsch een munt uw ' troutste Vaders loont ?	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.4	Koomt reuckeloose schaer , treed voorts , ick ben te vrede Te dingen , om 't geschil , ter vierschaer van de rede ; Doet vry u stucken daer ; brengt van uw seggen blijck ; Op dat rechtvaerdigheyd een billick vonnis strijck .	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.5	Ghy seght , als nu de wraeck , om Trojen om te keeren , Onledigh hiel den raed der Koningen en Heeren ; Dat ick gedaghvaert quam , en schoon zy altemael Besloten 't eerloos feyt te rechten met het stael ; Noch zeyde ick : 't was by hen te heftigh opgenomen , En datmen tijds genoegh zou tot het uytterst ' komen .	Emotion_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.557.s.6	Waer uytmen vaten moght , dat ick 't meyneedigh rijck Meer gunst toedroegh als ons , gequetst door 't ongelijck ; Ick antwoord : het besluyt is licht om wederleggen , Vermits dit geensins volght uyt het voorgaende zeggen ; Maer eer het tegendeel : want dat ick liever zagh De zaeck in vree beslecht , by middel van verdragh , Is waer en lovens weerd : en wie ontkend wat plaegen , Bellone met sich sleept , met droeve nederlagen , Gevaerlijck voor 't gemeen ; wiens welvaert men met druck , En angst siet hangen in de weeghschael van 't geluck .	Fear_Worry_Emotion_Sadness
vond001pala01_01.TEI.2.text.body.div.sp.557.s.7	Dat ick Priaem dan noô met krijgh zagh aengegrepen , Was om der Phrygen trots te weeren van ons ' schepen ; Was om Achilles niet met Hector onverveert Te worst'len doen om 't ramp , of hun , of ons bescheert .	Emotion_Pride
vond001pala01_01.TEI.2.text.body.div.sp.557.s.8	Hier by en rust ' et niet , men smijt my voor de schenen , Dat ick de Koningen van Sparten , en Mycenen , Met al de Vorsten , als wy zetten onzen voet Op Dardans bodem , wou versmooren in hun bloed ; Om dat ick , alsmen had gegeven 't bloedigh teecken , De vloot , noch versch geland , van d'oevers af deê steecken , En hielme binnen boords , 't geleeck wat , wistme niet Dat dit door enckel last des Veld-Heers waer geschiet ; Die , als wy 't aerselen der bange Krijghslien vruchten , Hun allen troost , en hoop benemen wou van vluchten , En moedigen tot slaen , wanneer de nood hen deê Aenloopen op het spits , of 't swalpen van de Zee .	Fear_Emotion_EmotionalAction_Hope_BodyPart_Anger
vond001pala01_01.TEI.2.text.body.div.sp.557.s.9	Noch wilmen my te lijve , om dat ick driest , en stouter Als ander , eer Iphigeen noch verwde 't bloedigh outer , Het offer marren dede , en 't stuck leyde in beraed ; Of juyst onnoozel bloed , en Agamemnons zaed , De grimmige Hecate most paeyen , en verzachten ?	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.557.s.10	Dan ofmen haer een Hinde , of teere Geyt zou slachten ?	None
vond001pala01_01.TEI.2.text.body.div.sp.557.s.11	Een ' saecke die sigh schaemt , recht of hy yet verbeurt , Die Chalches in zyn ' waen , en schelmze droomen steurt .	Emotion_Shame
