stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin vinden Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.head.208.s.1	eerst bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.head.209.s.1	eerst toneel .	None
stee033adag01_01.TEI.2.text.body.div.stage.211.s.1	Adelheide , Ada , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.sp.speaker.213.s.1	Ada .	None
stee033adag01_01.TEI.2.text.body.div.sp.221.s.1	hebben aklig sterflot hebben graven Diedrik wij onttogen , En gei , zijn weduwe , voor ik smeken onbewogen , Verdubblende in ik ziel de kinderlijk rouw , begeren een huwlyksfeest , een schandelijk trouwen !	None
stee033adag01_01.TEI.2.text.body.div.sp.221.s.2	Een moer nopen zij kroos ( hoe doen u eisen ik gruwen ! ) bij het onbegraven lijk een vader laf te huwen !	None
stee033adag01_01.TEI.2.text.body.div.sp.221.s.3	voegen Diedriks droef wezen doen vreugde de huwlyksmin ?	None
stee033adag01_01.TEI.2.text.body.div.sp.speaker.223.s.1	Adelheide .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.1	uw passen een groots bestaan , alles Hollands erfgravin .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.2	laten wij , uiten hogen node , een ijdel droefheid smoren .	Emotion_BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.240.s.3	bedenken wieden Diederik tot landvoogd hebben verkiezen .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.4	ik dochter , kiezen hij niet zijn ' broeder , die wij haten , Oostvrieslands trots graven , die na u erfdeel staan ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.sp.240.s.5	moeten gei die wrevlen oom alles uw voogd erkennen ?	Emotion_Annoyance
stee033adag01_01.TEI.2.text.body.div.sp.240.s.6	moeten Willem aan zijn weten voor altoos uw gewennen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.7	u minderjarigheid vereisen een echtverbond .	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.8	hebben Diedrik , ik gemaal , niet mede zijn ' vegen mond ik vruchteloos gesmeekt die broeder hier te ontbieden , te zoenen de oud wraken , in het vorstelijk huis aan het zieden ?	Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.sp.240.s.9	hebben ik , uiten zorgen voor uw , ik ' waarde echtgenoot Doof uitstel niet beletten , op het naderen vinden zijn dood , Tot Willem het laatst vaarwel zieltogende uiten te spreken ?	None
stee033adag01_01.TEI.2.text.body.div.sp.240.s.10	En eisen gei tot u ' voogd die graven , die zien zij wreken ?	EmotionalAction_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.sp.263.s.1	Helaas !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.2	die vreemd zorgen vinden u gevoelloos harden zijn oorzaak die ik zuchten in onvergeetbre smarten .	Emotion_BodilyProcess_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.sp.263.s.3	ik dierbre vader , die , verhinderen door ik moer , uw niet in het uiterst uur verzoenen mede u ' broeder !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.4	Hoe deerlijk wassen u loten !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.5	hoe bannen ik al troosten Voor eeuwig uiten doen ziel vinden u ellendig kroos !	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.6	uw Ada , waarlijk droef , zullen deze treurgewaden Niet wisselen , uw te schimp , voor blijde feestsieraden .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.263.s.7	Vorstin , wat heilzaam einde ' bedoelen u wreed dwang ?	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.8	Wat nut beloven ik echt voor het wichtig staatsbelang ?	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.9	gei honen Oostvrieslands graven en doen edel mijn land .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.10	geven heen , na Diedriks willen , hebben oog bestieren in hand , Totdat een rijp jeugd ik vest in het erflyk rechte .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.11	Hoe durven ik Lodewyk , door die gevreesden echt , na u geheim besluiten tot Hollands graven verheffen ?	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.12	zij zij getergde wraken die vreemdeling niet treffen , En ik niet dwingen , ik , mede oneer overladen , bij het breken mijn trouwen het voogdijschap te ondergaan ?	Emotion_Loyalty_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.sp.263.s.13	gei zullen , naar rijp beraden , ik weigring billijk keur .	None
stee033adag01_01.TEI.2.text.body.div.sp.263.s.14	laten deze gevoelig harden ik ' vader dood betreuren .	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.1	Ik treuren , om het zwaard verliezen , mede uw .	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.2	mare ach !	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.3	ontslaat Die smarten ik vinden doen zorgen voor u ' gedreigden staan ?	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.4	wij , vinden het geheim bewust , misleiden u zwak zin ?	None
stee033adag01_01.TEI.2.text.body.div.sp.272.s.5	ik weten Meerhem , mede een delen de edel , te winden : stemmen Altena , Leerdam , en Voorne heimlyk niet In u ' gewenst echt en zijn bruigoms landgebied ?	None
stee033adag01_01.TEI.2.text.body.div.sp.278.s.1	zullen zij gewinnen stemmen ik ' voogd , graven Willem , stuiten , En all ' de adel in u ' toeleggen doel besluit ?	None
stee033adag01_01.TEI.2.text.body.div.sp.289.s.1	gei doemen , uiten ijdel vrezen , uiten onervarenheid , uiten wantrouwen , die ik honen , een heilzaam staatsbeleid .	Suspicion_Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.289.s.2	het zijn nodigen die ik zorgen u teder jeugd bestiere , En Dordrecht deze dagge u vorstelijk huwelijk vier .	None
stee033adag01_01.TEI.2.text.body.div.sp.289.s.3	doen Stichtsche bisschop zelf , in u belang brengen , En ieder ogenblik uiten Utrechts waal verwachten , zullen in doen hofkapel doen plechtigheid voltrekken , En door zijn achtbaarheid wij voor misnoegen dekken .	None
stee033adag01_01.TEI.2.text.body.div.sp.293.s.1	die Amstel uw het gevaar vinden het heilloos huwelijk tonen ' !	None
stee033adag01_01.TEI.2.text.body.div.sp.297.s.1	geren vrezen weerhouden uw ; neen : gei haten de graven vinden lot .	Fear_Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.sp.318.s.1	Ach !	None
stee033adag01_01.TEI.2.text.body.div.sp.318.s.2	haten ik Lodewyk ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.sp.318.s.3	kunnen zien ik minnen verbergen ?	Emotion_Love
