rivi001jeug01_01.TEI.2.text.body.div.head.172.s.1	vertoner .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.174.s.1	Michiel Adriaansz. doen Ruiter .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.177.s.1	Alida Jansz .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.177.s.2	, vinden Middelburg , moer vinden Michiel .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.180.s.1	doen Heer Lampsins , meest vinden doen lijn - of Touwbaan .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.182.s.1	kapitein .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.185.s.1	Kornelia engel , vinden Vlissingen , eindelijk mede doen Ruiter gehuuwd .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.188.s.1	Een leidekker .	None
rivi001jeug01_01.TEI.2.text.body.div.list.item.191.s.1	Andries , Speelmakker vinden Michiel .	None
rivi001jeug01_01.TEI.2.text.body.div.stage.194.s.1	hebben toneel zijn te Vlissingen .	None
rivi001jeug01_01.TEI.2.text.body.div.head.199.s.1	doen jeugdig Michiel Adriaansz. doen Ruiter , Te Vlissingen , In doen Touwbaan , vinden doen heer Lampsins , blijspel .	None
rivi001jeug01_01.TEI.2.text.body.div.head.200.s.1	eerst toneel .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.speaker.203.s.1	Michiel , allee .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.1	Wat komen , bij dagge en nacht , ik in doen zin werk !	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.2	Ik kunnen ik zelf nog bepalen , nog beperken , In het denkbeeld die ik hier doen Touwbaan hullen doen .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.3	geren traagheid evenwel maken ik deze werk moede ; mare inspraak vinden het gemoed en werking mijn zin vertonen ik een ruim schets om lof en prijs te winden .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.4	wassen eeuwig niet doen Zeeuw een Zeeleeuw voor zijn landen ?	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.5	Een steunen , een snoeren , een knoop vinden Neerlands-Eendragtsband ?	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.6	wij bouwd doen Zee zo kloek ?	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.7	wij laten zien minnen bepalen Dan het Zeeuws - en Hollands-Volk om buiten te Zee te halen ?	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.8	wij , wij winnen meer dan zijde in een Waterstryd ?	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.9	Nooit raken het Zeelands bloeden zijn kleur nog leven kwijt .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.10	wij vrezen doen golf minnen dan wie , wie waar zeeuw ?	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.11	wie , wie zijn , inderdaad , doen oprecht Water-Leeuwen , Die het groot Zeegebrom de baar kloek weerstaan En lief tot de Zee - dan tot de Landkryg gaan , Waarom ik wij doen naam vinden zeeuw hebben geven En meer dan ander schier op Eilanden doen leven , Die , worden overal bespoeld vinden het pekelnat , Ontvangen in de schieten de aardryks rykste schatten : Dus willen ik eveneens alles Brit of Engelander , met zeeuw door zij loten , bekreunen d'Oorlogsstander .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.12	wegge handwerk vinden doen Baan ; brengen ander aan hebben touwen !	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.13	Ik zijn en blijven een Zeeuw , een steunen aan het Staatsgebouw .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.14	Ik willen , ik zullen , ik moeten een schild de vrijheid wees En doel ik in ik ' dood alles in ik leven vrees : Dus blyv ' doen Vlissinger hebben vechten de Vryheids-Vlesch , zijn uiten ik , in eeuwigheid , doen besteden vrijheid schetss ' .	Fear_Emotion
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.15	doen vrijheid blijven bepalen aan regel en weten , Om doen ongebondenheen zij perk en paal te zet , Om doen ongehoorzaamheid vinden ieder ' Onderdaan Te stuiten , zij te doel alles onderdaan staan Voor het stedehouder rechte en die de waar staat , weer knecht wij , alles Burger , zijn , en Nassauws Onderzaaten .	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.16	doen Prins blijven eeuwiglyk in zijn aeloud bewind !	None
rivi001jeug01_01.TEI.2.text.body.div.sp.244.s.17	hij zijn Vader vinden wij all ' , elk Burger zijde zijn Kind , Ja hij , alles doen eerst stemmen vinden staan , blijven wij regeren , Om vuigen Burgerdwang en Slaaverny te weer .	None
rivi001jeug01_01.TEI.2.text.body.div.div.head.245.s.1	Tweede toneel .	None
rivi001jeug01_01.TEI.2.text.body.div.div.stage.249.s.1	Michinl , Alina Jansz .	None
rivi001jeug01_01.TEI.2.text.body.div.div.sp.254.s.1	Al weder vinden u werken ?	None
