hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. Hooft GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.head.887.s.1	Inhoudt	None
hoof001gran01_01.TEI.2.text.body.div.p.924.s.1	Granida eenige dochter , en erf-Princesse van Persia , op de jacht afgedwaelt van haren sleep , comt ter plaetsen daer sij Daifilo harder met Dorilea , die hij op minne vervolcht , vindt coutende ; dewelcke haer niet en cunnende onderrechten van het spoor der voorgereden jaegers , van haer gevraecht worden nae eenige fonteijne om den dorst te lesschen .	None
hoof001gran01_01.TEI.2.text.body.div.p.924.s.2	Daifilo biedt de Princesse te drinken uit een schulp met soo heussche gene - genheit , dat deselve , gehulpen van soo weltepasse dienst , oock nae haer verscheiden van daer , der Prinssesse welgeval - lende naulijx uit den sinne gaet .	None
hoof001gran01_01.TEI.2.text.body.div.p.924.s.3	Daifilo , ter ander sijden , besluit sich ten hove te begeven om de tegenwoordicheit , en diensten wille van soo waerdige Prinssesse .	None
hoof001gran01_01.TEI.2.text.body.div.p.968.s.1	Daifilo , sich gegeven hebbende in dienst van Tisiphernes , op hoope dat die als een Prinsse van groote verdienste bij de croon van Persia , becomende het huwelijck van Granida , hij door dat middel aen haeren dienst mocht geraken , quijt hem soo dat sijn heer hem grootlijx vertrouwende , hem seijndt aen de Princesse , om haer jonste te hebben int eindelijck ver - soeck , dat hij nae soo lang vervolch om haer ging doen aen haeren vader ; alwaer hij ontseit wort van sijn tegenvrijer Ostrobas , soone van den coning der Parthen , tegens de welcke hij aenneemt des anderen daechs te vechten .	Emotion_Hope
hoof001gran01_01.TEI.2.text.body.div.p.968.s.2	De Prinssesse soo becommert over 't aenstaende huwelijck , als beweecht door het nieu sien van Daifilo , comt dien avond aen de ven - ster , op geluck oft eenige passerende musijcke haer quellage wat versachten mochte , onder de welcke sij , door 't glas siende sonder gesien te wesen , hem passeren en hoorende versuchten , neemt het selve op voor teken van waerachtige liefde , haer daer - omme beclagende over d'ongelijckheit der staten des werelts .	EmotionalAction_BodilyProcess_Dissapointment_Desire
hoof001gran01_01.TEI.2.text.body.div.p.994.s.1	Daifilo verclaert aen sijn heer sijn liefde , en d'oorsake waer - om hij in sijnen dienst gecomen is , hem biddende te lijden dat hij in sijn stede , en met sijn wapenen bedeckt , tegens den Parth moge strijden , tot het welcke hij hem met redenen be - weecht .	EmotionalAction_Desire_Despair
hoof001gran01_01.TEI.2.text.body.div.p.994.s.2	Daifilo verwint en verslaet Ostrobas .	None
hoof001gran01_01.TEI.2.text.body.div.p.994.s.3	Tisiphernes be - sluit des anderen daechs de Princesse te besoecken : maer Dai - filo , noch dien avondt onder haer venster passerende , wort door haer bevel geroepen van haer voedster .	None
hoof001gran01_01.TEI.2.text.body.div.p.994.s.4	Sij ontdecken elckander haer onderlinge liefde .	Emotion_Love
hoof001gran01_01.TEI.2.text.body.div.p.994.s.5	Granida seyt gereedt om met hem te vertrecken , en een harderinnen staet getroost te sijn : welcke aenbiedinge hij , nae dat hij haer de swaericheden van sulx voor gehouden heeft , en verstaen de selve van haer al te vooren overwogen te sijn , met groote danckbaerheit aen - neemt .	Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.1	De voedster van Granida , op haer sijde gewonnen sijnde , comt verclaren voor den Coning , ende Tisiphernes , dat de Princesse , met groot spoock , voor eenen Godt geschaeckt is .	None
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.2	Tisiphernes , siende op 't schoonste sijn hoop te leur gestelt , is om rasende te worden .	Emotion_Hope_BodilyProcess_Dissapointment_Anger
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.3	Maer Daifilo , die haestich ten hoof wedergekeert was om quaet vermoeden voor te comen , hem onderrechtende doet sijn gemoet wat bedaeren .	None
hoof001gran01_01.TEI.2.text.body.div.p.1024.s.4	Hij noch - tans , walgende van de werelt , besluit met luttel geselschaps voortaen door 't landt te reisen , en verclaerende Daifilo waer - achtige verwinner van Ostrobas te wesen , levert hem sijnen staet over , dewelcke hij eerbiedelijck weigerende belooft gae - de te slaen , totter tijt toe , dat 's Prinssen gemoet wat besae - dighe .	BodilyProcess_Disgust
hoof001gran01_01.TEI.2.text.body.div.p.1065.s.1	De geest van Ostrobas verschijnt aen sijnen vriendt Arta - banus , die met hem in Persia was gecoomen , hem opstutsende , om wrake te nemen op Daifilo , dewelcke den eersten mor - genstondt op 't landt met de Prinssesse sprekende , van hem en sijn volck , beijde gevangen worden om opgeoffert te sijn aan het graf van Ostrobas .	None
hoof001gran01_01.TEI.2.text.body.div.p.1065.s.2	Maer Daifilo , siende d'overlast van banden diemen de Prinssesse aendede , breeckt de sijne , te weere rakende tegens sijn vianden ; op welck gerucht Tisi - phernes , die bij geval niet verre van daer sijnen wech volchde , de gelieven comt ontsetten , dewelcke bekent sijnde , beclagen haer deerlijck dat d'eene ramp d'ander jagende , het Geluck wel hardneckelijck scheen besloten te sijn tot haer bederf .	None
hoof001gran01_01.TEI.2.text.body.div.p.1065.s.3	Maer d'eedelhartighe Prinsse , in plaets van hem tegens haer te verbitteren , verwondert sich over haer selsaeme liefde , en gebiedende haer goeden moedt te hebben , belooft en vercrijcht haer haeren soen van den Coning , diese beijde met blijen wellecoom onthaelende te saemen huwt .	Emotion_Love_Wonder
hoof001gran01_01.TEI.2.text.body.div.head.1068.s.1	Personagien	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1070.s.1	granida	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1072.s.1	daifilo	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1074.s.1	tisiphernes	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1076.s.1	dorilea	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1078.s.1	coning	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1080.s.1	ostrobas	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1082.s.1	artabanus	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1086.s.1	voedster	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1090.s.1	rey van joffrouwen	None
hoof001gran01_01.TEI.2.text.body.div.list.item.1094.s.1	rey van harderinnen	None
hoof001gran01_01.TEI.2.text.body.div.p.1103.s.1	vs. 1 -4	None
hoof001gran01_01.TEI.2.text.body.div.div.head.1107.s.1	Eerste deel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.1	Het vinnich stralen van de Son Ontschuil ick in 't bosschage ; Indien dit bosje clappen con , Wat melde 't al vryage !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.2	Vryage ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.3	Neen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.5	Jae , Vryage sonder menen ; Van hondert harders ( ist niet schae ? ) Vindtm'er getrouw niet eenen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.6	Een wullepsch knaepjen altijt stuirt Nae nieuwe lust sijn sinnen : Niet langer als het weygeren duirt , Niet langer duirt het minnen .	EmotionalAction_BodilyProcess_Love_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.7	Mijn hartje treckt mij wel soo seer , Soo seer , dorst ick het wagen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.8	Maer neen , ick waeg ' het nemmermeer , Haer minnen sijn maer vlaegen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.9	Maer vlaegen , die t'hans overgaen , En op een ander vallen ; Nochtans , ick sie mijn vryer aen Voor trouste van haer allen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.10	Maer oft 't u miste domme maeght , Ghy siet hem niet van binnen , Dan 't schijnt wel : die geen rust en waeght , Can qualijck lust gewinnen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1180.s.11	Oft ick hem oock lichtvaerdich von , En 't bleef in dit bosschage , Indien dit bosje clappen con , Wat melde't al boelage !	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.1182.s.1	dorilea , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.1	Daer is hij .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.2	Och hoe ben ick inde saeck beladen !	HeavyHeartedness_Worry_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.3	Best dat ick mij versteeck onder de bruine bladen , In 't diepste van het bosch , al eer dat hij mij siet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.4	Best is het , best ist .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.5	Jae , maer vondt hij mij dan niet ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.6	Weet ick wel wat ick wil ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.7	Ick ben vervaert voor 't minnen , Ontschuil mijn lief , en vrees dat hij mij niet sal vinnen .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.1205.s.8	Neen , beter blijfdij hier dan of ghij verder gingt , Hier comt hij doch voorbij ; maer luister wat hij singt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.1	Die geboden dienst versmaet , Wenscht'er wel om als 't is te laet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.2	Windeken daer het bosch af drilt , Weest mijn brack doet op het wilt Dat ick jage , Spreyt de hagen , En de telgen van elckaêr , Mogelijck schuilt mijn Nymphe daer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.3	vs. 39 -44 Nymphe , soo ras als ghy vermoedt , Dat mijn gang tot uwaerts spoedt , Loopt ghij schuilen , Inde cuilen , En het diepste van het woudt , Daer ghij met reên vervaert sijn soudt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.1322.s.4	Vreesdij niet dat de Satyrs , daer U eens mochten nemen waer , En beknellen , 'T sijn gesellen , Die wel nemen t'uwer spijt 'T geen daer een harder lang om vrijt .	None
